location,information,sales_price
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.250 TL
Gemlik - Cihatlı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,17.000 TL
Gemlik - Hamidiye Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 57 m²,23.000 TL
Yıldırım - Piremir Mahallesi,Daire | 3+1 | 3. Kat | 200 m²,35.000 TL
Karacabey - Hamidiye Mahallesi,Daire | 2+1 | 1. Kat | 145 m²,20.500 TL
Karacabey - Bayramdere Mahallesi,Daire | 2+1 | 4. Kat | 88 m²,35.000 TL
Karacabey - Emirsultan Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,15.000 TL
Yıldırım - Değirmenönü Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,17.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 68 m²,19.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,20.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,19.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 58 m²,11.000 TL
Osmangazi - Demirtaş Sakarya Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,23.500 TL
Mudanya - Halitpaşa Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,21.000 TL
Osmangazi - Panayır Mahallesi,Daire | 3.5+1 | 3. Kat | 160 m²,36.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,19.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,17.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,17.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,17.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Yıldırım - Ortabağlar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,16.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 3. Kat | 147 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,20.000 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,25.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,30.000 TL
Gemlik - Kurşunlu Mahallesi,Daire | 1+1 | 2. Kat | 88 m²,20.000 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,28.900 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,16.498 TL
