location,information,sales_price
Osmangazi - Hamitler Mahallesi,Daire | 2+1 | 9. Kat | 95 m²,16.500 TL17.500 TL
İnegöl - Orhaniye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Osmangazi - İntizam Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,14.000 TL
Osmangazi - Hüdavendigar Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,25.000 TL
Osmangazi - Koğukçınar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,16.000 TL
Gürsu - İstiklal Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 100 m²,17.000 TL
Gemlik - Kumla Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,15.000 TL
Gemlik - Kumla Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,12.500 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,19.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,30.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 8. Kat | 130 m²,27.000 TL
Gemlik - Kayhan Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.000 TL
Osmangazi - Dikkaldırım Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,35.000 TL
Mudanya - Ömerbey Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,25.000 TL28.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 107 m²,22.000 TL
Osmangazi - Dikkaldırım Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,24.000 TL26.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,12.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,30.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 3+1 | 8. Kat | 140 m²,30.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,14.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,23.000 TL
Osmangazi - Hocahasan Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Osmangazi - Hocahasan Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,22.000 TL
Gemlik - Osmaniye Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,21.000 TL
Nilüfer - Altınşehir Mahallesi,Daire | 4+1 | 8. Kat | 217 m²,55.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,19.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,25.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,25.000 TL
Osmangazi - Pınarbaşı Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,15.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,13.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,17.500 TL
Orhangazi - Arapzade Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,25.000 TL
Yıldırım - Mollaarap Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 58 m²,12.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL
Osmangazi - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,22.500 TL
Nilüfer - Çalı Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,23.500 TL
Karacabey - Karacaahmet Mahallesi,Daire | 2+1 | 3. Kat | 170 m²,20.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,18.000 TL
Nilüfer - Balat Mahallesi,Daire | 2+1 | Bahçe katı | 128 m²,50.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,14.900 TL
Mudanya - Güzelyalı Siteler Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,20.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,16.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 2+1 | 1. Kat | 113 m²,14.500 TL
Osmangazi - Yahşibey Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,11.000 TL
Osmangazi - Gülbahçe Mahallesi,Daire | 2.5+1 | 3. Kat | 135 m²,16.500 TL
Osmangazi - Bağlarbaşı Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.250 TL
Osmangazi - Akpınar Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,35.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,25.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Osmangazi - Altınova Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,15.000 TL
Nilüfer - Altınşehir Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,37.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 5. Kat | 90 m²,16.000 TL
Kestel - Kale Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,20.000 TL
Mudanya - Şükrüçavuş Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,19.000 TL
Mudanya - Yeni Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,20.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,17.000 TL
İnegöl - Ertuğrulgazi Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 5. Kat | 165 m²,23.000 TL
Osmangazi - Ovaakça Çeşmebaşı Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.500 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.750 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | 13. Kat | 125 m²,28.000 TL
Nilüfer - Balat Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,50.000 TL
Mudanya - Aydınpınar Mahallesi,Daire | 2+1 | 3. Kat | 170 m²,42.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 9. Kat | 165 m²,52.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,28.000 TL
Nilüfer - 29 Ekim Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,35.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,29.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,23.000 TL
Osmangazi - Çekirge Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 165 m²,23.000 TL
Osmangazi - Çekirge Mahallesi,Daire | 4+1 | 4. Kat | 170 m²,30.000 TL
Yıldırım - Yiğitler Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Nilüfer - Balat Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,21.000 TL
Nilüfer - Esentepe Mahallesi,Daire | 2+1 | Yüksek giriş | 1.100 m²,18.500 TL
Mudanya - Şükrüçavuş Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,15.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 62 m²,14.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,13.500 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 1+1 | 15. Kat | 80 m²,25.000 TL
Osmangazi - Doğanbey Mahallesi,Daire | 3.5+1 | 19. Kat | 160 m²,25.000 TL
Nilüfer - Kayapa Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,45.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,17.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 65 m²,20.000 TL
Nilüfer - Altınşehir Mahallesi,Daire | 1+1 | 5. Kat | 127 m²,39.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,12.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.500 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,25.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,15.000 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 1+1 | 3. Kat | 115 m²,18.500 TL
Nilüfer - Balkan Mahallesi,Daire | 4+1 | 7. Kat | 210 m²,27.500 TL
Osmangazi - İstiklal Mahallesi,Daire | 1+1 | Yüksek giriş | 100 m²,17.500 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 3+1 | 2. Kat | 139 m²,35.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 82 m²,16.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,30.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | Bodrum Kat | 110 m²,21.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 5. Kat | 92 m²,21.500 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 3. Kat | 210 m²,28.500 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 4.5+1 | 4. Kat | 286 m²,42.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,18.750 TL
Yıldırım - Sinandede Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,20.000 TL
Yıldırım - Sinandede Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,13.000 TL
Osmangazi - Ulu Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 2. Kat | 90 m²,18.000 TL
Mustafakemalpaşa - Atariye Mahallesi,Daire | 5+1 | Çatı katı | 320 m²,37.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,14.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,25.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 5+2 | 6. Kat | 250 m²,35.000 TL
Nilüfer - Çamlıca Mahallesi,Daire | 1+1 | 5. Kat | 80 m²,30.000 TL
Nilüfer - Barış Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,27.000 TL
Osmangazi - Hocaalizade Mahallesi,Daire | 3.5+1 | 2. Kat | 120 m²,10.000 TL
Yıldırım - Hacıseyfettin Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,21.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,25.000 TL
Gemlik - Balıkpazarı Mahallesi,Daire | 1+1 | Yüksek giriş | 85 m²,18.000 TL
Yıldırım - Selçukbey Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,15.000 TL
Mustafakemalpaşa - Züferbey Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,8.000 TL10.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,15.000 TL
Osmangazi - Çekirge Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,12.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 59 m²,20.000 TL
Nilüfer - Çamlıca Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,40.000 TL45.000 TL
Yıldırım - Mollaarap Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,13.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,21.000 TL
Yıldırım - Kurtoğlu Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Mustafakemalpaşa - Atatürk Mahallesi,Daire | 5+1 | 4. Kat | 275 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,14.000 TL
Nilüfer - Balkan Mahallesi,Daire | 4+1 | 5. Kat | 225 m²,35.000 TL
Osmangazi - Kükürtlü Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,36.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Mudanya - Ömerbey Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,50.000 TL
Mustafakemalpaşa - Yunus Emre Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,19.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 60 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+0 | 4. Kat | 55 m²,10.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,13.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,12.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,20.500 TL
Yıldırım - Kurtoğlu Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,15.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,12.000 TL
Yıldırım - Mollaarap Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,11.500 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,18.000 TL20.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 60 m²,13.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,23.000 TL
Nilüfer - Balkan Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,26.000 TL
Osmangazi - Ahmetpaşa Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | 13. Kat | 128 m²,28.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,11.500 TL
İznik - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Gemlik - Hamidiye Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 5+1 | 3. Kat | 220 m²,27.500 TL30.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.500 TL
Nilüfer - Odunluk Mahallesi,Daire | 2+1 | 16. Kat | 140 m²,55.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,25.000 TL
Osmangazi - İntizam Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,15.500 TL
Osmangazi - Çekirge Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,14.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,12.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,33.000 TL
Yıldırım - Zümrütevler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,10.000 TL
Yıldırım - Şirinevler Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,12.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,27.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,10.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,15.000 TL
Osmangazi - Hürriyet Mahallesi,Daire | 1+1 | Bodrum Kat | 64 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,19.000 TL
Mustafakemalpaşa - Barış Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,18.000 TL
Mustafakemalpaşa - Barış Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 4. Kat | 80 m²,20.000 TL
Osmangazi - Panayır Mahallesi,Daire | 3.5+1 | 12. Kat | 189 m²,41.000 TL
Osmangazi - Panayır Mahallesi,Daire | 2+1 | 9. Kat | 136 m²,35.000 TL
Osmangazi - Altıparmak Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,17.500 TL
Yıldırım - Emirsultan Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,21.000 TL
Nilüfer - Özlüce Mahallesi,Daire | 3+1 | 2. Kat | 176 m²,30.000 TL
Osmangazi - Bahar Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,14.000 TL
Gemlik - Dr. Ziya Kaya Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,22.000 TL
Yıldırım - Selimzade Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 162 m²,35.000 TL
Osmangazi - İvazpaşa Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,17.000 TL
Mudanya - Güzelyalı Siteler Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,41.000 TL
Gemlik - Eşref Dinçer Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,10.000 TL
Yıldırım - Esenevler Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,15.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,16.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,12.500 TL
Osmangazi - Hüdavendigar Mahallesi,Daire | 1+1 | Yüksek giriş | 125 m²,22.000 TL
Osmangazi - Doğanbey Mahallesi,Daire | 2+1 | 15. Kat | 112 m²,25.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,11.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 7. Kat | 65 m²,16.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,12.500 TL
Osmangazi - Selimiye Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,12.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Mudanya - Ömerbey Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,22.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 140 m²,26.000 TL
Gemlik - Umurbey Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,24.000 TL
Mudanya - Güzelyalı Burgaz Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,26.500 TL
Kestel - Vanimehmet Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,18.500 TL
Nilüfer - Kültür Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,30.000 TL
Osmangazi - Akpınar Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,26.000 TL28.000 TL
Nilüfer - Ataevler Mahallesi,Daire | 1+1 | 8. Kat | 85 m²,24.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,16.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,24.000 TL
Nilüfer - Karaman Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
Gemlik - Eşref Dinçer Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,12.000 TL14.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,14.500 TL
Nilüfer - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Nilüfer - Demirci Mahallesi,Daire | 3+1 | Bahçe katı | 130 m²,28.000 TL
Nilüfer - Cumhuriyet Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,40.000 TL
Nilüfer - Ahmet Yesevi Mahallesi,Daire | 1+1 | 3. Kat | 71 m²,27.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,21.000 TL23.000 TL
Yıldırım - Umurbey Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,20.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,13.750 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,16.000 TL
Mustafakemalpaşa - Çırpan Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,10.000 TL
Orhangazi - Tekke Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Osmangazi - Altıparmak Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,21.500 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 4+1 | 3. Kat | 240 m²,35.000 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 3+1 | 2. Kat | 182 m²,29.999 TL
Nilüfer - Balkan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.499 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 5. Kat | 92 m²,20.000 TL
Yıldırım - Arabayatağı Mahallesi,Daire | 3+1 | 1. Kat | 275 m²,25.000 TL
Nilüfer - 23 Nisan Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,39.000 TL
İnegöl - Baykoca Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,14.000 TL
Nilüfer - Demirci Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,20.000 TL
Osmangazi - Elmasbahçeler Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,20.000 TL
Gemlik - Kayhan Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,15.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,13.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,20.000 TL
Yıldırım - Demetevler Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,15.000 TL
Orhangazi - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 3+1 | 3. Kat | 174 m²,35.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 3+1 | 1. Kat | 174 m²,35.000 TL
Nilüfer - Fethiye Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 200 m²,30.500 TL
Nilüfer - Balkan Mahallesi,Daire | 1+1 | 2. Kat | 71 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,24.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 76 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,7.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,15.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,24.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.000 TL
Mudanya - Güzelyalı Siteler Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,24.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,20.000 TL
İznik - Selçuk Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,13.000 TL
Mustafakemalpaşa - Yunus Emre Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.000 TL
Nilüfer - Çalı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.600 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,15.000 TL
İnegöl - Cuma Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,11.000 TL
Gemlik - Demirsubaşı Mahallesi,Daire | 2.5+1 | 3. Kat | 210 m²,22.000 TL26.000 TL
