location,information,sales_price
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,14.000 TL
Süleymanpaşa - Namık Kemal Mahallesi,Daire | 1+1 | 2. Kat | 68 m²,25.000 TL
Kapaklı - İnönü Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,12.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,10.000 TL11.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,20.000 TL22.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,125.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,18.000 TL
Ergene - Yeşiltepe Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,18.000 TL20.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,22.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,15.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 2+1 | 10. Kat | 115 m²,33.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Şarköy - İstiklal Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,3.000 TL
Çorlu - Hıdırağa Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,12.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 2. Kat | 167 m²,20.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,13.000 TL15.000 TL
Çorlu - Zafer Mahallesi,Daire | 4+1 | 4. Kat | 177 m²,40.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,18.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,28.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,26.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,18.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 4+1 | Bahçe katı | 210 m²,50.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,15.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,10.000 TL13.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,16.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,16.000 TL
Çerkezköy - Gazi Osman Paşa Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,20.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,14.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | Bahçe katı | 85 m²,23.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,17.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,27.500 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 100 m²,14.000 TL
Çerkezköy - Yıldırım Beyazıt Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,15.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,24.000 TL26.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL20.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,19.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,14.000 TL
Kapaklı - İsmet Paşa Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,14.500 TL
Kapaklı - İnönü Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,15.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,18.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,18.500 TL22.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.500 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.500 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,18.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,25.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,18.000 TL
Çorlu - Yenice Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL19.500 TL
Çerkezköy - Bağlık Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,12.500 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL22.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,18.000 TL20.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,17.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,20.000 TL
Kapaklı - İsmet Paşa Mahallesi,Daire | 1+1 | 4. Kat | 78 m²,14.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,13.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,25.000 TL28.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,20.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,22.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,25.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL
Kapaklı - İsmet Paşa Mahallesi,Daire | 1+1 | 4. Kat | 78 m²,15.500 TL
Süleymanpaşa - Aydoğdu Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,15.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 3+2 | 4. Kat | 160 m²,18.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 1. Kat | 35 m²,18.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,10.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,10.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,12.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 11. Kat | 65 m²,21.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,18.000 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,22.000 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,23.000 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,16.000 TL
Çorlu - Cemaliye Mahallesi,Daire | 3+0 | 2. Kat | 90 m²,25.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,29.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,20.000 TL
Süleymanpaşa - Namık Kemal Mahallesi,Daire | Stüdyo | Çatı katı | 50 m²,20.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 2. Kat | 46 m²,16.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,11.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,15.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,13.500 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,20.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,13.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,12.750 TL13.500 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,16.000 TL
Çorlu - Muhittin Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,10.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL17.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,20.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,14.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,15.500 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,14.000 TL15.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 3+0 | 4. Kat | 115 m²,23.000 TL
Çorlu - Esentepe Mahallesi,Daire | 1+1 | 12. Kat | 65 m²,14.000 TL
Malkara - Cami Atik Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Muratlı - İstiklal - Kurtpınar Mahallesi,Daire | 4+1 | 2. Kat | 140 m²,14.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.000 TL
Çorlu - Kemalettin Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,22.000 TL25.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,18.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 3+2 | 5. Kat | 160 m²,18.500 TL
Çorlu - Kemalettin Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,14.500 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,17.500 TL19.500 TL
Marmaraereğlisi - Yeniçiftlik Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,19.500 TL22.500 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,12.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,14.500 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,16.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,18.500 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,11.000 TL12.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL16.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,22.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,13.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,15.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,15.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,17.000 TL
Süleymanpaşa - Vatan Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,14.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,15.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Çorlu - Esentepe Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,30.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,15.000 TL16.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,12.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 145 m²,20.000 TL22.500 TL
Süleymanpaşa - Karadeniz Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,11.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 5+1 | 5. Kat | 335 m²,30.000 TL35.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,20.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 96 m²,12.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,15.000 TL
Çerkezköy - Gazi Osman Paşa Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,15.000 TL
Kapaklı - İsmet Paşa Mahallesi,Daire | 1+1 | 4. Kat | 78 m²,15.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 14. Kat | 65 m²,3.050.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 1. Kat | 140 m²,16.500 TL
Çorlu - Yenice Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,10.000 TL11.500 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,19.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,22.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,12.000 TL
Çorlu - Hıdırağa Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,15.000 TL
Çorlu - Hatip Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,14.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 110 m²,14.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL19.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,23.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Çorlu - Yenice Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,21.000 TL
Süleymanpaşa - Aydoğdu Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,26.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Çorlu - Hatip Mahallesi,Daire | 4+1 | 1. Kat | 170 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,26.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Süleymanpaşa - Namık Kemal Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,18.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,18.000 TL
Ergene - Sağlık Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,12.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,15.000 TL
Muratlı - İstiklal - Kurtpınar Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,15.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL15.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,22.000 TL24.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,19.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,19.000 TL
Şarköy - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,8.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,20.000 TL
Çerkezköy - Yıldırım Beyazıt Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,13.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,19.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,12.000 TL18.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1 Oda | 3. Kat | 35 m²,15.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,12.500 TL
Süleymanpaşa - Aydoğdu Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,15.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Çorlu - Hıdırağa Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,16.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,16.000 TL18.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,16.000 TL18.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,14.000 TL15.000 TL
Marmaraereğlisi - Dereağzı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,18.000 TL
Süleymanpaşa - Ertuğrul Mahallesi,Daire | 2+0 | 2. Kat | 52 m²,6.000 TL8.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | Çatı katı | 95 m²,20.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,30.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 4. Kat | 48 m²,20.000 TL
Çerkezköy - Yıldırım Beyazıt Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,15.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,15.000 TL16.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 1+1 | Yüksek giriş | 80 m²,15.000 TL
Şarköy - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,25.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,15.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,20.000 TL
Çorlu - Rumeli Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
Çorlu - Esentepe Mahallesi,Daire | 3+1 | 8. Kat | 130 m²,18.000 TL20.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,15.000 TL
Şarköy - İstiklal Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,13.000 TL15.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,15.000 TL17.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,14.500 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 1+1 | 2. Kat | 100 m²,18.500 TL
Kapaklı - Yıldızkent Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,20.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 1+1 | 7. Kat | 55 m²,15.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,25.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,13.500 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Kapaklı - Vatan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Kapaklı - Adnan Menderes Mahallesi,Daire | 2+1 | 9. Kat | 110 m²,12.000 TL
Çorlu - Esentepe Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,20.000 TL22.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 10. Kat | 75 m²,16.500 TL
Kapaklı - 19 Mayıs Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,14.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,14.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,17.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | Bodrum Kat | 50 m²,16.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,17.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,17.500 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,25.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 10. Kat | 70 m²,15.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,19.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,11.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 50 m²,18.500 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Şarköy - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,20.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,26.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,18.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 8. Kat | 75 m²,18.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,16.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 4+1 | 5. Kat | 185 m²,20.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,22.000 TL
