location,information,sales_price
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,18.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 5+2 | 4. Kat | 280 m²,34.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Çorlu - Çobançeşme Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 73 m²,13.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,16.000 TL
Çorlu - Esentepe Mahallesi,Daire | 4+1 | 1. Kat | 250 m²,57.000 TL
Çorlu - Yenice Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.000 TL
Çorlu - Kemalettin Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,17.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,13.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 1. Kat | 63 m²,19.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 173 m²,36.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,10.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,12.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,15.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,12.500 TL
Çerkezköy - Bağlık Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,17.000 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,16.000 TL
Çerkezköy - Gazi Osman Paşa Mahallesi,Daire | 1+1 | 1. Kat | 63 m²,15.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 173 m²,36.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,12.000 TL
