location,information,sales_price
Odunpazarı - Yenikent Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,12.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,20.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,14.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,17.000 TL18.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,13.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 5. Kat | 58 m²,17.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.500 TL
Odunpazarı - Yıldıztepe Mahallesi,Daire | 2+0 | 1. Kat | 55 m²,15.000 TL
Tepebaşı - Esentepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,16.000 TL17.000 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Tepebaşı - Yaşamkent Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,17.500 TL
Odunpazarı - Gündoğdu Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,14.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,11.500 TL13.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+0 | 3. Kat | 70 m²,15.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.250 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,28.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,14.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Odunpazarı - Yenidoğan Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,21.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 3+1 | 4. Kat | 172 m²,25.000 TL27.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 2+1 | 4. Kat | 93 m²,19.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 62 m²,15.000 TL
Odunpazarı - Gültepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.500 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 3. Kat | 93 m²,15.000 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 2+1 | Çatı katı | 49 m²,9.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+0 | 3. Kat | 77 m²,15.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,16.000 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Tepebaşı - Mamure Mahallesi,Daire | 3+1 | 4. Kat | 105 m²,13.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 45 m²,8.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Tepebaşı - Esentepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.950 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.950 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,14.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,19.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,23.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+0 | Kot 3 (-3). Kat | 55 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+0 | 3. Kat | 55 m²,12.500 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,21.000 TL
Odunpazarı - Emek Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,13.000 TL
Tepebaşı - Esentepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,26.000 TL28.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
