location,information,sales_price
Tepebaşı - Güllük Mahallesi,Daire | 2+0 | 3. Kat | 45 m²,11.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+0 | 3. Kat | 45 m²,11.000 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL12.000 TL
Odunpazarı - Çankaya Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,25.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.000 TL
Odunpazarı - Vadişehir Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,13.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,11.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+0 | Kot 1 (-1). Kat | 65 m²,16.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,23.000 TL25.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,17.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.500 TL11.500 TL
Tepebaşı - Merkez Yeni Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,16.500 TL18.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 113.393.662 m²,10.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,12.400 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,30.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 53 m²,10.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 2+0 | 4. Kat | 75 m²,12.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Tepebaşı - Fatih Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,35.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,27.000 TL
Tepebaşı - Sazova Mahallesi,Daire | 2+0 | 1. Kat | 90 m²,17.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,10.000 TL
Odunpazarı - Arifiye Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,20.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,24.000 TL26.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,10.000 TL11.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,24.000 TL26.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.500 TL
Odunpazarı - Vadişehir Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.500 TL
Tepebaşı - Batıkent Mahallesi,Daire | 4+1 | 5. Kat | 240 m²,50.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,16.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.500 TL
Tepebaşı - Sazova Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,23.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,32.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,14.000 TL
Odunpazarı - Emek Mahallesi,Daire | 1+1 | 3. Kat | 95 m²,10.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,22.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 70 m²,15.000 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 3+1 | 7. Kat | 145 m²,24.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,9.500 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,13.000 TL
Odunpazarı - Orhangazi Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,12.000 TL
Odunpazarı - Alanönü Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,14.500 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,20.500 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,17.750 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,13.500 TL
Tepebaşı - Batıkent Mahallesi,Daire | 2+1 | 7. Kat | 100 m²,15.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,14.900 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,16.000 TL
Tepebaşı - Işıklar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,10.750 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,14.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,33.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,23.000 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Odunpazarı - Yenikent Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,13.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,27.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,14.250 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,16.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,10.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.500 TL12.500 TL
Tepebaşı - Şeker Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,15.500 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,12.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 43 m²,8.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 2+0 | 4. Kat | 65 m²,10.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 4+1 | 3. Kat | 180 m²,20.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,8.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,17.000 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,12.000 TL14.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,9.750 TL10.500 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,16.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+0 | 2. Kat | 53 m²,13.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,14.500 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 90 m²,15.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,14.500 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 90 m²,15.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,10.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,30.000 TL
Odunpazarı - Akçağlan Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,15.750 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 2+0 | 1. Kat | 75 m²,18.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,9.000 TL10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,11.000 TL12.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1 Oda | 1. Kat | 40 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 2+0 | 1. Kat | 50 m²,14.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,18.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,15.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,11.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+0 | 3. Kat | 90 m²,12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | Stüdyo | 4. Kat | 45 m²,13.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 2. Kat | 68 m²,19.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | 2. Kat | 25 m²,15.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,10.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,29.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Tepebaşı - Işıklar Mahallesi,Daire | 2+0 | 3. Kat | 80 m²,10.000 TL
Odunpazarı - Arifiye Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.000 TL15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL10.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,16.000 TL18.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | Bahçe katı | 40 m²,12.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,12.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,32.000 TL
Tepebaşı - Hayriye Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.000 TL
Odunpazarı - Osmangazi Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,24.000 TL
Tepebaşı - Aşağı Söğütönü Mahallesi,Daire | 4+1 | 1. Kat | 200 m²,37.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,12.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 1 Oda | 1. Kat | 50 m²,9.000 TL
Tepebaşı - Şarhöyük Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1 Oda | 4. Kat | 45 m²,13.000 TL
Tepebaşı - Işıklar Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,12.500 TL
Tepebaşı - Zafer Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+0 | 3. Kat | 90 m²,14.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | Stüdyo | 1. Kat | 30 m²,9.500 TL
Odunpazarı - Huzur Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 8.525 m²,7.000 TL
Tepebaşı - Esentepe Mahallesi,Daire | 2+0 | Kot 3 (-3). Kat | 70 m²,16.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,27.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | Yüksek giriş | 115 m²,22.000 TL
Odunpazarı - Emek Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,17.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,14.000 TL15.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,17.250 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Odunpazarı - Çankaya Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL12.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | 2. Kat | 25 m²,18.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.000 TL
Tepebaşı - Tunalı Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,9.250 TL
Tepebaşı - Fatih Mahallesi,Daire | 1+1 | 5. Kat | 45 m²,12.000 TL
Odunpazarı - Deliklitaş Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,30.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,15.000 TL
Tepebaşı - Esentepe Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 60 m²,12.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,12.000 TL
Tepebaşı - Güllük Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Tepebaşı - Aşağı Söğütönü Mahallesi,Daire | 4+1 | 2. Kat | 200 m²,37.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,21.000 TL
Tepebaşı - Uluönder Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,13.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Tepebaşı - Esentepe Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.500 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 70 m²,13.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | Stüdyo | 5. Kat | 15 m²,6.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,20.000 TL
Odunpazarı - Akçağlan Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,10.000 TL13.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,16.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.250 TL
Tepebaşı - Güllük Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 55 m²,14.500 TL
Odunpazarı - İstiklal Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,30.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1 Oda | 2. Kat | 30 m²,12.000 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | 1+1 | 2. Kat | 20 m²,222.000 TL
Tepebaşı - Cumhuriye Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,22.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
