location,information,sales_price
Melikgazi - Gesi Fatih Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,15.000 TL
Kocasinan - Sahabiye Mahallesi,Daire | 4+1 | 7. Kat | 210 m²,27.000 TL
Talas - Kiçiköy Mahallesi,Daire | 3+1 | 8. Kat | 140 m²,17.500 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 12. Kat | 120 m²,15.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 10. Kat | 100 m²,21.000 TL
Melikgazi - Yıldırım Beyazıt Mahallesi,Daire | 4+1 | 12. Kat | 220 m²,24.000 TL
Talas - Bahçelievler Mahallesi,Daire | 4+1 | 5. Kat | 200 m²,30.000 TL
Melikgazi - Anbar Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,19.000 TL
Kocasinan - Zümrüt Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Kocasinan - Uğurevler Mahallesi,Daire | 5+1 | 5. Kat | 225 m²,33.000 TL
Talas - Mevlana Mahallesi,Daire | 2.5+1 | Yüksek giriş | 190 m²,22.000 TL
Kocasinan - Yavuz Selim Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,12.000 TL
Melikgazi - Alpaslan Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,22.500 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 11. Kat | 135 m²,10.000 TL
Kocasinan - Barbaros Mahallesi,Daire | 4+1 | 1. Kat | 245 m²,25.000 TL
Melikgazi - Hunat Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,16.500 TL
Melikgazi - Gülük Mahallesi,Daire | 3+1 | 7. Kat | 175 m²,23.000 TL
Melikgazi - 19 Mayıs Mahallesi,Daire | 3+1 | 14. Kat | 155 m²,15.000 TL
Talas - Kiçiköy Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 7. Kat | 70 m²,18.000 TL
Talas - Mevlana Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,18.000 TL
Talas - Mevlana Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,18.000 TL
Melikgazi - Kılıçaslan Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,18.000 TL
Kocasinan - Gevhernesibe Mahallesi,Daire | 3+1 | 3. Kat | 147 m²,18.000 TL
Kocasinan - Gevhernesibe Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,19.000 TL
Kocasinan - Sanayi Mahallesi,Daire | 4+1 | 7. Kat | 210 m²,15.000 TL
Melikgazi - Tınaztepe Mahallesi,Daire | 3+1 | 12. Kat | 150 m²,17.000 TL
Talas - Mevlana Mahallesi,Daire | 1+1 | 7. Kat | 65 m²,16.000 TL
