location,information,sales_price
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,25.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,30.000 TL
Beşikdüzü - Adacık Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,15.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,24.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.500 TL
Ortahisar - Kalkınma Mahallesi,Daire | Stüdyo | 3. Kat | 30 m²,14.000 TL
Araklı - Merkez Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,9.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.500 TL
Yomra - Sancak Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,17.000 TL
Araklı - Merkez Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,12.500 TL
Yomra - Sancak Mahallesi,Daire | 5+1 | 9. Kat | 280 m²,30.000 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,22.500 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,18.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 1+1 | 5. Kat | 42 m²,13.500 TL
Ortahisar - Hızırbey Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,13.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,11.000 TL
Ortahisar - Karşıyaka Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,14.500 TL
Ortahisar - Kemerkaya Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,20.000 TL
Ortahisar - 1 Nolu Bostancı Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL
Ortahisar - Hızırbey Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,14.000 TL15.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,20.000 TL
