location,information,sales_price
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,20.000 TL
Salihli - Mithatpaşa Mahallesi,Daire | 1.5+1 | Kot 3 (-3). Kat | 100 m²,17.000 TL
Salihli - Eski Cami Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.500 TL
Akhisar - İnönü Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,14.000 TL15.000 TL
Salihli - Eski Cami Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
Soma - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,10.000 TL
Soma - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,15.000 TL
Akhisar - İnönü Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,16.000 TL17.000 TL
Akhisar - Efendi Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,16.500 TL17.750 TL
Akhisar - Ulu Camii Mahallesi,Daire | 2+1 | 4. Kat | 150 m²,20.000 TL
Salihli - Kurtuluş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,25.000 TL
Şehzadeler - Mimar Sinan Mahallesi,Daire | 2+1 | 2. Kat | 86 m²,16.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Salihli - Sağlık Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,10.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,17.500 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 148 m²,16.500 TL
Şehzadeler - Utku Mahallesi,Daire | 3+1 | 5. Kat | 220 m²,35.000 TL
Salihli - Zafer Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,10.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,26.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,22.000 TL
Soma - Turgutalp Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,25.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,55.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,30.000 TL
Salihli - Seyrantepe Mahallesi,Daire | 2+1 | Yüksek giriş | 130 m²,10.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,23.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,18.500 TL
Akhisar - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 122 m²,27.000 TL
Yunusemre - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,17.500 TL
Akhisar - İnönü Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,16.000 TL
Akhisar - İnönü Mahallesi,Daire | 2+1 | Çatı katı | 134 m²,16.000 TL
Salihli - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,15.000 TL
Salihli - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,32.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 4+1 | 5. Kat | 240 m²,30.000 TL
Akhisar - Efendi Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,15.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,17.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,22.000 TL
Şehzadeler - Alaybey Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,20.000 TL
