location,information,sales_price
Soma - Hamidiye Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,14.000 TL
Soma - Namazgah Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,20.000 TL
Akhisar - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,15.450 TL
Soma - Cuma Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,24.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,22.500 TL
Salihli - Cumhuriyet Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,14.500 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Alaşehir - Akkeçili Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,20.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,27.500 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,21.000 TL
Turgutlu - Yedi Eylül Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,20.000 TL
Yunusemre - Merkez Efendi Mahallesi,Daire | 4+1 | Çatı katı | 200 m²,37.000 TL
Yunusemre - Akmescit Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,20.000 TL
Salihli - Namık Kemal Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,16.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,14.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,12.000 TL
Turgutlu - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,15.000 TL
Turgutlu - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,20.000 TL
Yunusemre - Laleli Mahallesi,Daire | 3+1 | 5. Kat | 80 m²,19.000 TL
Akhisar - Efendi Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,14.950 TL
