location,information,sales_price
Edirne Merkez - İstasyon Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,19.500 TL
Keşan - Büyük Cami Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,25.000 TL
Keşan - Cumhuriyet Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,17.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,23.000 TL
Keşan - Büyük Cami Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,17.000 TL
Enez - Gülçavuş Köyü,Daire | 1+1 | 1. Kat | 50 m²,20.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,25.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.000 TL
Edirne Merkez - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,16.500 TL17.500 TL
Edirne Merkez - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,13.000 TL
Uzunköprü - Mescit Mahallesi,Daire | 2+1 | 2. Kat | 111 m²,12.000 TL
Edirne Merkez - Mithat Paşa Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,14.000 TL17.500 TL
Edirne Merkez - Nişancıpaşa Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,17.500 TL
Edirne Merkez - İstasyon Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,15.000 TL
Edirne Merkez - 1. Murat Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 2+0 | Yüksek giriş | 75.000 m²,16.000 TL
Keşan - İspat Cami Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 270 m²,25.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,35.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,17.000 TL18.000 TL
Keşan - Beğendik Bld. (Beykent Mahallesi),Daire | 3+1 | 2. Kat | 135 m²,25.000 TL
Keşan - İspat Cami Mahallesi,Daire | 1 Oda | 1. Kat | 75 m²,1.250.000 TL
Keşan - İspat Cami Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,15.000 TL
Edirne Merkez - 1. Murat Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,15.000 TL
