location,information,sales_price
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+0 | 3. Kat | 55 m²,14.000 TL
Lüleburgaz - Sevgi Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,25.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,24.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,28.000 TL30.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,22.500 TL
Kırklareli Merkez - Bademlik Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,16.500 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,23.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,12.000 TL
Vize - Devlet Mahallesi,Daire | 2+0 | 2. Kat | 75 m²,16.500 TL
Lüleburgaz - Büyükkarıştıran Bld. (Yıldırım Mahallesi),Daire | 1+1 | 3. Kat | 60 m²,20.000 TL
Lüleburgaz - Kocasinan Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.000 TL
Lüleburgaz - Zafer Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,23.000 TL
Lüleburgaz - Yıldız Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,20.000 TL
Lüleburgaz - İnönü Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Kırklareli Merkez - Karahıdır Mahallesi,Daire | 1+1 | Yüksek giriş | 62 m²,15.000 TL
Kırklareli Merkez - Pınar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,21.000 TL
Lüleburgaz - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 139 m²,35.000 TL
Lüleburgaz - İnönü Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Lüleburgaz - Yıldız Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,38.000 TL
Lüleburgaz - Siteler Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,28.000 TL
Lüleburgaz - Kocasinan Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,20.000 TL
Kırklareli Merkez - Pınar Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,20.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+2 | 2. Kat | 125 m²,27.000 TL
Pınarhisar - Beylik Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,16.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,13.000 TL14.500 TL
Lüleburgaz - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 143 m²,20.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,23.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | Stüdyo | 1. Kat | 60 m²,9.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,28.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,28.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 1. Kat | 100 m²,18.000 TL
Kırklareli Merkez - Demirtaş Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,27.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 2+0 | 1. Kat | 55 m²,13.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,25.000 TL
