location,information,sales_price
Şahinbey - 23 Nisan Mahallesi,Daire | 2+0 | 3. Kat | 75 m²,10.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,22.000 TL
Şahinbey - Mavikent Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,13.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,16.000 TL19.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,10.250 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,17.500 TL19.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,21.000 TL
Şehitkamil - Pancarlı Mahallesi,Daire | 3+1 | 4. Kat | 190 m²,26.500 TL
Şahinbey - Küçükkızılhisar Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,9.250 TL10.000 TL
Şahinbey - Alleben Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,16.000 TL
Şahinbey - Mavikent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,9.500 TL
Şahinbey - Akkent Mahallesi,Daire | 3.5+1 | 1. Kat | 200 m²,30.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2.5+1 | 2. Kat | 130 m²,21.500 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | 2. Kat | 35 m²,12.500 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+1 | 3. Kat | 45 m²,13.500 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 3+1 | 6. Kat | 180 m²,23.000 TL
Şahinbey - Bağlarbaşı Mahallesi,Daire | 2.5+1 | 4. Kat | 135 m²,25.000 TL
Oğuzeli - Oğuzlar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,8.000 TL
Şehitkamil - Atatürk Mahallesi,Daire | 3+1 | 5. Kat | 210 m²,35.000 TL
Şehitkamil - Karacaören Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 147 m²,9.500 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+0 | Kot 1 (-1). Kat | 90 m²,12.500 TL
Şehitkamil - Mücahitler Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,23.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,26.000 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 1+1 | 5. Kat | 40 m²,9.000 TL10.000 TL
Şahinbey - Deniz Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,19.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 4+2 | Villa tipi | 350 m²,43.000 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,21.990 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,22.000 TL
Şahinbey - Burç Karakuyu Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,8.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 3+1 | 12. Kat | 185 m²,24.000 TL
Şahinbey - Öğretmenevleri Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,36.000 TL
Şehitkamil - Güvenevler Mahallesi,Daire | 4+1 | 3. Kat | 300 m²,46.000 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 3+1 | 3. Kat | 190 m²,19.500 TL
Şehitkamil - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,33.000 TL36.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 75 m²,9.500 TL
Şehitkamil - Karacaahmet Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,25.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 3+1 | 11. Kat | 150 m²,15.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 3. Kat | 190 m²,26.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,15.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,15.250 TL
Şahinbey - Serinevler Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,17.000 TL
Şahinbey - Akkent Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,18.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Şehitkamil - Mücahitler Mahallesi,Daire | 3+1 | 6. Kat | 185 m²,21.500 TL25.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL11.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 6. Kat | 175 m²,19.850 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,45.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
Şehitkamil - Batıkent Mahallesi,Daire | 3+1 | 6. Kat | 180 m²,28.000 TL
Şahinbey - Kolejtepe Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,17.500 TL
Şahinbey - Abdülhamit Han Mahallesi,Daire | 2+0 | 8. Kat | 90 m²,12.000 TL
Şahinbey - Beyazlar Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,8.500 TL10.000 TL
Şahinbey - Binevler Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,14.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,14.000 TL
Oğuzeli - Mimar Sinan Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,27.500 TL
Şahinbey - Burç Karakuyu Mahallesi,Daire | 3+1 | 1. Kat | 122 m²,10.500 TL
Şehitkamil - Pancarlı Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,26.000 TL
Şahinbey - Malazgirt Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,7.750 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 9. Kat | 165 m²,18.250 TL
Şahinbey - Binevler Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,24.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 10. Kat | 175 m²,21.000 TL
Şahinbey - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,17.450 TL
Şahinbey - Konak Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,8.000 TL
Şahinbey - Konak Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,8.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+1 | 14. Kat | 135 m²,16.500 TL
Şahinbey - Binevler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,14.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 14. Kat | 165 m²,21.999 TL23.999 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 3+1 | 3. Kat | 195 m²,20.000 TL
Şahinbey - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,20.000 TL
Şahinbey - Mavikent Mahallesi,Daire | 2+1 | 6. Kat | 80 m²,17.000 TL20.000 TL
Şehitkamil - Şirinevler Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,13.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.000 TL13.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 5+1 | 5. Kat | 350 m²,35.000 TL
Şehitkamil - Mücahitler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.500 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,24.750 TL
Şahinbey - Alleben Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,14.000 TL
Şehitkamil - 15 Temmuz Mahallesi,Daire | Stüdyo | Bahçe katı | 26 m²,9.000 TL
Şehitkamil - Beylerbeyi Mahallesi,Daire | 1 Oda | 3. Kat | 145 m²,6.000 TL8.500 TL
Şahinbey - Şahintepe Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,17.750 TL
Şahinbey - Konak Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,11.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,11.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,12.000 TL
Şehitkamil - Gaziler Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,15.000 TL
Şehitkamil - Gaziler Mahallesi,Daire | 1+1 | 4. Kat | 100 m²,8.000 TL
Şehitkamil - Çamlıtepe Mahallesi,Daire | 2+1 | Yüksek giriş | 135 m²,13.250 TL
Şehitkamil - Karacaören Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,8.000 TL
Şehitkamil - Sarıgüllük Mahallesi,Daire | 4+1 | 6. Kat | 310 m²,27.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+1 | 13. Kat | 105 m²,15.750 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 3+1 | 6. Kat | 155 m²,20.250 TL
Şehitkamil - Çamlıtepe Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,14.850 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 4+1 | 1. Kat | 290 m²,35.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,17.999 TL
Şehitkamil - Karacaahmet Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,17.999 TL
Şahinbey - Güneş Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,41.500 TL
Şehitkamil - Osmangazi Mahallesi,Daire | 3+1 | 9. Kat | 160 m²,26.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,13.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1 Oda | 2. Kat | 20 m²,7.500 TL
Şehitkamil - Atatürk Mahallesi,Daire | 4+1 | 5. Kat | 250 m²,40.000 TL
Şahinbey - Güneykent Mahallesi,Daire | Stüdyo | Bahçe katı | 40 m²,5.500 TL
Şahinbey - Abdülhamit Han Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,18.250 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,15.000 TL
Şehitkamil - Karacaahmet Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,16.000 TL16.999 TL
Şahinbey - Deniz Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,13.500 TL15.000 TL
Şahinbey - Bülbülzade Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,22.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,12.500 TL
Şahinbey - Bülbülzade Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,22.000 TL
