location,information,sales_price
Kadıköy - Osmanağa Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,40.000 TL
Üsküdar - Kirazlıtepe Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,55.000 TL
Gaziosmanpaşa - Fevzi Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,24.000 TL
Sultangazi - Gazi Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,28.000 TL
Kartal - Yakacık Yeni Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,32.000 TL
Bahçelievler - Soğanlı Mahallesi,Daire | 1+1 | Bodrum Kat | 45 m²,9.500 TL
Esenler - Tuna Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,12.500 TL
Bağcılar - Kemalpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,22.000 TL
Bağcılar - Çınar Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,16.000 TL
Kartal - Yakacık Çarşı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,35.000 TL
Eyüpsultan - Düğmeciler Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,60.000 TL
Bahçelievler - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,58.000 TL
Eyüpsultan - İslambey Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 90 m²,19.000 TL
Eyüpsultan - Rami Yeni Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 80 m²,17.500 TL
Gaziosmanpaşa - Merkez Mahallesi,Daire | 1+1 | 2. Kat | 95 m²,15.000 TL
Eyüpsultan - Alibeyköy Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,49.000 TL
Üsküdar - Ünalan Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,22.000 TL
Çekmeköy - Ekşioğlu Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,26.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 4+1 | 5. Kat | 160 m²,40.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,46.000 TL
Çekmeköy - Mimar Sinan Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,26.000 TL
Ümraniye - Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,37.500 TL
Ataşehir - İnönü Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,23.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,30.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,45.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | Stüdyo | 2. Kat | 29 m²,24.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,32.500 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 3. Kat | 82 m²,36.000 TL
Ataşehir - İnönü Mahallesi,Daire | Stüdyo | 4. Kat | 39 m²,25.000 TL
Ataşehir - İnönü Mahallesi,Daire | Stüdyo | 3. Kat | 45 m²,24.500 TL
Ataşehir - Kayışdağı Mahallesi,Daire | Stüdyo | 3. Kat | 29 m²,30.000 TL
Ataşehir - İnönü Mahallesi,Daire | 1+1 | Bahçe katı | 40 m²,24.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,45.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 7. Kat | 78 m²,51.500 TL
Ataşehir - İnönü Mahallesi,Daire | Stüdyo | 5. Kat | 25 m²,31.000 TL
Üsküdar - Bulgurlu Mahallesi,Daire | Stüdyo | 1. Kat | 30 m²,25.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 2+1 | 11. Kat | 80 m²,55.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 1+1 | 5. Kat | 61 m²,35.000 TL
Ataşehir - Kayışdağı Mahallesi,Daire | 1+1 | 7. Kat | 47 m²,35.000 TL
Beyoğlu - Fetihtepe Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,31.000 TL
Arnavutköy - İslambey Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Beyoğlu - Keçeci Piri Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,26.500 TL
Beyoğlu - Halıcıoğlu Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 75 m²,22.000 TL
Esenyurt - Akevler Mahallesi,Daire | 1+1 | 24. Kat | 75 m²,19.000 TL
Kağıthane - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,21.500 TL
Kağıthane - Harmantepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Kağıthane - Çağlayan Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,23.750 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,26.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,16.500 TL
Kadıköy - Suadiye Mahallesi,Daire | 4+1 | 13. Kat | 200 m²,170.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 1+1 | 5. Kat | 42 m²,36.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 2+1 | 5. Kat | 78 m²,49.000 TL
Fatih - Topkapı Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,34.950 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
Kağıthane - Sultan Selim Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,13.000 TL
Kağıthane - Şirintepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,18.000 TL
Beykoz - Soğuksu Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,110.000 TL
Ataşehir - Esatpaşa Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,29.500 TL
Ümraniye - Huzur Mahallesi,Daire | 4+1 | 5. Kat | 160 m²,37.000 TL
Beyoğlu - Keçeci Piri Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,26.500 TL
Beyoğlu - Halıcıoğlu Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 75 m²,22.000 TL
Esenyurt - Akevler Mahallesi,Daire | 1+1 | 24. Kat | 75 m²,19.000 TL
Kağıthane - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,21.500 TL
Kağıthane - Harmantepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Kağıthane - Çağlayan Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,23.750 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,26.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,16.500 TL
Kadıköy - Suadiye Mahallesi,Daire | 4+1 | 13. Kat | 200 m²,170.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 1+1 | 5. Kat | 42 m²,36.000 TL
Maltepe - Aydınevler Mahallesi,Daire | 2+1 | 5. Kat | 78 m²,49.000 TL
Fatih - Topkapı Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,34.950 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,20.000 TL
Kağıthane - Sultan Selim Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,13.000 TL
Kağıthane - Şirintepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,18.000 TL
Beykoz - Soğuksu Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,110.000 TL
Ataşehir - Esatpaşa Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,29.500 TL
Ümraniye - Huzur Mahallesi,Daire | 4+1 | 5. Kat | 160 m²,37.000 TL
Üsküdar - Küplüce Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL
Üsküdar - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,22.000 TL
Üsküdar - Kısıklı Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,32.000 TL
Ataşehir - Esatpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,24.000 TL
Ataşehir - Örnek Mahallesi,Daire | Stüdyo | 20. Kat | 31 m²,25.000 TL
Zeytinburnu - Beştelsiz Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,35.000 TL
Bahçelievler - Bahçelievler Mahallesi,Daire | 4.5+1 | 5. Kat | 235 m²,145.000 TL
Sancaktepe - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,16.000 TL
Zeytinburnu - Maltepe Mahallesi,Daire | 1+1 | 12. Kat | 49 m²,30.000 TL
Bahçelievler - Bahçelievler Mahallesi,Daire | 3.5+1 | 7. Kat | 186 m²,105.000 TL
Bahçelievler - Bahçelievler Mahallesi,Daire | 1+1 | 16. Kat | 61 m²,38.000 TL
Silivri - Yeni Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,20.000 TL
Esenyurt - Necip Fazıl Kısakürek Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,15.000 TL
Esenyurt - Koza Mahallesi,Daire | 1+1 | 13. Kat | 75 m²,21.000 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,31.000 TL
Ümraniye - Tatlısu Mahallesi,Daire | 2+1 | 8. Kat | 130 m²,57.000 TL
Ataşehir - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,75.000 TL
Avcılar - Cihangir Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,23.000 TL
Çekmeköy - Mehmet Akif Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,37.000 TL
Çekmeköy - Aydınlar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,33.500 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,15.000 TL
Ümraniye - Şerifali Mahallesi,Daire | 2+1 | Bahçe katı | 140 m²,22.000 TL
Ümraniye - Armağanevler Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,38.000 TL
Sancaktepe - Yunus Emre Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,24.500 TL
Çekmeköy - Aydınlar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,16.000 TL
Küçükçekmece - Fatih Mahallesi,Daire | 3.5+1 | Bahçe katı | 224 m²,100.000 TL
Üsküdar - Kısıklı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,36.000 TL
Sancaktepe - Yunus Emre Mahallesi,Daire | 3+0 | Yüksek giriş | 120 m²,23.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,26.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 2+1 | 6. Kat | 124 m²,46.000 TL
Ataşehir - Esatpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,27.500 TL
Sancaktepe - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,50.000 TL
Fatih - Akşemsettin Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,25.500 TL
Fatih - Haseki Sultan Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,37.500 TL
Fatih - Hırka-i Şerif Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,24.000 TL
Kağıthane - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.500 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 3+1 | 5. Kat | 158 m²,26.000 TL
Sultangazi - Zübeyde Hanım Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Sultangazi - Gazi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,14.000 TL
Sultangazi - Gazi Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,15.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,24.500 TL
Çekmeköy - Aydınlar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,16.000 TL
Küçükçekmece - Fatih Mahallesi,Daire | 3.5+1 | Bahçe katı | 224 m²,100.000 TL
Üsküdar - Kısıklı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,36.000 TL
Sancaktepe - Yunus Emre Mahallesi,Daire | 3+0 | Yüksek giriş | 120 m²,23.000 TL
Çekmeköy - Merkez Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,26.000 TL
Sancaktepe - Veysel Karani Mahallesi,Daire | 2+1 | 6. Kat | 124 m²,46.000 TL
Ataşehir - Esatpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,27.500 TL
Sancaktepe - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,50.000 TL
Fatih - Akşemsettin Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,25.500 TL
Fatih - Haseki Sultan Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,37.500 TL
Fatih - Hırka-i Şerif Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,24.000 TL
Kağıthane - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.500 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 3+1 | 5. Kat | 158 m²,26.000 TL
Sultangazi - Zübeyde Hanım Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Sultangazi - Gazi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,14.000 TL
Sultangazi - Gazi Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,15.000 TL
Fatih - Yavuz Sultan Selim Mahallesi,Daire | 1+1 | 5. Kat | 90 m²,30.000 TL
Sancaktepe - Yunus Emre Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,25.000 TL
Ümraniye - Şerifali Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,34.500 TL
Pendik - Orhangazi Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.500 TL
Pendik - Batı Mahallesi,Daire | 3+1 | 6. Kat | 125 m²,80.000 TL
Ataşehir - İçerenköy Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,26.000 TL
Çekmeköy - Mehmet Akif Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,26.000 TL
Kartal - Soğanlık Yeni Mahallesi,Daire | 5+2 | 7. Kat | 260 m²,85.000 TL
Kadıköy - Caddebostan Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,75.000 TL
Şişli - İnönü Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,24.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,30.000 TL
Silivri - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,49.000 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 2+1 | 19. Kat | 92 m²,19.000 TL
Beylikdüzü - Adnan Kahveci Mahallesi,Daire | 3+1 | 6. Kat | 185 m²,38.000 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 1+1 | 21. Kat | 81 m²,15.000 TL
Esenyurt - Yeşilkent Mahallesi,Daire | Stüdyo | 8. Kat | 41 m²,13.000 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 1+1 | 7. Kat | 68 m²,14.000 TL
Esenyurt - Yeşilkent Mahallesi,Daire | 2+1 | 11. Kat | 129 m²,25.000 TL
Sultanbeyli - Abdurrahmangazi Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
Beylikdüzü - Kavaklı Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,20.750 TL
Beylikdüzü - Kavaklı Mahallesi,Daire | 4+1 | 8. Kat | 177 m²,58.000 TL
Esenyurt - Piri Reis Mahallesi,Daire | 1+1 | 12. Kat | 85 m²,18.000 TL
Avcılar - Üniversite Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,32.000 TL
Arnavutköy - Hadımköy Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Pendik - Kaynarca Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,40.000 TL
Sultanbeyli - Hamidiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Silivri - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,45.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 3+1 | 9. Kat | 147 m²,75.000 TL
Küçükçekmece - İstasyon Mahallesi,Daire | 3+1 | Bahçe katı | 165 m²,80.000 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,21.000 TL
Başakşehir - Altınşehir Mahallesi,Daire | 1+1 | Çatı katı | 62 m²,12.500 TL
Kartal - Atalar Mahallesi,Daire | 2+1 | Yüksek giriş | 79 m²,24.000 TL
Gaziosmanpaşa - Merkez Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,21.000 TL
Sultanbeyli - Mimar Sinan Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,19.000 TL
Üsküdar - Mimar Sinan Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,38.000 TL
Sancaktepe - Yunus Emre Mahallesi,Daire | 1+1 | 3. Kat | 100 m²,17.500 TL
Kartal - Atalar Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,48.000 TL
Çekmeköy - Cumhuriyet Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,25.000 TL
Çekmeköy - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,27.000 TL
Sancaktepe - Emek Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,23.000 TL
Ataşehir - Yenişehir Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,32.000 TL
Bayrampaşa - Yenidoğan Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,25.000 TL
Bayrampaşa - Yenidoğan Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,25.000 TL
Bayrampaşa - Orta Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,16.000 TL
Bayrampaşa - Vatan Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,26.500 TL
Bayrampaşa - Orta Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,32.000 TL
Ümraniye - Necip Fazıl Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,55.000 TL
Esenler - Namık Kemal Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,10.500 TL
Esenler - Nine Hatun Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,18.000 TL
Esenler - Davutpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,13.500 TL
Beylikdüzü - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 78 m²,18.000 TL
Esenyurt - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,16.000 TL
Esenyurt - Süleymaniye Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Esenyurt - Güzelyurt Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,23.000 TL
Esenyurt - Akevler Mahallesi,Daire | 1+1 | 9. Kat | 70 m²,14.500 TL
Bayrampaşa - Vatan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,26.000 TL
Bayrampaşa - Orta Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,35.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Pendik - Fevzi Çakmak Mahallesi,Daire | 2+1 | 7. Kat | 90 m²,35.000 TL
Pendik - Şeyhli Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,30.000 TL
Pendik - Esenler Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,35.000 TL
Arnavutköy - İslambey Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,18.000 TL
Arnavutköy - Arnavutköy Merkez Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,21.000 TL
Arnavutköy - Atatürk Mahallesi,Daire | 1.5+1 | Düz Giriş (Zemin) | 50 m²,9.000 TL
Ümraniye - Çakmak Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,31.500 TL
Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,36.000 TL
Beykoz - Çiğdem Mahallesi,Daire | 3+1 | 2. Kat | 157 m²,95.000 TL
Beykoz - Rüzgarlıbahçe Mahallesi,Daire | 4+1 | 2. Kat | 160 m²,20.000 TL
Ümraniye - Namık Kemal Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,32.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 1+1 | 16. Kat | 65 m²,30.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,60.000 TL
Şişli - İnönü Mahallesi,Daire | 1+1 | 5. Kat | 69 m²,50.000 TL
Esenyurt - Akevler Mahallesi,Daire | 1+1 | 9. Kat | 70 m²,14.500 TL
Bayrampaşa - Vatan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,26.000 TL
Bayrampaşa - Orta Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,35.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
Pendik - Fevzi Çakmak Mahallesi,Daire | 2+1 | 7. Kat | 90 m²,35.000 TL
Pendik - Şeyhli Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,30.000 TL
Pendik - Esenler Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,35.000 TL
Arnavutköy - İslambey Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,18.000 TL
Arnavutköy - Arnavutköy Merkez Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,21.000 TL
Arnavutköy - Atatürk Mahallesi,Daire | 1.5+1 | Düz Giriş (Zemin) | 50 m²,9.000 TL
Ümraniye - Çakmak Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,31.500 TL
Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,36.000 TL
Beykoz - Çiğdem Mahallesi,Daire | 3+1 | 2. Kat | 157 m²,95.000 TL
Beykoz - Rüzgarlıbahçe Mahallesi,Daire | 4+1 | 2. Kat | 160 m²,20.000 TL
Ümraniye - Namık Kemal Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,32.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 1+1 | 16. Kat | 65 m²,30.000 TL
Küçükçekmece - Atakent Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,60.000 TL
Şişli - İnönü Mahallesi,Daire | 1+1 | 5. Kat | 69 m²,50.000 TL
Beşiktaş - Levazım Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,80.000 TL
Kağıthane - Merkez Mahallesi,Daire | 1+1 | 11. Kat | 55 m²,40.000 TL
Tuzla - Aydıntepe Mahallesi,Daire | 1+1 | 11. Kat | 61 m²,25.000 TL
Adalar - Maden Mahallesi,Daire | 4+1 | 3. Kat | 120 m²,72.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,20.000 TL
Şişli - Eskişehir Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,32.000 TL
Şişli - Gülbahar Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,25.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 35 m²,21.500 TL
Gaziosmanpaşa - Yıldıztabya Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,27.500 TL
Şişli - Kuştepe Mahallesi,Daire | Stüdyo | 4. Kat | 40 m²,18.500 TL
Şişli - Kuştepe Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 80 m²,26.500 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,29.000 TL
Çekmeköy - Ekşioğlu Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,26.500 TL
Maltepe - Esenkent Mahallesi,Daire | 3+1 | 7. Kat | 124 m²,65.000 TL
Kadıköy - Koşuyolu Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,58.000 TL
Küçükçekmece - Atatürk Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,12.600 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 1+1 | Bahçe katı | 65 m²,11.000 TL
Ataşehir - İnönü Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,30.000 TL
Ataşehir - İnönü Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,24.000 TL
Ataşehir - İnönü Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 50 m²,25.000 TL
Ataşehir - İnönü Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,25.000 TL
Ataşehir - İnönü Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,45.000 TL
Ataşehir - İnönü Mahallesi,Daire | 4+1 | 4. Kat | 195 m²,55.000 TL
Kağıthane - Hamidiye Mahallesi,Daire | 1+1 | 10. Kat | 55 m²,50.000 TL
Kadıköy - Suadiye Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,125.000 TL
Kadıköy - Fenerbahçe Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,130.000 TL
Beyoğlu - Hacımimi Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,80.000 TL
Şişli - Mecidiyeköy Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,28.500 TL
Eyüpsultan - Çırçır Mahallesi,Daire | 2+1 | 3. Kat | 98 m²,35.000 TL
Maltepe - Cevizli Mahallesi,Daire | 2+1 | 5. Kat | 101 m²,55.000 TL
Kartal - Uğur Mumcu Mahallesi,Daire | 2+1 | 9. Kat | 115 m²,29.500 TL
Maltepe - Cevizli Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,40.000 TL
Maltepe - Altıntepe Mahallesi,Daire | 4+1 | 3. Kat | 125 m²,45.000 TL
Pendik - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,26.500 TL
Pendik - Yeni Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,37.500 TL
Maltepe - Cevizli Mahallesi,Daire | 4+1 | 10. Kat | 220 m²,90.000 TL
Kartal - Hürriyet Mahallesi,Daire | 1+1 | 10. Kat | 59 m²,27.500 TL
Kartal - Kordonboyu Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,47.000 TL
Pendik - Yenişehir Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,31.000 TL
Pendik - Batı Mahallesi,Daire | 4+2 | 6. Kat | 180 m²,72.500 TL
Pendik - Sapan Bağları Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Üsküdar - Kirazlıtepe Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,55.000 TL
Kadıköy - Suadiye Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,125.000 TL
Kadıköy - Fenerbahçe Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,130.000 TL
