location,information,sales_price
Fatih - Koca Mustafapaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,25.000 TL
Beylikdüzü - Sahil Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,40.000 TL
Beylikdüzü - Sahil Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,30.000 TL
Beykoz - Acarlar Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,67.000 TL
Beykoz - Soğuksu Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,90.000 TL
Beykoz - Acarlar Mahallesi,Daire | 4+2 | Çatı katı | 350 m²,110.000 TL
Ümraniye - Parseller Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.500 TL
Avcılar - Cihangir Mahallesi,Daire | 2+0 | Çatı katı | 130 m²,25.000 TL
Kadıköy - Merdivenköy Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,42.000 TL
Pendik - Kaynarca Mahallesi,Daire | 3+1 | 3. Kat | 100 m²,45.000 TL
Ümraniye - Finanskent Mahallesi,Daire | 1+1 | 30. Kat | 65 m²,42.000 TL
Ataşehir - Mustafa Kemal Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,25.000 TL
Zeytinburnu - Beştelsiz Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,28.000 TL
Avcılar - Gümüşpala Mahallesi,Daire | 1+1 | Bahçe katı | 65 m²,18.500 TL
Avcılar - Gümüşpala Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,13.000 TL
Esenyurt - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,12.000 TL
Sancaktepe - Emek Mahallesi,Daire | 2+2 | 4. Kat | 90 m²,25.000 TL
Esenler - Turgut Reis Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,23.000 TL
Avcılar - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,22.000 TL
Pendik - Esenyalı Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,14.000 TL
Ümraniye - Tatlısu Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Sarıyer - Büyükdere Mahallesi,Daire | 2+1 | 4. Kat | 68 m²,25.000 TL
Bakırköy - Sakızağacı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,51.000 TL
Arnavutköy - Anadolu Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,19.000 TL
Arnavutköy - Arnavutköy Merkez Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,22.000 TL
Avcılar - Tahtakale Mahallesi,Daire | 3+1 | 1. Kat | 115 m²,26.000 TL
Sultangazi - İsmetpaşa Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,16.500 TL
Esenyurt - Akşemseddin Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.000 TL
Şişli - Merkez Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,65.000 TL
Zeytinburnu - Seyitnizam Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,35.000 TL
Üsküdar - Ahmediye Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 80 m²,27.000 TL
Ümraniye - Esenkent Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,25.000 TL
Ataşehir - Yeni Çamlıca Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,22.000 TL
Eyüpsultan - Karadolap Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,26.000 TL
Eyüpsultan - Çırçır Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,40.000 TL
Sancaktepe - İnönü Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,28.000 TL
Fatih - Akşemsettin Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,28.500 TL
Başakşehir - Bahçeşehir 2. Kısım Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,30.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | Stüdyo | Bahçe katı | 40 m²,8.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,24.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Beşiktaş - Dikilitaş Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 105 m²,35.000 TL
Pendik - Orhangazi Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,17.500 TL
Tuzla - Aydıntepe Mahallesi,Daire | 3+1 | 10. Kat | 140 m²,40.000 TL
Pendik - Batı Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,42.500 TL
Kadıköy - Bostancı Mahallesi,Daire | 2+1 | 4. Kat | 89 m²,69.000 TL
Bağcılar - Demirkapı Mahallesi,Daire | 2+1 | Bodrum Kat | 95 m²,13.000 TL
Ataşehir - Mimar Sinan Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,22.000 TL
Ataşehir - Ferhatpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
Ataşehir - Mimar Sinan Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,22.000 TL
Esenyurt - Güzelyurt Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,16.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.500 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,27.000 TL29.000 TL
Silivri - Yeni Mahallesi,Daire | 2+1 | 12. Kat | 75 m²,22.000 TL
Ümraniye - Yamanevler Mahallesi,Daire | 2+1 | 26. Kat | 114 m²,80.000 TL
Kadıköy - Göztepe Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,80.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,15.500 TL
Bağcılar - Mahmutbey Mahallesi,Daire | 2+1 | 19. Kat | 95 m²,43.000 TL
Küçükçekmece - İnönü Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,37.000 TL40.000 TL
Esenler - Oruçreis Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
