location,information,sales_price
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,19.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | 2. Kat | 112 m²,34.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,15.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,23.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 2+1 | 4. Kat | 96 m²,22.500 TL
Edremit - İskele Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,25.000 TL
Edremit - Sarıkız Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,60.000 TL
Edremit - Sarıkız Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,33.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 1. Kat | 78 m²,19.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,22.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 1. Kat | 78 m²,23.000 TL
Altıeylül - Atköy Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,20.000 TL
Edremit - Zeytinli Mahallesi,Daire | 1+1 | 2. Kat | 85 m²,16.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,26.000 TL28.000 TL
Karesi - Yıldırım Mahallesi,Daire | 2+1 | 6. Kat | 85 m²,17.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,25.750 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 3. Kat | 44 m²,20.000 TL
Edremit - Akçay Mahallesi,Daire | 3+1 | Bahçe dublex | 140 m²,25.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,17.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,16.000 TL
Burhaniye - İskele Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,30.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,15.000 TL
Bandırma - Sunullah Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,17.500 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,19.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,15.500 TL
Bandırma - İhsaniye Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,16.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,16.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | Stüdyo | 2. Kat | 60 m²,16.500 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,28.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,25.000 TL
Erdek - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,250.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,300.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,300.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,300.000 TL
Bandırma - Haydar Çavuş Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,18.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Edremit - İkizçay Mahallesi,Daire | 1+1 | Yüksek giriş | 95 m²,2.500 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,3.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,14.000 TL15.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,16.000 TL
Bandırma - Bentbaşı Mahallesi,Daire | Stüdyo | 2. Kat | 60 m²,20.500 TL
Edremit - İskele Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,3.500 TL
Bandırma - Paşamescit Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,15.000 TL
Edremit - İskele Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,3.500 TL
Bandırma - Paşamescit Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,15.000 TL
Burhaniye - Ören Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,23.000 TL40.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,23.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Karesi - Kuva-İ Milliye Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,17.250 TL
Karesi - Kuva-İ Milliye Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 130 m²,20.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 100 m²,13.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 87 m²,22.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.000 TL20.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,25.000 TL
Edremit - Gazicelal Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,25.000 TL27.000 TL
Karesi - Hisariçi Mahallesi,Daire | 3+1 | 2. Kat | 85 m²,13.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,17.000 TL
Edremit - Hamidiye Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,22.500 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 2. Kat | 85 m²,17.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 3. Kat | 58 m²,16.750 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,12.500 TL14.500 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,15.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,17.000 TL
Karesi - 1. Oruçgazi Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,20.000 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,30.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Bandırma - Sunullah Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,21.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | Bahçe katı | 112 m²,33.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,22.500 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,26.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 55 m²,22.500 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,16.000 TL
Erdek - Yalı Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,25.000 TL
Karesi - Ege Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,14.000 TL15.000 TL
Edremit - Sarıkız Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,21.000 TL22.500 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,15.250 TL
Bandırma - Edincik Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,16.000 TL
Edremit - Altınoluk Mahallesi,Daire | 3+1 | Villa tipi | 120 m²,4.000 TL5.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | Bodrum Kat | 110 m²,8.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,20.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,18.000 TL20.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,28.000 TL
Edremit - Eroğlan Mahallesi,Daire | 2+1 | 6. Kat | 84 m²,24.000 TL
Edremit - Çamlıbel Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,3.750 TL4.500 TL
Erdek - Yalı Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,250.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 70 m²,10.000 TL11.000 TL
Edremit - Şahindere Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,100.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,16.500 TL
Edremit - Şahindere Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,135.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 65 m²,11.000 TL
Karesi - Ali Hikmet Paşa Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,11.500 TL12.500 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,28.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,30.000 TL35.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,35.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,16.500 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,18.750 TL
Karesi - Adnan Menderes Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,13.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 53 m²,15.500 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,19.000 TL
Bandırma - Ayyıldız Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,16.000 TL
Burhaniye - Mahkeme Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,40.000 TL
Edremit - Hamidiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,50.000 TL
Gömeç - Yaya Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.500 TL
Bandırma - Paşakonak Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,25.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.500 TL
Edremit - Kızılkeçili Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,24.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL15.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | 4. Kat | 113 m²,36.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 65 m²,3.500 TL
Bandırma - Paşakonak Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,20.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,21.000 TL
Karesi - Ali Hikmet Paşa Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,15.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 45 m²,14.750 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 1. Kat | 54 m²,25.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,14.000 TL15.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,25.500 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,29.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,14.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,35.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,12.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,18.000 TL
Edremit - Altınoluk Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,30.000 TL
Ayvalık - Sahil Kent Mahallesi,Daire | 3.5+1 | Villa tipi | 140 m²,90.000 TL100.000 TL
Erdek - Aşağıyapıcı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.500 TL
Bandırma - İhsaniye Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,25.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Erdek - Alaettin Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL22.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,3.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,100.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,3.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,100.000 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,25.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL
Edremit - Cennetayağı Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,23.000 TL
Karesi - Maltepe Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,30.500 TL
Gönen - Sarıköy Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,9.000 TL
Bandırma - 100. Yıl Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,23.000 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 96 m²,15.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 2. Kat | 63 m²,22.000 TL
Bandırma - Sunullah Mahallesi,Daire | 2+0 | 2. Kat | 95 m²,19.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | Bahçe katı | 128 m²,14.500 TL
Edremit - Gazi İlyas Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.500 TL
Bandırma - 100. Yıl Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Bandırma - Sunullah Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,14.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | Bodrum Kat | 100 m²,11.000 TL
Karesi - Yıldırım Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,18.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | Stüdyo | 1. Kat | 20 m²,8.500 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,21.000 TL
Karesi - Ali Hikmet Paşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.000 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,25.000 TL
Karesi - Kayabey Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,26.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,9.000 TL
Burhaniye - İskele Mahallesi,Daire | 3+1 | Bahçe katı | 100 m²,260.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,17.000 TL
Bandırma - Dere Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,18.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,15.000 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,18.500 TL
Edremit - Cennetayağı Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,30.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Bandırma - 100. Yıl Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,8.500 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 115 m²,16.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 4. Kat | 65 m²,21.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,21.000 TL
Edremit - Akçay Mahallesi,Daire | 2.5+1 | 1. Kat | 120 m²,375.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 1+1 | Çatı katı | 70 m²,35.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,15.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,17.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,16.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.500 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,15.500 TL17.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,20.000 TL
Karesi - Toygar Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,16.000 TL
Bandırma - Sunullah Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,13.500 TL
Karesi - 1. Sakarya Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,8.000 TL10.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,25.000 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,8.500.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,21.000 TL
Karesi - Toygar Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,20.500 TL
Edremit - Avcılar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Edremit - Eroğlan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.999 TL
Edremit - Çamlıbel Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Gömeç - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,17.500 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,25.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,19.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Karesi - Maltepe Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,8.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Karesi - Maltepe Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,8.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,12.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 78 m²,16.500 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,16.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 4. Kat | 43 m²,13.500 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,21.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,14.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,23.000 TL
Edremit - Şahindere Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,300.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,25.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 65 m²,300.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,300.000 TL
Erdek - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,25.000 TL
Burhaniye - Mahkeme Mahallesi,Daire | 1+1 | Müstakil | 100 m²,32.000 TL35.000 TL
Edremit - Akçay Mahallesi,Daire | 3+1 | Çatı Dubleks | 150 m²,40.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,25.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,25.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,14.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 3. Kat | 72 m²,15.500 TL
Altıeylül - Altı Eylül Mahallesi,Daire | 1+1 | Bodrum Kat | 70 m²,12.000 TL
Bandırma - Sunullah Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 7. Kat | 65 m²,18.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,25.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 1. Kat | 43 m²,16.500 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,16.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,25.000 TL30.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,16.500 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,15.000 TL
Bandırma - Haydar Çavuş Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 125 m²,18.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | Yüksek giriş | 68 m²,23.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.500 TL
Karesi - Maltepe Mahallesi,Daire | 2+1 | 1. Kat | 56 m²,25.000 TL
Karesi - Maltepe Mahallesi,Daire | 2+1 | 7. Kat | 56 m²,29.000 TL
Edremit - Güre Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,30.000 TL35.000 TL
Edremit - Güre Mahallesi,Daire | 3+1 | Çatı Dubleks | 170 m²,40.000 TL45.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,19.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Altıeylül - Altı Eylül Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,14.500 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 3. Kat | 57 m²,23.500 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 3+1 | Bahçe katı | 85 m²,11.500 TL12.500 TL
Edremit - Gazicelal Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,25.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,30.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,17.000 TL
Bandırma - Yeni Mahallesi,Daire | Stüdyo | 4. Kat | 60 m²,16.000 TL
Karesi - Toygar Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,15.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 2+1 | 2. Kat | 107 m²,95.000 TL
Bandırma - Sunullah Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,17.000 TL
Burhaniye - Ören Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,3.000 TL
Edremit - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 152 m²,30.000 TL
Edremit - Camivasat Mahallesi,Daire | 1.5+1 | 3. Kat | 70 m²,15.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL15.000 TL
Bandırma - Günaydın Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,15.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 3+1 | 2. Kat | 146 m²,22.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,15.500 TL17.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 4. Kat | 63 m²,22.000 TL
Bandırma - Bentbaşı Mahallesi,Daire | 2+1 | 3. Kat | 88 m²,14.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,13.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,23.000 TL25.000 TL
Karesi - Kuva-İ Milliye Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,19.000 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,40.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.500 TL
Bandırma - Paşakonak Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 130 m²,23.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,27.000 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,30.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 1+1 | 2. Kat | 53 m²,14.250 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,17.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,35.000 TL
Ayvalık - Altınova Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,3.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,26.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
