location,information,sales_price
Bandırma - Çınarlı Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,20.000 TL
Karesi - Ege Mahallesi,Daire | Stüdyo | 4. Kat | 30 m²,15.000 TL
Karesi - Ege Mahallesi,Daire | Stüdyo | 5. Kat | 25 m²,12.500 TL
Karesi - Ege Mahallesi,Daire | Stüdyo | 4. Kat | 25 m²,13.500 TL
Burhaniye - İskele Mahallesi,Daire | 3+1 | Bahçe katı | 110 m²,55.000 TL
Gömeç - Mithatpaşa Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,23.000 TL
Burhaniye - Ören Mahallesi,Daire | 3+1 | 3. Kat | 172 m²,45.000 TL
Marmara - Avşa Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,17.000 TL
Karesi - Toygar Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Edremit - Cennetayağı Mahallesi,Daire | 3+1 | Yüksek giriş | 145 m²,30.000 TL
Bandırma - Günaydın Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,15.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,17.500 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,26.000 TL
Bandırma - Sunullah Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,20.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | Bahçe katı | 157 m²,40.000 TL
Burhaniye - Kocacami Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,20.000 TL
Bandırma - Paşakent Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Edremit - Cumhuriyet Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,20.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | Yüksek giriş | 86 m²,18.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,17.500 TL
Edremit - İskele Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,40.000 TL
Gönen - Kurtuluş Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,16.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 60 m²,15.000 TL
Karesi - Maltepe Mahallesi,Daire | 2+1 | Bahçe katı | 115 m²,12.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.000 TL
Burhaniye - Ören Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,30.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.750 TL
Ayvalık - Küçükköy Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,22.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,16.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
