location,information,sales_price
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,21.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.500 TL
Altınordu - Bucak Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,18.500 TL
Altınordu - Şarkiye Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,11.000 TL
Ünye - Fevzi Çakmak Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.000 TL
Ünye - Çınarlık Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,16.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,17.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,15.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,14.500 TL
Altınordu - Bahçelievler Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,35.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,16.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,21.000 TL
Altınordu - Düz Mahallesi,Daire | 3+1 | 1. Kat | 90 m²,17.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 9. Kat | 55 m²,17.500 TL
Altınordu - Akyazı Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,20.500 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,10.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.000 TL
Altınordu - Bucak Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²,8.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,15.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 4+1 | 3. Kat | 140 m²,25.000 TL
Altınordu - Bucak Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,10.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,17.000 TL
Ünye - Saraçlı Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,10.500 TL
Ünye - Kaledere Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,12.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,11.000 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 12. Kat | 140 m²,26.750 TL
Ünye - Çamurlu Mahallesi,Daire | 1.5+1 | 1. Kat | 90 m²,10.000 TL
Ünye - Fevzi Çakmak Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,11.000 TL
Ünye - Gölevi Mahallesi,Daire | 3+1 | 8. Kat | 120 m²,24.000 TL
Ünye - Burunucu Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,25.000 TL
Ünye - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,13.500 TL
Ünye - Kaledere Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,15.500 TL
Ünye - Çamurlu Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,12.250 TL
Ünye - Gölevi Mahallesi,Daire | 1+1 | 8. Kat | 50 m²,14.000 TL
Ünye - Kaledere Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,9.000 TL
Ünye - Saraçlı Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,10.500 TL
Ünye - Atatürk Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,22.500 TL
Ünye - Kaledere Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,10.500 TL
Ünye - Saraçlı Mahallesi,Daire | 4+2 | 5. Kat | 260 m²,18.000 TL
Fatsa - Dolunay Mahallesi,Daire | 4+1 | 11. Kat | 205 m²,27.000 TL
Ünye - Fevzi Çakmak Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,12.500 TL
Ünye - Gölevi Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,17.250 TL
Ünye - Gölevi Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,19.000 TL21.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,19.999 TL
Ünye - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,12.500 TL
Ünye - Gölevi Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,18.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,15.500 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,19.000 TL
Altınordu - Akyazı Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,32.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,20.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,32.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,25.000 TL27.000 TL
Altınordu - Karapınar Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,24.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,16.000 TL
Ünye - Liseler Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,8.000 TL
