location,information,sales_price
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,13.000 TL
Efeler - Efeler Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,22.000 TL
Didim - Fevzipaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,60.000 TL125.000 TL
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,21.000 TL
Söke - Kemalpaşa Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,27.000 TL
Didim - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,22.000 TL
Söke - Konak Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,15.000 TL
Söke - Çeltikçi Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,20.500 TL
Kuşadası - Kadınlar Denizi Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,25.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.750 TL
Didim - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,28.000 TL
Efeler - Zafer Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL15.000 TL
Kuşadası - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,27.000 TL
Kuşadası - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,23.000 TL
Söke - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,12.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,15.000 TL
İncirliova - Zafer Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,15.000 TL
Nazilli - Sümer Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,13.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,9.500 TL
Söke - Yenikent Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,18.000 TL
Nazilli - Turan Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,14.000 TL
