location,information,sales_price
Kartepe - Ertuğrul Gazi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 91 m²,25.000 TL
İzmit - Akarca Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,20.000 TL
İzmit - Yahyakaptan Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,30.000 TL
Derince - Çınarlı Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Derince - Yenikent Mahallesi,Daire | 2+1 | Bahçe katı | 130 m²,35.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL
İzmit - 28 Haziran Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,35.000 TL
İzmit - Çayırköy Mahallesi,Daire | 3+1 | 3. Kat | 154 m²,40.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,18.000 TL
Gölcük - Atatürk Mahallesi,Daire | 3+1 | Bahçe katı | 200 m²,36.000 TL
Körfez - İlimtepe Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,15.000 TL
Körfez - İlimtepe Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,14.000 TL
Körfez - İlimtepe Mahallesi,Daire | 2+1 | 4. Kat | 86 m²,15.000 TL
Gebze - Kirazpınar Mahallesi,Daire | 3+1 | 8. Kat | 125 m²,23.000 TL
Çayırova - Emek Mahallesi,Daire | 2+1 | 8. Kat | 115 m²,32.000 TL
Gölcük - Piyalepaşa Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.500 TL
Gölcük - İpek Yolu Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 150 m²,32.000 TL
Başiskele - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,29.750 TL
Gebze - Yenikent Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,23.000 TL
Darıca - Emek Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,21.000 TL
Darıca - Emek Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,21.000 TL
Çayırova - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,31.000 TL
Darıca - Emek Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,24.500 TL
