location,information,sales_price
İzmit - Yeşilova Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,26.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Kartepe - Ataevler Mahallesi,Daire | 1+1 | Bahçe katı | 109 m²,23.500 TL
İzmit - Tavşantepe Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
İzmit - Akarca Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,20.000 TL
İzmit - Turgut Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,25.000 TL
İzmit - Sekbanlı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.500 TL
Darıca - Fevzi Çakmak Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,20.000 TL
Darıca - Kazım Karabekir Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,20.500 TL
İzmit - Cedit Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,28.000 TL
İzmit - Kozluk Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,25.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,23.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 140 m²,30.000 TL
İzmit - 28 Haziran Mahallesi,Daire | 2+1 | 6. Kat | 77 m²,20.000 TL
İzmit - Kuruçeşme Fatih Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,16.000 TL
İzmit - Çayırköy Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,26.000 TL
İzmit - Çayırköy Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,32.500 TL
Gebze - Hacıhalil Mahallesi,Daire | 2+1 | 1. Kat | 160 m²,32.000 TL
Darıca - Fevzi Çakmak Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,22.500 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,35.000 TL
İzmit - Veliahmet Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,19.500 TL
İzmit - Kadıköy Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,25.000 TL
Çayırova - Özgürlük Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,17.000 TL
Çayırova - Akse Mahallesi,Daire | 1+1 | 3. Kat | 77 m²,23.000 TL
İzmit - Yenişehir Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,15.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,23.000 TL
Gebze - Yenikent Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,22.000 TL
Gebze - Barış Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Körfez - Atalar Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
İzmit - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 82 m²,23.000 TL
Gebze - Adem Yavuz Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,18.000 TL
İzmit - Alikahya Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Kartepe - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.500 TL
İzmit - Tepeköy Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,13.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,23.000 TL
Çayırova - Akse Mahallesi,Daire | 1+1 | 5. Kat | 68 m²,28.000 TL
Çayırova - Akse Mahallesi,Daire | 2+1 | Yüksek giriş | 93 m²,15.000 TL
İzmit - Kozluk Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,23.500 TL
Gebze - Kirazpınar Mahallesi,Daire | 1+1 | 7. Kat | 75 m²,23.000 TL
İzmit - Akarca Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,18.000 TL
Çayırova - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Gölcük - Merkez Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,18.000 TL
Darıca - Fevzi Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,24.000 TL
İzmit - Körfez Mahallesi,Daire | 4+1 | 5. Kat | 150 m²,20.000 TL
Gebze - Yenikent Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,25.000 TL
Kartepe - Ertuğrul Gazi Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,21.000 TL
Gebze - Gaziler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Gebze - Mimar Sinan Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,20.000 TL
Darıca - Nenehatun Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,21.000 TL
İzmit - Gündoğdu Mahallesi,Daire | 4+1 | Çatı katı | 180 m²,27.000 TL
Başiskele - Döngel Mahallesi,Daire | 3+1 | Çatı katı | 200 m²,36.000 TL
Başiskele - Döngel Mahallesi,Daire | 2+1 | 2. Kat | 103 m²,27.000 TL
Başiskele - Döngel Mahallesi,Daire | 2+1 | Çatı katı | 115 m²,31.000 TL
Çayırova - Atatürk Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,19.500 TL
Derince - Çenedağ Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,24.000 TL
Darıca - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,18.000 TL
İzmit - Karabaş Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
İzmit - Karabaş Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,22.000 TL
Kartepe - Ataevler Mahallesi,Daire | 1.5+1 | Çatı Dubleks | 115 m²,23.000 TL25.000 TL
İzmit - Körfez Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,16.500 TL
Gölcük - Donanma Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,18.000 TL
İzmit - 28 Haziran Mahallesi,Daire | 2+1 | 3. Kat | 77 m²,20.000 TL
Kartepe - Ataevler Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,31.000 TL
Çayırova - Özgürlük Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,15.000 TL
İzmit - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,28.000 TL30.000 TL
Derince - Yavuz Sultan Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Çayırova - Çayırova Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
İzmit - Tüysüzler Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,27.000 TL29.000 TL
İzmit - Karabaş Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
İzmit - Zabıtan Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.500 TL
Kartepe - Uzunçiftlik Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,16.000 TL
Körfez - Güney Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Körfez - Çamlıtepe Mahallesi,Daire | 1+1 | 2. Kat | 100 m²,14.000 TL
İzmit - Ömerağa Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
İzmit - Şirintepe Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,14.000 TL
İzmit - Kozluk Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,2.550.000 TL
Gebze - Yenikent Mahallesi,Daire | 4+1 | 7. Kat | 340 m²,50.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Körfez - Çamlıtepe Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,14.500 TL
İzmit - Alikahya Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 87 m²,26.000 TL
İzmit - Yenişehir Mahallesi,Daire | Stüdyo | Yüksek giriş | 30 m²,14.000 TL
İzmit - Cedit Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,15.000 TL17.500 TL
Derince - Sırrıpaşa Mahallesi,Daire | 2.5+1 | Bahçe katı | 100 m²,18.500 TL
İzmit - Serdar Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
İzmit - Malta Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
İzmit - 28 Haziran Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.000 TL
Çayırova - Akse Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 140 m²,20.000 TL
Karamürsel - Kayacık Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,25.000 TL
Karamürsel - Ereğli Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,28.000 TL
İzmit - Akçakoca Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,22.000 TL
İzmit - Yenişehir Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,17.000 TL
Çayırova - Akse Mahallesi,Daire | 2+1 | 3. Kat | 119 m²,32.000 TL
Kartepe - Sarımeşe Mahallesi,Daire | 1+1 | Bahçe katı | 97 m²,25.000 TL
Çayırova - Akse Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,20.000 TL
Gebze - Köşklü Çeşme Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,23.900 TL
Körfez - Mimar Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,23.000 TL
İzmit - Cumhuriyet Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,32.000 TL35.000 TL
Gölcük - Topçular Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,25.000 TL
İzmit - M. Alipaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,15.000 TL
Derince - Dumlupınar Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,32.000 TL
Kartepe - Maşukiye Mahallesi,Daire | 3+1 | Bahçe katı | 210 m²,30.000 TL
İzmit - M. Alipaşa Mahallesi,Daire | 2+1 | 6. Kat | 130 m²,15.000 TL
Kartepe - Maşukiye Mahallesi,Daire | 3+1 | 1. Kat | 240 m²,32.000 TL
Darıca - Sırasöğütler Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,24.000 TL
İzmit - Ayazma Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,25.000 TL
Derince - Dumlupınar Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,30.000 TL
Gebze - Yenikent Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,25.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 6+2 | Bahçe dublex | 350 m²,85.000 TL
Darıca - Bağlarbaşı Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,25.000 TL
İzmit - Yahyakaptan Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,20.000 TL
İzmit - Cumhuriyet Mahallesi,Daire | 3+1 | Çatı katı | 145 m²,45.000 TL
İzmit - Sanayi Mahallesi,Daire | 5+1 | 4. Kat | 160 m²,45.000 TL
Gebze - Sultan Orhan Mahallesi,Daire | 2+1 | 2. Kat | 91 m²,10.000 TL
Gölcük - Cumhuriyet Mahallesi,Daire | 3+2 | 2. Kat | 175 m²,33.000 TL
İzmit - Tavşantepe Mahallesi,Daire | 1+1 | Yüksek giriş | 85 m²,15.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 3+1 | 5. Kat | 100 m²,25.000 TL
Gölcük - Atatürk Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,25.000 TL
Çayırova - Akse Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,30.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 90 m²,20.000 TL
İzmit - Çayırköy Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,14.000 TL
İzmit - Erenler Mahallesi,Daire | 2+1 | Yüksek giriş | 77 m²,23.000 TL25.000 TL
Gölcük - Çiftlik Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,22.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,11.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,13.000 TL
Körfez - İlimtepe Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,13.000 TL
İzmit - Orhan Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.500 TL
Körfez - Atalar Mahallesi,Daire | 2+1 | 1. Kat | 104 m²,28.500 TL
Kartepe - Ataevler Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,15.000 TL
Gölcük - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,18.000 TL
Başiskele - Barbaros Mahallesi,Daire | 3+1 | Çatı katı | 125 m²,26.500 TL
Kartepe - Arslanbey Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,34.000 TL
Gebze - Osman Yılmaz Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,35.000 TL
Gebze - Cumaköy Mahallesi,Daire | 4+1 | 1. Kat | 120 m²,35.000 TL
İzmit - Kabaoğlu Mahallesi,Daire | Stüdyo | 4. Kat | 30 m²,17.500 TL
İzmit - Karabaş Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,22.500 TL
Gebze - Mimar Sinan Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
İzmit - Cedit Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 85 m²,18.000 TL
Darıca - Abdi İpekçi Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,21.000 TL
Körfez - Atalar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,28.500 TL
Gölcük - Piyalepaşa Mahallesi,Daire | 3+1 | Bahçe dublex | 130 m²,20.000 TL
Gölcük - Körfez Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,40.000 TL
Gölcük - Yazlık Yeni Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,23.500 TL
Gölcük - Karaköprü Mahallesi,Daire | 4+1 | 2. Kat | 240 m²,35.000 TL
Gebze - İstasyon Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,16.000 TL
İzmit - Erenler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,18.000 TL
İzmit - Hacıhızır Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,12.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,23.000 TL
Kartepe - Sarımeşe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 97 m²,25.000 TL
İzmit - Çayırköy Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,14.000 TL
İzmit - Erenler Mahallesi,Daire | 2+1 | Yüksek giriş | 77 m²,23.000 TL25.000 TL
Gölcük - Çiftlik Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,22.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,11.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,13.000 TL
Körfez - İlimtepe Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,13.000 TL
İzmit - Orhan Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.500 TL
Körfez - Atalar Mahallesi,Daire | 2+1 | 1. Kat | 104 m²,28.500 TL
Kartepe - Ataevler Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,15.000 TL
Gölcük - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,18.000 TL
Başiskele - Barbaros Mahallesi,Daire | 3+1 | Çatı katı | 125 m²,26.500 TL
Kartepe - Arslanbey Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,12.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,34.000 TL
Gebze - Osman Yılmaz Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,35.000 TL
Gebze - Cumaköy Mahallesi,Daire | 4+1 | 1. Kat | 120 m²,35.000 TL
İzmit - Kabaoğlu Mahallesi,Daire | Stüdyo | 4. Kat | 30 m²,17.500 TL
İzmit - Karabaş Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,22.500 TL
Gebze - Mimar Sinan Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
İzmit - Cedit Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 85 m²,18.000 TL
Darıca - Abdi İpekçi Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,21.000 TL
Körfez - Atalar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,28.500 TL
Gölcük - Piyalepaşa Mahallesi,Daire | 3+1 | Bahçe dublex | 130 m²,20.000 TL
Gölcük - Körfez Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,40.000 TL
Gölcük - Yazlık Yeni Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,23.500 TL
Gölcük - Karaköprü Mahallesi,Daire | 4+1 | 2. Kat | 240 m²,35.000 TL
Gebze - İstasyon Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,16.000 TL
İzmit - Erenler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,18.000 TL
İzmit - Hacıhızır Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,12.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,23.000 TL
Kartepe - Sarımeşe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 97 m²,25.000 TL
