location,information,sales_price
Muğla - Fethiye,Daire | 2+1 | 3. Kat | 100 m²,28.000 TL
Eskişehir - Tepebaşı,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Antalya - Muratpaşa,Daire | 2+1 | 1. Kat | 110 m²,30.000 TL
İzmir - Aliağa,Daire | 2+1 | 4. Kat | 86 m²,35.000 TL
İzmir - Aliağa,Daire | 3+1 | Çatı katı | 140 m²,25.000 TL
Tekirdağ - Kapaklı,Daire | 2+1 | 1. Kat | 80 m²,13.000 TL
Manisa - Soma,Daire | 3+1 | 1. Kat | 160 m²,25.000 TL
Gaziantep - Şahinbey,Daire | 2+1 | 2. Kat | 85 m²,18.500 TL
Elazığ - Elazığ Merkez,Daire | 3+1 | 3. Kat | 145 m²,10.000 TL
Balıkesir - Edremit,Daire | 2+1 | Bahçe katı | 85 m²,14.000 TL
Adana - Seyhan,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Afyonkarahisar - Bolvadin,Daire | 1+1 | 1. Kat | 45 m²,10.000 TL
Ankara - Mamak,Daire | 3+1 | Yüksek giriş | 125 m²,22.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 3. Kat | 70 m²,17.000 TL
Samsun - İlkadım,Daire | 2+1 | 2. Kat | 95 m²,17.000 TL
Bursa - Osmangazi,Daire | 3+1 | 3. Kat | 230 m²,35.000 TL
Nevşehir - Ürgüp,Daire | 2+0 | 1. Kat | 65 m²,20.000 TL
Adana - Seyhan,Daire | 2+1 | 2. Kat | 120 m²,12.000 TL
Adana - Seyhan,Daire | 3+1 | 2. Kat | 160 m²,130.000 TL
Ankara - Mamak,Daire | 3+1 | 3. Kat | 115 m²,22.000 TL
Aydın - Nazilli,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL
Batman - Batman Merkez,Daire | 1 Oda | 3. Kat | 60 m²,16.000 TL
İstanbul - Avcılar,Daire | 2+1 | 4. Kat | 100 m²,28.000 TL
Kocaeli - Gebze,Daire | 3+1 | 4. Kat | 135 m²,35.000 TL
İstanbul - Bahçelievler,Daire | 4+1 | 1. Kat | 200 m²,79.000 TL
Balıkesir - Edremit,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Adana - Seyhan,Daire | 2+1 | 2. Kat | 115 m²,12.000 TL
İstanbul - Esenyurt,Daire | 2+1 | Bahçe katı | 90 m²,15.000 TL
Konya - Selçuklu,Daire | 3+1 | Yüksek giriş | 145 m²,18.000 TL
İstanbul - Gaziosmanpaşa,Daire | 2+1 | Yüksek giriş | 90 m²,25.000 TL
Antalya - Konyaaltı,Daire | 5+1 | 4. Kat | 300 m²,80.000 TL
İzmir - Foça,Daire | 1+1 | Çatı katı | 60 m²,22.000 TL
Edirne - Edirne Merkez,Daire | 4+1 | Müstakil | 250 m²,60.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Sakarya - Adapazarı,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
İzmir - Torbalı,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Gaziantep - Şehitkamil,Daire | 2+1 | 5. Kat | 130 m²,19.000 TL
Balıkesir - Edremit,Daire | 3+1 | 2. Kat | 110 m²,32.000 TL
Kocaeli - İzmit,Daire | Stüdyo | 4. Kat | 30 m²,17.500 TL
Aydın - Nazilli,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
İzmir - Foça,Daire | 1+1 | Çatı katı | 60 m²,22.000 TL
Edirne - Edirne Merkez,Daire | 4+1 | Müstakil | 250 m²,60.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Sakarya - Adapazarı,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
İzmir - Torbalı,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Gaziantep - Şehitkamil,Daire | 2+1 | 5. Kat | 130 m²,19.000 TL
Balıkesir - Edremit,Daire | 3+1 | 2. Kat | 110 m²,32.000 TL
Kocaeli - İzmit,Daire | Stüdyo | 4. Kat | 30 m²,17.500 TL
Aydın - Nazilli,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
Aydın - Efeler,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Antalya - Konyaaltı,Daire | 2+1 | 2. Kat | 150 m²,35.000 TL
Antalya - Kepez,Daire | 2+1 | 2. Kat | 90 m²,15.700 TL
Bursa - Karacabey,Daire | 2+1 | 4. Kat | 130 m²,11.000 TL
Muğla - Fethiye,Daire | 2+1 | 3. Kat | 100 m²,28.000 TL
Eskişehir - Tepebaşı,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Antalya - Muratpaşa,Daire | 2+1 | 1. Kat | 110 m²,30.000 TL
İzmir - Aliağa,Daire | 2+1 | 4. Kat | 86 m²,35.000 TL
İzmir - Aliağa,Daire | 3+1 | Çatı katı | 140 m²,25.000 TL
Tekirdağ - Kapaklı,Daire | 2+1 | 1. Kat | 80 m²,13.000 TL
Manisa - Soma,Daire | 3+1 | 1. Kat | 160 m²,25.000 TL
Gaziantep - Şahinbey,Daire | 2+1 | 2. Kat | 85 m²,18.500 TL
Elazığ - Elazığ Merkez,Daire | 3+1 | 3. Kat | 145 m²,10.000 TL
Balıkesir - Edremit,Daire | 2+1 | Bahçe katı | 85 m²,14.000 TL
Balıkesir - Bandırma,Daire | 1+1 | 4. Kat | 55 m²,17.000 TL
Bursa - Mudanya,Daire | 3+1 | 6. Kat | 145 m²,25.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL
İzmir - Çiğli,Daire | 3+1 | 4. Kat | 125 m²,20.000 TL
Zonguldak - Devrek,Daire | 3+1 | 2. Kat | 135 m²,18.000 TL
İstanbul - Şişli,Daire | 1+1 | 2. Kat | 60 m²,56.500 TL
İstanbul - Şişli,Daire | 2+1 | 2. Kat | 70 m²,40.000 TL
Denizli - Merkezefendi,Daire | 5+2 | Bahçe dublex | 360 m²,60.000 TL
Muğla - Bodrum,Daire | 2+1 | Bahçe katı | 85 m²,40.000 TL
Samsun - İlkadım,Daire | 2+0 | Yüksek giriş | 90 m²,10.500 TL
Ankara - Çankaya,Daire | 3+2 | 3. Kat | 120 m²,33.000 TL
İzmir - Balçova,Daire | 3+1 | Kot 2 (-2). Kat | 140 m²,40.000 TL
İzmir - Balçova,Daire | 3+1 | 3. Kat | 125 m²,37.500 TL
İzmir - Balçova,Daire | 2+1 | 3. Kat | 85 m²,33.000 TL
İzmir - Bornova,Daire | 1+1 | 6. Kat | 55 m²,35.500 TL
İstanbul - Küçükçekmece,Daire | 4+1 | 2. Kat | 150 m²,20.000 TL
Ankara - Keçiören,Daire | 3+1 | 2. Kat | 115 m²,19.000 TL
Isparta - Isparta Merkez,Daire | 2+1 | Yüksek giriş | 55 m²,12.000 TL
Muğla - Köyceğiz,Daire | 3+1 | Bahçe katı | 150 m²,30.000 TL
Bursa - İnegöl,Daire | 5+1 | 3. Kat | 220 m²,18.000 TL
Karabük - Karabük Merkez,Daire | 3+1 | 1. Kat | 135 m²,15.000 TL
Giresun - Giresun Merkez,Daire | 1+1 | 3. Kat | 70 m²,20.000 TL
Adana - Seyhan,Daire | 4+1 | 13. Kat | 250 m²,30.000 TL
Gaziantep - Şahinbey,Daire | 2+1 | Yüksek giriş | 125 m²,9.500 TL
Samsun - İlkadım,Daire | 2+1 | 3. Kat | 98 m²,12.500 TL
İzmir - Buca,Daire | 2+1 | Yüksek giriş | 130 m²,26.000 TL
İzmir - Konak,Daire | 2+1 | 2. Kat | 90 m²,24.000 TL
Karaman - Karaman Merkez,Daire | 3+1 | 3. Kat | 170 m²,18.000 TL
Samsun - Atakum,Daire | 1+1 | 5. Kat | 52 m²,13.000 TL
Ankara - Çankaya,Daire | 2+1 | 3. Kat | 70 m²,26.000 TL
Ankara - Çankaya,Daire | 1+1 | 2. Kat | 55 m²,46.000 TL
İzmir - Buca,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Çanakkale - Çanakkale Merkez,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Konya - Akşehir,Daire | 2+1 | 3. Kat | 100 m²,14.500 TL
Yalova - Yalova Merkez,Daire | 3+1 | Yüksek giriş | 120 m²,22.000 TL
Yalova - Yalova Merkez,Daire | 3+1 | 1. Kat | 135 m²,25.000 TL
Muğla - Fethiye,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,17.000 TL
Ankara - Çankaya,Daire | 2+1 | 3. Kat | 70 m²,26.000 TL
Ankara - Çankaya,Daire | 1+1 | 2. Kat | 55 m²,46.000 TL
İzmir - Buca,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Çanakkale - Çanakkale Merkez,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Konya - Akşehir,Daire | 2+1 | 3. Kat | 100 m²,14.500 TL
Yalova - Yalova Merkez,Daire | 3+1 | Yüksek giriş | 120 m²,22.000 TL
Yalova - Yalova Merkez,Daire | 3+1 | 1. Kat | 135 m²,25.000 TL
Muğla - Fethiye,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,17.000 TL
Adana - Sarıçam,Daire | 3+1 | 8. Kat | 145 m²,15.000 TL
Karaman - Karaman Merkez,Daire | 1+1 | Çatı katı | 50 m²,12.000 TL
İstanbul - Beşiktaş,Daire | 2+1 | 3. Kat | 95 m²,45.000 TL
İstanbul - Beşiktaş,Daire | 2+1 | 3. Kat | 80 m²,55.000 TL
Trabzon - Ortahisar,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Samsun - Canik,Daire | 2+1 | 1. Kat | 100 m²,19.000 TL
Ankara - Çankaya,Daire | 3+1 | 10. Kat | 117 m²,52.000 TL
Edirne - Edirne Merkez,Daire | 2+1 | 5. Kat | 100 m²,20.000 TL
Mersin - Erdemli,Daire | 1.5+1 | 4. Kat | 75 m²,17.000 TL
Denizli - Merkezefendi,Daire | 2+1 | 4. Kat | 120 m²,25.000 TL
Adana - Seyhan,Daire | 4+1 | 1. Kat | 250 m²,20.000 TL
Denizli - Merkezefendi,Daire | 1+1 | 5. Kat | 50 m²,11.500 TL
Hatay - İskenderun,Daire | 3+1 | 2. Kat | 160 m²,20.000 TL
Kocaeli - Gebze,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Şanlıurfa - Haliliye,Daire | 3+1 | 3. Kat | 165 m²,11.000 TL
İzmir - Bergama,Daire | 2+1 | 3. Kat | 85 m²,20.000 TL
Bursa - Nilüfer,Daire | 3+1 | 1. Kat | 147 m²,25.000 TL
İstanbul - Sultangazi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Samsun - Canik,Daire | 2+1 | 2. Kat | 105 m²,11.000 TL
İzmir - Karşıyaka,Daire | 4+1 | 4. Kat | 165 m²,90.000 TL
Antalya - Alanya,Daire | 2+1 | Çatı Dubleks | 120 m²,20.000 TL
Muğla - Menteşe,Daire | 3+1 | 5. Kat | 135 m²,35.000 TL
İzmir - Karabağlar,Daire | 1+1 | Villa tipi | 75 m²,8.000 TL
Aydın - Nazilli,Daire | 2+1 | 1. Kat | 125 m²,14.000 TL
Elazığ - Elazığ Merkez,Daire | 3+1 | 2. Kat | 165 m²,23.000 TL
İstanbul - Esenler,Daire | 1+1 | Bahçe katı | 60 m²,14.000 TL15.000 TL
Bursa - Nilüfer,Daire | 3+1 | 2. Kat | 137 m²,26.000 TL
Samsun - İlkadım,Daire | 3+1 | 3. Kat | 135 m²,15.000 TL
Muğla - Menteşe,Daire | 3+1 | 4. Kat | 125 m²,33.000 TL
Tekirdağ - Çorlu,Daire | 3+1 | 2. Kat | 160 m²,22.000 TL
