location,information,sales_price
Şanlıurfa - Karaköprü,Daire | 1+1 | 2. Kat | 75 m²,15.000 TL
Antalya - Kumluca,Daire | 3+1 | 5. Kat | 150 m²,18.000 TL
Antalya - Finike,Daire | 3+1 | Düz Giriş (Zemin) | 190 m²,20.000 TL
İzmir - Menemen,Daire | 2+1 | 2. Kat | 75 m²,20.000 TL
İzmir - Menemen,Daire | 1+1 | 4. Kat | 50 m²,17.000 TL
İstanbul - Sancaktepe,Daire | 2+2 | 4. Kat | 90 m²,25.000 TL
Giresun - Bulancak,Daire | 3+1 | 3. Kat | 125 m²,15.000 TL
Giresun - Bulancak,Daire | 3+1 | 3. Kat | 140 m²,18.500 TL
Samsun - Atakum,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Ankara - Mamak,Daire | 2+1 | Yüksek giriş | 85 m²,16.000 TL
Nevşehir - Nevşehir Merkez,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,14.000 TL
Antalya - Kumluca,Daire | 2+1 | 2. Kat | 72 m²,15.500 TL
İstanbul - Esenler,Daire | 2+1 | 5. Kat | 100 m²,23.000 TL
Ankara - Sincan,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Bursa - Nilüfer,Daire | 2+1 | 5. Kat | 158 m²,22.000 TL
Bursa - Nilüfer,Daire | 2+1 | 1. Kat | 95 m²,15.500 TL
İstanbul - Sancaktepe,Daire | 2+2 | 4. Kat | 90 m²,25.000 TL
Giresun - Bulancak,Daire | 3+1 | 3. Kat | 125 m²,15.000 TL
Giresun - Bulancak,Daire | 3+1 | 3. Kat | 140 m²,18.500 TL
Samsun - Atakum,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Ankara - Mamak,Daire | 2+1 | Yüksek giriş | 85 m²,16.000 TL
Nevşehir - Nevşehir Merkez,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,14.000 TL
Antalya - Kumluca,Daire | 2+1 | 2. Kat | 72 m²,15.500 TL
İstanbul - Esenler,Daire | 2+1 | 5. Kat | 100 m²,23.000 TL
Ankara - Sincan,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Bursa - Nilüfer,Daire | 2+1 | 5. Kat | 158 m²,22.000 TL
Bursa - Nilüfer,Daire | 2+1 | 1. Kat | 95 m²,15.500 TL
İzmir - Karabağlar,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Muğla - Yatağan,Daire | 3+1 | 1. Kat | 135 m²,22.000 TL
Şanlıurfa - Haliliye,Daire | 2+1 | 1. Kat | 115 m²,9.000 TL
Kayseri - Melikgazi,Daire | 3+1 | 10. Kat | 175 m²,14.000 TL
Muğla - Bodrum,Daire | Stüdyo | Kot 1 (-1). Kat | 60 m²,35.000 TL
Muğla - Bodrum,Daire | Stüdyo | Kot 1 (-1). Kat | 60 m²,30.000 TL
İstanbul - Avcılar,Daire | 1+1 | Yüksek giriş | 65 m²,22.000 TL
İzmir - Tire,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Bursa - Kestel,Daire | 3+1 | 2. Kat | 145 m²,25.000 TL
İstanbul - Pendik,Daire | 2+1 | Yüksek giriş | 90 m²,14.000 TL
Manisa - Yunusemre,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL
Ordu - Ünye,Daire | 2+1 | 4. Kat | 105 m²,12.000 TL
Yalova - Yalova Merkez,Daire | 3+1 | 3. Kat | 130 m²,36.000 TL
Yalova - Altınova,Daire | 2+1 | 2. Kat | 85 m²,20.000 TL
Ordu - Altınordu,Daire | 2+1 | Çatı katı | 95 m²,16.500 TL
Antalya - Alanya,Daire | 3+2 | 7. Kat | 200 m²,36.000 TL
Bursa - Nilüfer,Daire | 2+1 | Bahçe katı | 75 m²,17.000 TL
İstanbul - Beylikdüzü,Daire | 3+1 | 12. Kat | 140 m²,28.500 TL
Mersin - Yenişehir,Daire | 1+1 | 10. Kat | 65 m²,18.500 TL
Mersin - Erdemli,Daire | 2.5+1 | 1. Kat | 125 m²,5.500 TL
Mersin - Erdemli,Daire | 2+1 | 2. Kat | 115 m²,13.500 TL
İstanbul - Sarıyer,Daire | 2+1 | 4. Kat | 68 m²,25.000 TL
Kocaeli - Başiskele,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
İstanbul - Bakırköy,Daire | 2+1 | 2. Kat | 100 m²,51.000 TL
İzmir - Menemen,Daire | 1+1 | 1. Kat | 58 m²,20.000 TL
Çanakkale - Çanakkale Merkez,Daire | 4+1 | Müstakil | 250 m²,110.000 TL
Kayseri - Melikgazi,Daire | 3+1 | 5. Kat | 160 m²,20.000 TL
Edirne - Keşan,Daire | 2+1 | 6. Kat | 101 m²,13.000 TL
Edirne - Keşan,Daire | 2+1 | Bahçe katı | 75 m²,45.000 TL
Giresun - Giresun Merkez,Daire | 1+1 | 4. Kat | 62 m²,15.500 TL
İstanbul - Arnavutköy,Daire | 2+1 | 2. Kat | 110 m²,19.000 TL
İstanbul - Arnavutköy,Daire | 2+1 | 1. Kat | 85 m²,22.000 TL
İstanbul - Arnavutköy,Daire | 2+1 | 1. Kat | 120 m²,19.000 TL
Mersin - Mezitli,Daire | 3+1 | 2. Kat | 180 m²,20.000 TL
Samsun - Atakum,Daire | 1+1 | 2. Kat | 75 m²,14.000 TL
Şanlıurfa - Haliliye,Daire | 2.5+1 | Düz Giriş (Zemin) | 130 m²,10.000 TL
İstanbul - Avcılar,Daire | 3+1 | 1. Kat | 115 m²,26.000 TL
İstanbul - Sultangazi,Daire | 2+1 | 4. Kat | 95 m²,16.500 TL
Sivas - Sivas Merkez,Daire | 1+1 | 1. Kat | 72 m²,19.000 TL
Sivas - Sivas Merkez,Daire | 3+1 | Düz Giriş (Zemin) | 150 m²,15.000 TL
Muğla - Dalaman,Daire | 1+1 | 1. Kat | 250 m²,15.000 TL
İstanbul - Esenyurt,Daire | 1+1 | Yüksek giriş | 55 m²,12.000 TL
Samsun - Atakum,Daire | 3+1 | 3. Kat | 165 m²,25.000 TL
Muğla - Ula,Daire | 2+1 | 3. Kat | 85 m²,24.000 TL
Muğla - Menteşe,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
İstanbul - Şişli,Daire | 2+1 | 4. Kat | 90 m²,65.000 TL
Bursa - Nilüfer,Daire | 3+1 | 9. Kat | 202 m²,27.000 TL
Edirne - Edirne Merkez,Daire | 3+1 | Yüksek giriş | 135 m²,20.000 TL
Edirne - Edirne Merkez,Daire | 1+1 | 2. Kat | 45 m²,14.500 TL
Van - İpekyolu,Daire | 1+1 | 6. Kat | 75 m²,10.000 TL
Manisa - Salihli,Daire | 3+1 | 3. Kat | 110 m²,23.000 TL
İstanbul - Zeytinburnu,Daire | 2+1 | 2. Kat | 80 m²,35.000 TL
Van - İpekyolu,Daire | 3+1 | 4. Kat | 170 m²,23.000 TL
İzmir - Konak,Daire | 1+1 | 1. Kat | 50 m²,23.500 TL
İzmir - Konak,Daire | 2+1 | 2. Kat | 95 m²,28.000 TL
İzmir - Konak,Daire | 2+1 | 5. Kat | 80 m²,27.500 TL
Aydın - Kuşadası,Daire | 2+1 | Yüksek giriş | 83 m²,25.000 TL
İstanbul - Üsküdar,Daire | 2+1 | Kot 2 (-2). Kat | 80 m²,27.000 TL
İstanbul - Ümraniye,Daire | 2+1 | 5. Kat | 85 m²,25.000 TL
İstanbul - Ataşehir,Daire | 2+1 | 1. Kat | 90 m²,22.000 TL
İstanbul - Eyüpsultan,Daire | 1+1 | 2. Kat | 50 m²,26.000 TL
İstanbul - Çekmeköy,Daire | 2+1 | 2. Kat | 90 m²,37.000 TL
Bursa - Mudanya,Daire | 3+1 | 1. Kat | 140 m²,20.500 TL
Ankara - Etimesgut,Daire | 1+1 | 5. Kat | 55 m²,23.500 TL
İzmir - Buca,Daire | 1+1 | 1. Kat | 55 m²,17.000 TL
Batman - Batman Merkez,Daire | 1+1 | 3. Kat | 55 m²,18.500 TL
İstanbul - Fatih,Daire | 1+1 | 1. Kat | 75 m²,28.500 TL
Samsun - İlkadım,Daire | 3+1 | 4. Kat | 130 m²,16.000 TL
Balıkesir - Altıeylül,Daire | 1+1 | 4. Kat | 60 m²,17.500 TL
Denizli - Merkezefendi,Daire | 2+1 | 4. Kat | 115 m²,18.999 TL
İzmir - Konak,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,11.000 TL
Ankara - Çankaya,Daire | 2+1 | 2. Kat | 105 m²,35.000 TL
Bursa - Nilüfer,Daire | 2+1 | 2. Kat | 65 m²,16.000 TL
Bursa - Nilüfer,Daire | 2+1 | 4. Kat | 65 m²,14.999 TL
Bursa - Nilüfer,Daire | 2+1 | 2. Kat | 70 m²,14.000 TL
Batman - Batman Merkez,Daire | 1+1 | 4. Kat | 40 m²,7.000 TL
Tekirdağ - Süleymanpaşa,Daire | 1+1 | Kot 2 (-2). Kat | 50 m²,18.500 TL
Tekirdağ - Çorlu,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Adana - Çukurova,Daire | 3+1 | 5. Kat | 170 m²,295.000 TL330.000 TL
Mersin - Mezitli,Daire | 4+1 | 11. Kat | 220 m²,35.000 TL
İstanbul - Küçükçekmece,Daire | Stüdyo | Bahçe katı | 40 m²,8.000 TL
Edirne - Edirne Merkez,Daire | 3+1 | 5. Kat | 150 m²,25.000 TL
Sakarya - Erenler,Daire | 2+1 | 1. Kat | 90 m²,18.000 TL
Düzce - Düzce Merkez,Daire | 1+1 | Yüksek giriş | 50 m²,11.000 TL
Mardin - Kızıltepe,Daire | 3+1 | 7. Kat | 180 m²,17.500 TL
İstanbul - Sultangazi,Daire | 2+1 | 2. Kat | 85 m²,24.000 TL
İzmir - Gaziemir,Daire | 3+1 | 3. Kat | 145 m²,36.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
İstanbul - Beşiktaş,Daire | 2+1 | Kot 2 (-2). Kat | 105 m²,35.000 TL
Tekirdağ - Şarköy,Daire | 1+1 | 1. Kat | 65 m²,20.000 TL
Manisa - Turgutlu,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
İstanbul - Pendik,Daire | 2+1 | 1. Kat | 85 m²,17.500 TL
İstanbul - Tuzla,Daire | 3+1 | 10. Kat | 140 m²,40.000 TL
İstanbul - Pendik,Daire | 3+1 | 2. Kat | 130 m²,25.500 TL
Muğla - Fethiye,Daire | 3+1 | Çatı katı | 120 m²,20.000 TL
Samsun - Atakum,Daire | 3+1 | 3. Kat | 155 m²,25.000 TL
İzmir - Bergama,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Ankara - Yenimahalle,Daire | 3+1 | 4. Kat | 130 m²,25.000 TL
İzmir - Torbalı,Daire | 2+1 | Yüksek giriş | 95 m²,18.500 TL
İzmir - Buca,Daire | 1+1 | 3. Kat | 45 m²,22.000 TL
İstanbul - Pendik,Daire | 2+1 | Bahçe katı | 90 m²,42.500 TL
İstanbul - Kadıköy,Daire | 2+1 | 4. Kat | 89 m²,69.000 TL
Sakarya - Serdivan,Daire | 2+1 | 2. Kat | 55 m²,18.000 TL
Sakarya - Serdivan,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Şanlıurfa - Haliliye,Daire | 1+1 | 6. Kat | 65 m²,14.500 TL
Ankara - Altındağ,Daire | 2+1 | 3. Kat | 115 m²,23.000 TL
Batman - Batman Merkez,Daire | 1+1 | 4. Kat | 55 m²,18.000 TL
Kocaeli - Başiskele,Daire | 3+1 | 2. Kat | 115 m²,35.000 TL
İzmir - Torbalı,Daire | 2+1 | Yüksek giriş | 95 m²,18.500 TL
İzmir - Buca,Daire | 1+1 | 3. Kat | 45 m²,22.000 TL
İstanbul - Pendik,Daire | 2+1 | Bahçe katı | 90 m²,42.500 TL
İstanbul - Kadıköy,Daire | 2+1 | 4. Kat | 89 m²,69.000 TL
Sakarya - Serdivan,Daire | 2+1 | 2. Kat | 55 m²,18.000 TL
Sakarya - Serdivan,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Şanlıurfa - Haliliye,Daire | 1+1 | 6. Kat | 65 m²,14.500 TL
Ankara - Altındağ,Daire | 2+1 | 3. Kat | 115 m²,23.000 TL
Batman - Batman Merkez,Daire | 1+1 | 4. Kat | 55 m²,18.000 TL
Kocaeli - Başiskele,Daire | 3+1 | 2. Kat | 115 m²,35.000 TL
Manisa - Salihli,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Manisa - Turgutlu,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,17.000 TL
Ankara - Yenimahalle,Daire | 2.5+1 | 1. Kat | 90 m²,39.750 TL
İzmir - Menemen,Daire | 3+1 | 1. Kat | 130 m²,32.000 TL
Antalya - Konyaaltı,Daire | 3+1 | Bahçe katı | 180 m²,65.000 TL
Antalya - Konyaaltı,Daire | 4+1 | 2. Kat | 190 m²,95.000 TL
İzmir - Bornova,Daire | 1+1 | 3. Kat | 44 m²,19.500 TL
Denizli - Pamukkale,Daire | 3+1 | 2. Kat | 160 m²,27.500 TL
Aydın - Kuşadası,Daire | 1+1 | 2. Kat | 67 m²,20.000 TL
İstanbul - Bağcılar,Daire | 2+1 | Bodrum Kat | 95 m²,13.000 TL
Kilis - Kilis Merkez,Daire | 3+1 | Düz Giriş (Zemin) | 150 m²,14.000 TL
Kilis - Kilis Merkez,Daire | 1+1 | Yüksek giriş | 55 m²,6.750 TL
Konya - Meram,Daire | 3+1 | 2. Kat | 165 m²,27.000 TL
İstanbul - Ataşehir,Daire | 2+1 | 4. Kat | 100 m²,22.000 TL
İstanbul - Ataşehir,Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
İstanbul - Ataşehir,Daire | 2+1 | 1. Kat | 120 m²,22.000 TL
Şanlıurfa - Haliliye,Daire | 3+1 | 4. Kat | 140 m²,13.000 TL
Şanlıurfa - Karaköprü,Daire | 2+1 | 7. Kat | 120 m²,11.000 TL
Şanlıurfa - Karaköprü,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL
İstanbul - Esenyurt,Daire | 2+1 | Bahçe katı | 95 m²,16.000 TL
Adana - Yüreğir,Daire | 3+1 | 1. Kat | 150 m²,155.000 TL
Adana - Sarıçam,Daire | 2+1 | 1. Kat | 110 m²,10.000 TL
İstanbul - Kadıköy,Daire | 2+1 | 5. Kat | 105 m²,80.000 TL
İzmir - Çiğli,Daire | 3+1 | 2. Kat | 145 m²,58.000 TL
İstanbul - Sultangazi,Daire | 2+1 | Yüksek giriş | 95 m²,15.500 TL
Kahramanmaraş - Dulkadiroğlu,Daire | 1+1 | 4. Kat | 60 m²,24.000 TL
Kahramanmaraş - Dulkadiroğlu,Daire | 2+1 | 1. Kat | 75 m²,18.000 TL
Ankara - Keçiören,Daire | 1+1 | 1. Kat | 65 m²,28.000 TL
Ankara - Keçiören,Daire | 2+1 | 1. Kat | 100 m²,27.500 TL
Sakarya - Serdivan,Daire | 2+1 | 1. Kat | 80 m²,18.500 TL
Sakarya - Serdivan,Daire | 1+1 | 2. Kat | 65 m²,14.000 TL
Sakarya - Serdivan,Daire | Stüdyo | 2. Kat | 40 m²,14.000 TL
Ankara - Gölbaşı,Daire | 1+1 | 2. Kat | 50 m²,23.500 TL
Kars - Kars Merkez,Daire | 1+1 | Yüksek giriş | 60 m²,14.500 TL
Adana - Sarıçam,Daire | 2+1 | 13. Kat | 85 m²,15.000 TL
İstanbul - Bağcılar,Daire | 2+1 | 19. Kat | 95 m²,43.000 TL
Samsun - Atakum,Daire | 1+1 | 4. Kat | 55 m²,15.500 TL
Balıkesir - Edremit,Daire | 4+1 | 2. Kat | 150 m²,40.000 TL
İstanbul - Küçükçekmece,Daire | 3+1 | 2. Kat | 150 m²,37.000 TL40.000 TL
İzmir - Urla,Daire | 2+1 | Çatı katı | 95 m²,30.000 TL
Antalya - Kepez,Daire | 2+1 | Düz Giriş (Zemin) | 106 m²,18.000 TL
Antalya - Kepez,Daire | 2+1 | 4. Kat | 78 m²,18.500 TL
Gaziantep - Şehitkamil,Daire | 3+1 | 3. Kat | 175 m²,24.000 TL
İzmir - Konak,Daire | 3+1 | 3. Kat | 125 m²,17.500 TL
İstanbul - Esenler,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
İstanbul - Ümraniye,Daire | 1+1 | Çatı katı | 50 m²,30.000 TL
Gaziantep - Şahinbey,Daire | 3+1 | 5. Kat | 165 m²,18.500 TL
Gaziantep - Şahinbey,Daire | 3+1 | 13. Kat | 175 m²,20.000 TL
İzmir - Buca,Daire | 3+1 | 3. Kat | 130 m²,32.000 TL
Zonguldak - Ereğli,Daire | 1+1 | 8. Kat | 60 m²,16.000 TL
İstanbul - Eyüpsultan,Daire | 2+1 | Bahçe katı | 65 m²,20.000 TL
Ankara - Etimesgut,Daire | 3+1 | Yüksek giriş | 168 m²,25.000 TL
Ankara - Etimesgut,Daire | 2+1 | 10. Kat | 94 m²,25.000 TL
İzmir - Menderes,Daire | 4+1 | 3. Kat | 155 m²,46.500 TL
Kocaeli - Gebze,Daire | 2+1 | 3. Kat | 80 m²,25.000 TL
Kocaeli - Gebze,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,23.000 TL
İstanbul - Sancaktepe,Daire | 2+1 | 3. Kat | 86 m²,23.000 TL
İstanbul - Şişli,Daire | 2+1 | 2. Kat | 85 m²,24.750 TL
İstanbul - Kadıköy,Daire | 2+1 | 2. Kat | 95 m²,65.000 TL
İzmir - Karşıyaka,Daire | 3+1 | 1. Kat | 115 m²,30.000 TL
İstanbul - Çatalca,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,26.000 TL
İstanbul - Çatalca,Daire | 2+1 | 3. Kat | 90 m²,24.750 TL
Afyonkarahisar - Afyonkarahisar Merkez,Daire | 1+1 | Çatı katı | 50 m²,12.500 TL
Diyarbakır - Yenişehir,Daire | 3+1 | 4. Kat | 163 m²,23.000 TL
Diyarbakır - Yenişehir,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,20.500 TL
İstanbul - Zeytinburnu,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 4. Kat | 85 m²,15.000 TL
İzmir - Buca,Daire | 1+1 | 3. Kat | 54 m²,15.000 TL
İstanbul - Gaziosmanpaşa,Daire | 2+1 | Yüksek giriş | 85 m²,22.000 TL
İstanbul - Beylikdüzü,Daire | 3+1 | 1. Kat | 145 m²,43.000 TL
Bursa - Nilüfer,Daire | 2+1 | 3. Kat | 65 m²,15.000 TL
Sakarya - Karasu,Daire | 3+1 | 1. Kat | 125 m²,16.000 TL
İstanbul - Bayrampaşa,Daire | 3+0 | 2. Kat | 70 m²,18.000 TL20.000 TL
Malatya - Yeşilyurt,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Ankara - Sincan,Daire | 3+1 | Yüksek giriş | 130 m²,20.000 TL
Muğla - Milas,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Bursa - Nilüfer,Daire | 6+1 | 3. Kat | 240 m²,27.000 TL
İstanbul - Şişli,Daire | 3+1 | 1. Kat | 130 m²,40.000 TL
İstanbul - Küçükçekmece,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
İzmir - Tire,Daire | 3+1 | Kot 1 (-1). Kat | 125 m²,16.000 TL
Bursa - Nilüfer,Daire | 2+1 | 3. Kat | 65 m²,15.000 TL
Sakarya - Karasu,Daire | 3+1 | 1. Kat | 125 m²,16.000 TL
İstanbul - Bayrampaşa,Daire | 3+0 | 2. Kat | 70 m²,18.000 TL20.000 TL
Malatya - Yeşilyurt,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Ankara - Sincan,Daire | 3+1 | Yüksek giriş | 130 m²,20.000 TL
Muğla - Milas,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Bursa - Nilüfer,Daire | 6+1 | 3. Kat | 240 m²,27.000 TL
İstanbul - Şişli,Daire | 3+1 | 1. Kat | 130 m²,40.000 TL
İstanbul - Küçükçekmece,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
İzmir - Tire,Daire | 3+1 | Kot 1 (-1). Kat | 125 m²,16.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 3. Kat | 45 m²,11.500 TL
Eskişehir - Odunpazarı,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
Balıkesir - Edremit,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Bursa - Nilüfer,Daire | 1+1 | 4. Kat | 70 m²,14.000 TL
Bursa - Nilüfer,Daire | 2+1 | 1. Kat | 100 m²,23.000 TL
Kırklareli - Lüleburgaz,Daire | 3+1 | 5. Kat | 130 m²,25.000 TL
Balıkesir - Altıeylül,Daire | 2+2 | 3. Kat | 70 m²,17.000 TL
Ankara - Altındağ,Daire | 4+1 | 1. Kat | 160 m²,34.000 TL
İzmir - Çeşme,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,32.000 TL
İzmir - Menemen,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
İzmir - Karşıyaka,Daire | 3+1 | 9. Kat | 140 m²,28.000 TL
Gaziantep - Şahinbey,Daire | 2+0 | 13. Kat | 75 m²,14.500 TL
Gaziantep - Şahinbey,Daire | 2+1 | 3. Kat | 95 m²,14.500 TL
İstanbul - Bayrampaşa,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.000 TL
Antalya - Manavgat,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
İstanbul - Kadıköy,Daire | 2+1 | 5. Kat | 85 m²,70.000 TL
Çanakkale - Gelibolu,Daire | 1+1 | 3. Kat | 60 m²,23.000 TL
Kırıkkale - Kırıkkale Merkez,Daire | 3+1 | 2. Kat | 140 m²,8.000 TL
Tekirdağ - Kapaklı,Daire | 3+2 | 4. Kat | 170 m²,20.000 TL
İstanbul - Sultanbeyli,Daire | 2+1 | 1. Kat | 90 m²,28.000 TL
Edirne - Edirne Merkez,Daire | 3+1 | 3. Kat | 145 m²,22.000 TL
İstanbul - Beşiktaş,Daire | 3+1 | 1. Kat | 130 m²,155.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 3. Kat | 75 m²,24.000 TL25.800 TL
Karabük - Karabük Merkez,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL
İzmir - Menemen,Daire | 1+1 | Kot 2 (-2). Kat | 55 m²,14.000 TL
Ankara - Etimesgut,Daire | 3+1 | 4. Kat | 118 m²,21.000 TL
Adana - Seyhan,Daire | Stüdyo | Yüksek giriş | 30 m²,8.000 TL
Ankara - Keçiören,Daire | 3+1 | 2. Kat | 130 m²,23.000 TL
Aydın - Nazilli,Daire | 2+1 | 1. Kat | 135 m²,13.000 TL
Batman - Batman Merkez,Daire | 3+1 | 5. Kat | 200 m²,21.000 TL
Batman - Batman Merkez,Daire | 3+1 | 3. Kat | 150 m²,18.000 TL
Batman - Batman Merkez,Daire | 2+1 | 2. Kat | 110 m²,13.500 TL
Bartın - Bartın Merkez,Daire | 2+0 | 1. Kat | 99 m²,18.000 TL
Tekirdağ - Çorlu,Daire | 3+1 | 4. Kat | 125 m²,26.000 TL
İstanbul - Sancaktepe,Daire | 3+1 | 2. Kat | 125 m²,21.000 TL
İstanbul - Ümraniye,Daire | 2+1 | 11. Kat | 85 m²,41.000 TL
Ankara - Çankaya,Daire | 2+1 | Yüksek giriş | 95 m²,32.500 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 5. Kat | 134 m²,63.000 TL
Giresun - Giresun Merkez,Daire | 2+1 | 2. Kat | 90 m²,12.000 TL
Giresun - Giresun Merkez,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
İzmir - Buca,Daire | 2+1 | 2. Kat | 95 m²,25.000 TL
Bursa - İznik,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
İstanbul - Ataşehir,Daire | Stüdyo | 9. Kat | 40 m²,26.000 TL
Bursa - Osmangazi,Daire | 3+1 | 1. Kat | 110 m²,11.600 TL
İzmir - Ödemiş,Daire | 2+1 | 1. Kat | 90 m²,21.000 TL
İstanbul - Şişli,Daire | 1 Oda | Kot 2 (-2). Kat | 40 m²,16.000 TL
Gaziantep - Şehitkamil,Daire | 4+1 | 8. Kat | 280 m²,26.000 TL
Sakarya - Adapazarı,Daire | 1+1 | 3. Kat | 105 m²,16.500 TL
Sakarya - Adapazarı,Daire | 4+1 | 4. Kat | 145 m²,15.500 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 1. Kat | 85 m²,16.000 TL
Aydın - Didim,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
Kocaeli - Çayırova,Daire | 3+1 | Yüksek giriş | 140 m²,22.000 TL
İzmir - Karşıyaka,Daire | 2+1 | 3. Kat | 95 m²,31.000 TL
İstanbul - Eyüpsultan,Daire | 1+1 | 1. Kat | 80 m²,48.000 TL
İzmir - Menemen,Daire | 1+1 | 2. Kat | 50 m²,16.000 TL
İzmir - Menemen,Daire | 1+1 | 3. Kat | 60 m²,15.500 TL
İzmir - Torbalı,Daire | 3+1 | 4. Kat | 135 m²,20.000 TL
Kocaeli - Gebze,Daire | 2+1 | Yüksek giriş | 110 m²,22.000 TL
Muğla - Fethiye,Daire | 2+1 | 1. Kat | 90 m²,23.000 TL
Elazığ - Elazığ Merkez,Daire | 2+1 | 5. Kat | 125 m²,15.500 TL
Edirne - Edirne Merkez,Daire | 2+0 | Kot 2 (-2). Kat | 65 m²,20.500 TL
İstanbul - Esenyurt,Daire | 2+1 | 3. Kat | 100 m²,22.000 TL
Erzurum - Palandöken,Daire | 3+1 | 2. Kat | 135 m²,17.500 TL
Sakarya - Adapazarı,Daire | 2+1 | 3. Kat | 75 m²,10.000 TL
Erzurum - Palandöken,Daire | 3+1 | 3. Kat | 135 m²,17.500 TL
Mardin - Artuklu,Daire | 3+1 | 14. Kat | 175 m²,15.500 TL
Mardin - Artuklu,Daire | 3+1 | 2. Kat | 180 m²,13.500 TL
İzmir - Bornova,Daire | 3+1 | 2. Kat | 140 m²,30.000 TL
Konya - Selçuklu,Daire | 4+1 | 8. Kat | 214 m²,50.000 TL
İzmir - Karşıyaka,Daire | 3+1 | 3. Kat | 165 m²,35.000 TL
Mersin - Tarsus,Daire | 2+1 | Müstakil | 100 m²,11.000 TL
Eskişehir - Tepebaşı,Daire | 3+1 | 7. Kat | 150 m²,26.000 TL
Ankara - Çankaya,Daire | 2+1 | 4. Kat | 110 m²,74.000 TL
Muğla - Fethiye,Daire | 1+1 | 1. Kat | 70 m²,20.000 TL
Kilis - Kilis Merkez,Daire | 3+1 | 2. Kat | 180 m²,14.000 TL
Adana - Sarıçam,Daire | 1+1 | 3. Kat | 60 m²,8.000 TL10.000 TL
Amasya - Amasya Merkez,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,15.000 TL
Amasya - Amasya Merkez,Daire | 2+1 | 3. Kat | 120 m²,26.000 TL
Mersin - Mezitli,Daire | 3+1 | 9. Kat | 200 m²,25.000 TL
Bursa - Nilüfer,Daire | 3+1 | 2. Kat | 150 m²,42.000 TL
İstanbul - Tuzla,Daire | 2+1 | 2. Kat | 90 m²,22.500 TL
Mersin - Mezitli,Daire | 3+1 | 6. Kat | 165 m²,17.000 TL
Denizli - Merkezefendi,Daire | 3+1 | 6. Kat | 125 m²,32.000 TL
İstanbul - Şile,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,25.000 TL
Tekirdağ - Çorlu,Daire | 3+1 | 2. Kat | 115 m²,18.000 TL
Tekirdağ - Çorlu,Daire | 1+1 | 8. Kat | 75 m²,18.000 TL
İstanbul - Esenyurt,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
