location,information,sales_price
Fethiye - Babataşı Mahallesi,Daire | 3+1 | Yüksek giriş | 155 m²,32.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,22.000 TL
Seydikemer - Cumhuriyet Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,19.000 TL
Milas - Ören Mahallesi,Daire | 2+1 | Villa tipi | 123 m²,35.000 TL
Bodrum - Müskebi Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,180.000 TL
Milas - Güneş Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,22.000 TL
Milas - Ahmet Çavuş Hayıtlı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,37.500 TL
Milas - Hacı İlyas Mahallesi,Daire | 5+1 | 2. Kat | 280 m²,32.000 TL
Milas - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Dalaman - Altıntas Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Köyceğiz - Gelişim Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,22.000 TL
Köyceğiz - Gelişim Mahallesi,Daire | Stüdyo | Bahçe katı | 55 m²,22.000 TL
Köyceğiz - Gelişim Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,23.000 TL
Köyceğiz - Gelişim Mahallesi,Daire | 4+1 | 2. Kat | 151 m²,45.000 TL
Bodrum - Konacık Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,45.000 TL
Bodrum - Gümüşlük Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,60.000 TL
Marmaris - Tepe Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,38.000 TL
Milas - Ahmet Çavuş Hayıtlı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Dalaman - Merkez Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 170 m²,24.000 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,45.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,55.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,25.000 TL
Milas - Hisarbaşı - Hoca Bedrettin Mahallesi,Daire | 2+0 | Müstakil | 80 m²,23.000 TL
Fethiye - Kayaköy Mahallesi,Daire | 2+1 | Bahçe katı | 98 m²,300.000 TL
