location,information,sales_price
Ortaca - Okçular Mahallesi,Daire | 4+1 | 2. Kat | 205 m²,40.000 TL
Fethiye - Babataşı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Dalaman - Söğütlüyurt Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,24.000 TL
Bodrum - Peksimet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,50.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,60.000 TL
Bodrum - Türkbükü Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,37.500 TL
Bodrum - Gölköy Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,37.500 TL
Bodrum - Yeniköy Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,45.000 TL
Bodrum - Yeniköy Mahallesi,Daire | 2+1 | 1. Kat | 97 m²,80.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,30.000 TL
Menteşe - Düğerek Mahallesi,Daire | 1+1 | Bodrum Kat | 80 m²,22.000 TL
Bodrum - İslamhaneleri Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,30.000 TL
Ortaca - Karaburun Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,17.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,20.000 TL
Köyceğiz - Yeni Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,40.000 TL
Köyceğiz - Ekincik Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,20.000 TL
Köyceğiz - Ulucami Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,35.000 TL
Köyceğiz - Gülpınar Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,30.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Köyceğiz - Yeşilköy Mahallesi,Daire | 2+1 | Çatı katı | 140 m²,23.000 TL
Köyceğiz - Ulucami Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,30.000 TL
Köyceğiz - Ekincik Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,20.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,18.500 TL
Fethiye - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,30.000 TL
Fethiye - Yanıklar Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,20.000 TL
Fethiye - Cami Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,20.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,28.000 TL
Fethiye - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,36.000 TL
Fethiye - Karagözler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 236 m²,105.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,12.000 TL25.000 TL
Bodrum - Bitez Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,80.000 TL
Fethiye - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,22.000 TL
Menteşe - Bayır Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,23.000 TL
Milas - Burgaz Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,17.500 TL20.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,30.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,33.000 TL
Fethiye - Foça Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,50.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,35.000 TL
Fethiye - Kesikkapı Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,30.000 TL
Seydikemer - Menekşe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,16.000 TL
Dalaman - Altıntas Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,200.000 TL
Fethiye - Yanıklar Mahallesi,Daire | 3+1 | Müstakil | 110 m²,30.000 TL
Menteşe - Muslihittin Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,60.000 TL
Datça - Datça Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,450.000 TL
Ula - Akyaka Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,30.000 TL38.500 TL
Bodrum - Kumbahçe Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,28.000 TL35.000 TL
Marmaris - Turgut Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,20.000 TL25.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,35.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,50.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,35.000 TL
Fethiye - Cami Mahallesi,Daire | 2+1 | Çatı katı | 80 m²,11.000 TL
Fethiye - Foça Mahallesi,Daire | Stüdyo | 2. Kat | 20 m²,1.749 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | Müstakil | 100 m²,95.000 TL
Marmaris - Sarıana Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,23.000 TL25.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | Müstakil | 120 m²,20.000 TL
Köyceğiz - Ulucami Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,25.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 3+1 | Müstakil | 160 m²,375.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,50.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,20.000 TL
Fethiye - Akarca Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,30.000 TL
Fethiye - Çamköy Mahallesi,Daire | 5+1 | Çatı katı | 160 m²,25.000 TL
Fethiye - Menteşeoğlu Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,19.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,35.000 TL
Fethiye - Foça Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,35.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,30.000 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | Çatı Dubleks | 150 m²,55.000 TL
Datça - Karaincir Adaları Mahallesi,Daire | 1+1 | Bahçe katı | 170 m²,50.000 TL59.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 1+1 | Çatı Dubleks | 60 m²,80.000 TL150.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,20.000 TL
Menteşe - Orhaniye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,27.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,17.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,15.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,20.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,100.000 TL
Fethiye - Esenköy Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 2+1 | Çatı Dubleks | 100 m²,17.000 TL
Milas - Güllük Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,110.000 TL
Bodrum - Yalıkavak Mahallesi,Daire | 5+1 | 1. Kat | 170 m²,90.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,100.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+2 | Çatı katı | 85 m²,45.000 TL
Menteşe - Akçaova Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,23.000 TL
Menteşe - Akçaova Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,22.000 TL
Bodrum - Umurca Mahallesi,Daire | 1+1 | Bahçe dublex | 68 m²,35.000 TL
Marmaris - Turgut Mahallesi,Daire | 1+1 | Bahçe katı | 65 m²,17.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,27.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,45.000 TL49.000 TL
Marmaris - Siteler Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,55.000 TL
Bodrum - Yeniköy Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,150.000 TL
Marmaris - Tepe Mahallesi,Daire | 1+1 | Çatı katı | 40 m²,20.000 TL
Bodrum - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 97 m²,80.000 TL
Fethiye - Tuzla Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,25.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,30.000 TL
Bodrum - Geriş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,40.000 TL50.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 150 m²,22.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 150 m²,300.000 TL
Marmaris - Siteler Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,45.000 TL
Marmaris - Çamdibi Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,35.000 TL
Bodrum - Umurca Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,30.000 TL32.500 TL
Fethiye - Yeni Mahallesi,Daire | 1 Oda | Kot 1 (-1). Kat | 65 m²,23.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,9.500 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,40.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,40.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,25.000 TL
Marmaris - Siteler Mahallesi,Daire | 2+1 | 4. Kat | 180 m²,100.000 TL
Bodrum - Çırkan Mahallesi,Daire | 2+1 | Müstakil | 140 m²,130.000 TL
Fethiye - Karaçulha Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,13.000 TL15.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,30.000 TL
Ortaca - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,22.500 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,70.000 TL
Marmaris - Çıldır Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,45.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,70.000 TL
Bodrum - Akçaalan Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Bodrum - Torba Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,210.000 TL240.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+1 | Müstakil | 140 m²,60.000 TL
Bodrum - Gümüşlük Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,60.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 2+2 | Düz Giriş (Zemin) | 180 m²,150.000 TL
Bodrum - Yalıkavak Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,200.000 TL
Bodrum - Çarşı Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,50.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,400.000 TL
Bodrum - Gümbet Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,30.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | Bahçe katı | 77 m²,200.000 TL
Bodrum - Yeniköy Mahallesi,Daire | 3+1 | Bahçe katı | 115 m²,45.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Menteşe - Yeniköy Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,18.000 TL
Marmaris - Turgut Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,17.000 TL
Fethiye - Foça Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,35.000 TL
Menteşe - Muslihittin Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,11.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,950.000 TL
Datça - Kızlan Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Bodrum - Konacık Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,25.000 TL
Marmaris - Çıldır Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,77.000 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,55.000 TL
Bodrum - Türkbükü Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,350.000 TL
Menteşe - Yeniköy Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.000 TL
Dalaman - Merkez Mahallesi,Daire | 4+1 | Çatı katı | 220 m²,31.500 TL
Dalaman - Bezkese Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,13.500 TL
Menteşe - Bayır Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,25.000 TL
Bodrum - Küçükbük Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,950.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,130.000 TL
Milas - Boğaziçi Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,70.000 TL85.000 TL
Fethiye - Esenköy Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,27.500 TL
Milas - İsmet Paşa Mahallesi,Daire | 4+1 | Kot 3 (-3). Kat | 160 m²,25.000 TL
Dalaman - Merkez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,80.000 TL100.000 TL
Fethiye - Foça Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,20.000 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 1. Kat | 88 m²,23.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,14.000 TL
Bodrum - Gümbet Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,40.000 TL50.000 TL
Bodrum - Mumcular Mahallesi,Daire | 2+1 | Bahçe katı | 71 m²,19.000 TL
Milas - Kıyıkışlacık Mahallesi,Daire | 1+1 | 4. Kat | 72 m²,90.000 TL
Datça - Datça Mahallesi,Daire | 2+1 | Müstakil | 80 m²,185.000 TL275.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,26.000 TL
Bodrum - Geriş Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,50.000 TL
Milas - Şevketiye Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,26.000 TL28.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,40.000 TL
Bodrum - Mumcular Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL21.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,50.000 TL
Bodrum - Yahşi Mahallesi,Daire | 2+1 | Villa tipi | 100 m²,70.000 TL
Ula - Demirtaş Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,15.000 TL
Milas - Ören Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,30.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 1+1 | Müstakil | 80 m²,4.000 TL
Milas - Kıyıkışlacık Mahallesi,Daire | 3+1 | Yüksek giriş | 400 m²,250.000 TL
Ortaca - Dalyan Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,35.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,50.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | Bahçe katı | 58 m²,120.000 TL
Marmaris - Selimiye Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,45.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,60.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | Çatı Dubleks | 90 m²,35.000 TL
Dalaman - Atakent Mahallesi,Daire | 2+1 | 2. Kat | 96 m²,20.000 TL
Marmaris - Armutalan Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,55.000 TL
Bodrum - Farilya Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,100.000 TL
Fethiye - Çiftlik Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL
Bodrum - Geriş Mahallesi,Daire | 3+1 | 2. Kat | 144 m²,150.000 TL
Menteşe - Şeyh Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,26.000 TL
Ortaca - Dalyan Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Ortaca - Karaburun Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,15.000 TL17.000 TL
Datça - Kızlan Mahallesi,Daire | 1+1 | Müstakil | 70 m²,200.000 TL220.000 TL
Datça - Yaka Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,110.000 TL130.000 TL
Bodrum - Türkkuyusu Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,125.000 TL
Fethiye - Esenköy Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Seydikemer - Menekşe Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,17.500 TL
Milas - Dörttepe Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,32.000 TL
Ula - Gökova Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,30.000 TL
Milas - Burgaz Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL22.000 TL
Fethiye - Kargı Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,18.000 TL
Menteşe - Bayır Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,23.000 TL25.000 TL
Ortaca - Terzialiler Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Menteşe - Yeniköy Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,25.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,35.000 TL
Marmaris - Çıldır Mahallesi,Daire | 3+1 | 2. Kat | 95 m²,80.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,12.000 TL
Ortaca - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 185 m²,23.000 TL
Ortaca - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 185 m²,30.000 TL
Milas - Boğaziçi Mahallesi,Daire | 2+1 | Müstakil | 120 m²,75.000 TL90.000 TL
Milas - Ören Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,25.000 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,16.000 TL
Menteşe - Emirbeyazıt Mahallesi,Daire | 2+1 | 3. Kat | 64 m²,25.000 TL
Marmaris - Tepe Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,50.000 TL
Bodrum - Umurca Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,65.000 TL
Fethiye - Menteşeoğlu Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,40.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,225.000 TL
Bodrum - Yahşi Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,35.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,55.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,60.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,60.000 TL
Fethiye - Foça Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,40.000 TL
Datça - Emecik Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,140.000 TL180.000 TL
Milas - Hacıabti Mahallesi,Daire | 4+1 | 2. Kat | 200 m²,20.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 3+2 | Müstakil | 180 m²,60.000 TL
Marmaris - İçmeler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,55.000 TL
Ortaca - Terzialiler Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,22.000 TL
Bodrum - Dirmil Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,125.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | Villa tipi | 90 m²,100.000 TL
Marmaris - Tepe Mahallesi,Daire | 4+1 | 3. Kat | 280 m²,50.000 TL
Ortaca - Dalyan Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,27.000 TL30.000 TL
Fethiye - Pazaryeri Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,17.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,60.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,60.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,60.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,60.000 TL
Bodrum - Yahşi Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,200.000 TL
Bodrum - Peksimet Mahallesi,Daire | 1.5+1 | Bahçe katı | 80 m²,35.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,42.500 TL45.000 TL
Milas - Emek Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,25.000 TL
Dalaman - Merkez Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,250.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 3.5+1 | Müstakil | 200 m²,70.000 TL
Bodrum - Geriş Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,50.000 TL
Fethiye - Pazaryeri Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,16.000 TL
Seydikemer - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | Bahçe katı | 60 m²,90.000 TL
Fethiye - Cami Mahallesi,Daire | 3+1 | Bahçe katı | 110 m²,16.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,200.000 TL
Bodrum - İslamhaneleri Mahallesi,Daire | 2+1 | Bahçe katı | 115 m²,37.000 TL
Yatağan - Konak Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 2+1 | Çatı katı | 95 m²,200.000 TL
Marmaris - Çıldır Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL30.000 TL
Milas - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,35.000 TL37.500 TL
Bodrum - Yeniköy Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,50.000 TL
Marmaris - Çıldır Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,20.000 TL
Bodrum - Gölköy Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,350.000 TL
Bodrum - Gölköy Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,50.000 TL
Menteşe - Bayır Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,18.000 TL
Bodrum - Türkbükü Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,240.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,110.000 TL
Bodrum - Yeniköy Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 95 m²,45.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,60.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,60.000 TL
Bodrum - Gölköy Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,50.000 TL
Bodrum - Gölköy Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,50.000 TL
Dalaman - Altıntas Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,17.000 TL
Milas - Aydınlıkevler Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,23.000 TL
Fethiye - Yeni Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,17.000 TL
Marmaris - İçmeler Mahallesi,Daire | 1+1 | Bodrum Kat | 45 m²,18.000 TL
Ula - Kızılağaç Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,150.000 TL
Milas - Hacıabti Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,15.500 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,45.000 TL55.000 TL
Marmaris - Hisarönü Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,20.000 TL
Bodrum - İslamhaneleri Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,40.000 TL
Bodrum - Mumcular Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,22.000 TL
Milas - Güllük Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,32.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,60.000 TL
Fethiye - Çamköy Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,15.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 1.5+1 | Bahçe katı | 85 m²,30.000 TL35.000 TL
Marmaris - Tepe Mahallesi,Daire | 2+1 | Çatı katı | 75 m²,35.000 TL
Bodrum - İslamhaneleri Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,35.000 TL
Köyceğiz - Yangı Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,30.000 TL35.000 TL
Bodrum - Umurca Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,35.000 TL
Bodrum - Umurca Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,110.000 TL
Ula - Alparslan Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,21.500 TL
Menteşe - Orhaniye Mahallesi,Daire | 1+1 | 4. Kat | 95 m²,30.000 TL
Milas - Güneş Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,20.000 TL
