location,information,sales_price
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 53 m²,12.750 TL13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,12.500 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,13.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,25.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,31.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,13.500 TL
İlkadım - Derebahçe Mahallesi,Daire | 4+1 | 12. Kat | 190 m²,35.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,13.000 TL
Atakum - Beypınar Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,28.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,11.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,10.500 TL
Canik - Hasköy Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,22.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.500 TL
İlkadım - Cedit Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,17.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,25.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 53 m²,12.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,8.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 120 m²,18.500 TL
Atakum - Güzelyalı Mahallesi,Daire | 4+1 | 5. Kat | 170 m²,39.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.750 TL
Atakum - Denizevleri Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,21.000 TL
İlkadım - Selahiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,18.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,13.500 TL
İlkadım - Pazar Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,15.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,12.000 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+0 | Yüksek giriş | 75 m²,12.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,12.500 TL
İlkadım - Derebahçe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,10.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,18.000 TL
Atakum - Atakent Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 120 m²,18.500 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,15.000 TL
İlkadım - Pazar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,9.500 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,25.000 TL
Canik - Karşıyaka Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,16.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,14.000 TL
Canik - Yenimahalle Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,29.000 TL
İlkadım - Kökçüoğlu Mahallesi,Daire | 1+1 | 5. Kat | 100 m²,8.500 TL
Canik - Yenimahalle Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,25.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
İlkadım - Unkapanı Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 3+1 | 5. Kat | 55 m²,13.500 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,17.000 TL
İlkadım - Cedit Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,7.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,12.000 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+0 | Yüksek giriş | 75 m²,12.000 TL
19 Mayıs - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,17.000 TL
Atakum - Yenimahalle Mahallesi,Daire | Stüdyo | 4. Kat | 45 m²,11.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Vezirköprü - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,14.750 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,25.000 TL
