location,information,sales_price
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,17.500 TL
Canik - Karşıyaka Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Bafra - Kavakpınar Mahallesi,Daire | 4+1 | 2. Kat | 145 m²,11.000 TL13.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,29.250 TL
Atakum - Atatepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL
Kavak - Yaşar Doğu Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
İlkadım - Zeytinlik Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,15.000 TL
İlkadım - Karasamsun Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Atakum - Güzelyalı Mahallesi,Daire | 3+1 | 4. Kat | 200 m²,35.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,14.000 TL15.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,11.500 TL
İlkadım - Unkapanı Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,11.000 TL12.000 TL
İlkadım - Baruthane Mahallesi,Daire | 3+1 | 8. Kat | 150 m²,16.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,9.000 TL
Atakum - Beypınar Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,16.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,12.100 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,14.000 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,13.750 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 125 m²,14.000 TL15.000 TL
İlkadım - İstasyon Mahallesi,Daire | 2+1 | 8. Kat | 130 m²,30.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 58 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 57 m²,17.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,17.000 TL
İlkadım - Anadolu Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,12.000 TL
Canik - Karşıyaka Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,10.000 TL
Canik - Kuzey Yıldızı Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,19.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.750 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,11.000 TL
Atakum - Denizevleri Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,14.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,21.500 TL
Tekkeköy - Çay Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,14.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,13.500 TL
İlkadım - Cedit Mahallesi,Daire | 2+0 | Yüksek giriş | 85 m²,9.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 155 m²,20.000 TL
Bafra - Tabakhane Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,15.000 TL
Atakum - Mevlana Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,13.500 TL14.500 TL
Atakum - Mevlana Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Atakum - Mevlana Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,19.500 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,26.500 TL
Atakum - Denizevleri Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,16.500 TL17.500 TL
İlkadım - Cedit Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,12.500 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,13.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,11.000 TL12.500 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,16.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,12.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 58 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 58 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,14.500 TL
İlkadım - Kışla Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,10.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,10.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,22.000 TL
Canik - Belediye Evleri Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,10.000 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.250 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,13.500 TL
İlkadım - Cedit Mahallesi,Daire | 2+0 | Yüksek giriş | 85 m²,9.000 TL
İlkadım - Tepecik Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,22.000 TL
Canik - Belediye Evleri Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 100 m²,13.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,19.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,12.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 210 m²,30.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,13.500 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,15.000 TL
İlkadım - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,12.000 TL
Bafra - Fevzi Çakmak Mahallesi,Daire | 4+1 | 3. Kat | 155 m²,12.000 TL
İlkadım - Selahiye Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,13.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,10.000 TL
Bafra - Tabakhane Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,25.000 TL
Bafra - Tabakhane Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,12.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 5+1 | 4. Kat | 240 m²,25.000 TL26.500 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,12.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,13.000 TL
İlkadım - Saitbey Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,15.000 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,10.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Atakum - İstiklal Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,12.000 TL
İlkadım - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
Atakum - Balaç Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,28.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 52 m²,9.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 115 m²,13.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,16.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 62 m²,13.600 TL
Canik - Yenimahalle Mahallesi,Daire | 1+1 | 9. Kat | 65 m²,14.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,9.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 53 m²,11.500 TL
İlkadım - Zeytinlik Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,12.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,13.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,23.500 TL
Atakum - Güzelyalı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,18.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,19.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,24.999 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,17.000 TL18.000 TL
Bafra - Büyükcami Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,11.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,20.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,16.000 TL
Atakum - Beypınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Atakum - Yenimahalle Mahallesi,Daire | Stüdyo | 8. Kat | 45 m²,11.500 TL
Atakum - Balaç Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,21.500 TL
Ladik - Bahşi Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,10.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
Atakum - İstiklal Mahallesi,Daire | 1 Oda | 1. Kat | 45 m²,13.000 TL14.000 TL
İlkadım - Çatalarmut Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.500 TL20.000 TL
Atakum - Balaç Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,13.000 TL
İlkadım - Unkapanı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,8.500 TL9.000 TL
İlkadım - Rasathane Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,13.500 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,23.500 TL
Canik - Karşıyaka Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,16.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.500 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,17.500 TL
Yakakent - Kozköy Mahallesi,Daire | 5+1 | Müstakil | 170 m²,35.000 TL40.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,16.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.500 TL
İlkadım - Ulugazi Mahallesi,Daire | 1+1 | 4. Kat | 42 m²,22.000 TL
Canik - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,12.000 TL
Canik - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,13.000 TL
İlkadım - 19 Mayıs Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 10. Kat | 55 m²,16.000 TL
İlkadım - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,26.000 TL
Ladik - Bahşi Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,16.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,10.500 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,6.500 TL
İlkadım - Pazar Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,12.000 TL14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,15.000 TL
İlkadım - Adalet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.000 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 140 m²,9.500 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.900 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,17.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,9.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,20.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,25.000 TL
İlkadım - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
İlkadım - Selahiye Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,10.000 TL12.000 TL
Atakum - Çobanözü Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,40.000 TL50.000 TL
Atakum - Beypınar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
İlkadım - Liman Mahallesi,Daire | 4+1 | 9. Kat | 150 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,9.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 2. Kat | 265 m²,110.000 TL
Ladik - Bahşi Mahallesi,Daire | 3+1 | 1. Kat | 146 m²,15.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 1+1 | 1. Kat | 52 m²,10.500 TL
Atakum - Yeşildere Mahallesi,Daire | 2+1 | 6. Kat | 75 m²,16.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,15.000 TL
İlkadım - Cedit Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,10.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
İlkadım - Tepecik Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,22.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,16.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 62 m²,17.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,18.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 4+1 | 3. Kat | 190 m²,38.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 72 m²,19.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,26.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,10.000 TL
Çarşamba - Yeşilırmak Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,16.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL13.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 3. Kat | 59 m²,13.000 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,10.000 TL12.000 TL
Canik - Belediye Evleri Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,13.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,19.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,12.000 TL13.000 TL
Canik - Belediye Evleri Mahallesi,Daire | 2+1 | 5. Kat | 114 m²,12.000 TL
İlkadım - Kalkancı Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Çarşamba - Sungurlu Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,13.000 TL
Canik - Belediye Evleri Mahallesi,Daire | 2+1 | Çatı katı | 120 m²,9.000 TL
Bafra - Yaka Mahallesi,Daire | 3+1 | 1. Kat | 132 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,22.500 TL
Canik - Hasköy Mahallesi,Daire | 3+1 | 9. Kat | 130 m²,23.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,18.000 TL20.000 TL
Bafra - Gazipaşa Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,13.000 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,20.999 TL
İlkadım - Liman Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,13.000 TL
İlkadım - Liman Mahallesi,Daire | 2+1 | 9. Kat | 105 m²,13.000 TL
Atakum - Beypınar Mahallesi,Daire | 4+1 | 4. Kat | 200 m²,35.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,13.000 TL
Atakum - Alanlı Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,25.000 TL
Tekkeköy - 19 Mayıs Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,12.750 TL
Tekkeköy - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,15.750 TL
Tekkeköy - Şabanoğlu Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,15.500 TL
Bafra - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 98 m²,17.000 TL
Atakum - Denizevleri Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,60.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,12.500 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,20.000 TL
İlkadım - Kazım Karabekir Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,26.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,19.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 53 m²,19.500 TL
İlkadım - Derecik Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,22.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,29.000 TL32.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,17.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,13.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,10.500 TL
Canik - Hasköy Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,23.500 TL
Canik - Hasköy Mahallesi,Daire | 2+0 | 5. Kat | 60 m²,12.000 TL15.000 TL
Canik - Belediye Evleri Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,18.000 TL
İlkadım - İlyasköy Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,17.000 TL18.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
İlkadım - Kökçüoğlu Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,10.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
İlkadım - Saitbey Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,17.000 TL
Atakum - İncesu Yalı Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,16.000 TL
Canik - Teknepınar Mahallesi,Daire | 3+1 | 9. Kat | 145 m²,23.000 TL
Atakum - Yeşildere Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Atakum - Çobanlı Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,22.000 TL
İlkadım - Zafer Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,15.000 TL
Atakum - Denizevleri Mahallesi,Daire | 4+1 | 4. Kat | 350 m²,37.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,10.350 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 57 m²,13.650 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,17.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,10.500 TL
Çarşamba - Yeşilırmak Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,15.000 TL
İlkadım - Karasamsun Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,28.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.000 TL
Bafra - Kavakpınar Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,12.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.500 TL
İlkadım - Cedit Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,10.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.500 TL
Çarşamba - Orta Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,8.500 TL
İlkadım - Tepecik Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,23.000 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 9. Kat | 85 m²,30.000 TL
Çarşamba - Kirazlıkçay Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,14.000 TL
Atakum - Büyükkolpınar Mahallesi,Daire | 4+1 | 12. Kat | 184 m²,75.000 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,22.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 50 m²,12.000 TL
Çarşamba - Kirazlıkçay Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,14.500 TL
Atakum - Büyükkolpınar Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,17.500 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,15.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,14.900 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 2. Kat | 160 m²,20.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,37.500 TL
İlkadım - Kalkancı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,9.750 TL
Atakum - Yeşildere Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Kavak - Soğuksu Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,11.500 TL
İlkadım - Liman Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,13.000 TL15.000 TL
Atakum - Yeşildere Mahallesi,Daire | 1+1 | 2. Kat | 66 m²,10.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 3+1 | 9. Kat | 165 m²,28.000 TL35.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,14.000 TL
Atakum - Çobanlı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.500 TL16.000 TL
Atakum - Büyükoyumca Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,13.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 4+1 | 2. Kat | 160 m²,20.000 TL
Atakum - Esenevler Mahallesi,Daire | 5+1 | 13. Kat | 350 m²,37.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 4. Kat | 67 m²,15.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,16.900 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,13.900 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,16.000 TL
İlkadım - Bahçelievler Mahallesi,Daire | 3+1 | Bahçe katı | 125 m²,8.000 TL
Atakum - Çakırlar Yalı Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.500 TL
