location,information,sales_price
Tarsus - Kırklarsırtı Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,18.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,25.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Toroslar - Osmaniye Mahallesi,Daire | 4+1 | 7. Kat | 190 m²,420.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Yenişehir - Kuzeykent Mahallesi,Daire | 4+1 | 7. Kat | 240 m²,42.000 TL
Yenişehir - 50. Yıl Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,20.000 TL
Akdeniz - Hamidiye Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,17.500 TL
Yenişehir - 50. Yıl Mahallesi,Daire | 3+1 | 12. Kat | 180 m²,37.500 TL
Yenişehir - Palmiye Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,15.500 TL
Toroslar - Turgut Türkalp Mahallesi,Daire | 3+1 | 5. Kat | 220 m²,25.000 TL
Yenişehir - Pirireis Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,16.000 TL
Mezitli - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Erdemli - Koyuncu Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,14.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,21.500 TL
Mezitli - Davultepe Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,20.000 TL
Yenişehir - Limonluk Mahallesi,Daire | 4+1 | 4. Kat | 240 m²,55.000 TL
Yenişehir - Güvenevler Mahallesi,Daire | 2+1 | 10. Kat | 120 m²,19.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 1. Kat | 51 m²,16.000 TL
