location,information,sales_price
Serdivan - Yazlık Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,32.000 TL
Serdivan - Beşköprü Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,30.000 TL
Adapazarı - 15 Temmuz Camili Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,16.000 TL
Adapazarı - Şeker Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,30.000 TL
Akyazı - Yeni Mahallesi,Daire | 2+0 | 3. Kat | 70 m²,15.000 TL
Adapazarı - Orta Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,22.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,20.000 TL
Serdivan - Köprübaşı Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,35.000 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | Yüksek giriş | 50 m²,12.000 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,15.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Hendek - Yeni Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,17.000 TL
Adapazarı - Güllük Mahallesi,Daire | Stüdyo | 2. Kat | 32 m²,12.000 TL
Serdivan - Otuziki Evler Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,17.500 TL
Akyazı - Yeni Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,8.000 TL
Akyazı - Fatih Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,8.000 TL
Arifiye - Hanlı Merkez Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,15.000 TL
Serdivan - İstiklal Mahallesi,Daire | Stüdyo | Çatı katı | 45 m²,12.000 TL
Adapazarı - Yahyalar Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,13.500 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,17.500 TL
Adapazarı - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,20.000 TL
Adapazarı - Güneşler Merkez Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,28.000 TL
Adapazarı - Şeker Mahallesi,Daire | 3+1 | 2. Kat | 148 m²,32.000 TL
Karasu - Kabakoz Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,22.000 TL
Adapazarı - Papuççular Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,16.500 TL
Serdivan - İstiklal Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,17.000 TL
Adapazarı - Yahyalar Mahallesi,Daire | Stüdyo | 3. Kat | 40 m²,17.000 TL
Arifiye - Arifbey Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 50 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 135 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 135 m²,2.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 3. Kat | 135 m²,2.500 TL
Arifiye - Hanlı Merkez Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,24.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,19.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,14.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 75 m²,2.500 TL
Adapazarı - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,30.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,16.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,22.500 TL
Adapazarı - Tekeler Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Arifiye - Hanlı Merkez Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,13.000 TL
Serdivan - Köprübaşı Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,30.000 TL
Arifiye - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.500 TL
Adapazarı - Şeker Mahallesi,Daire | 2+1 | 2. Kat | 160 m²,25.000 TL
Arifiye - Aşağı Kirazca Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,20.000 TL
Adapazarı - Güneşler Yeni Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,12.000 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,17.500 TL
Adapazarı - Korucuk Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 165 m²,32.500 TL
Adapazarı - Mithatpaşa Mahallesi,Daire | 3.5+1 | Bahçe dublex | 168 m²,36.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 1+1 | Bodrum Kat | 62 m²,16.000 TL
Karasu - Yalı Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,14.000 TL
Adapazarı - Tepekum Mahallesi,Daire | 5+1 | Yüksek giriş | 190 m²,37.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,30.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | Stüdyo | 3. Kat | 52 m²,22.000 TL
Adapazarı - Mithatpaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,29.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,23.000 TL
Serdivan - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,18.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,18.000 TL
Serdivan - İstiklal Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,13.000 TL
Adapazarı - 15 Temmuz Camili Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,17.000 TL
Adapazarı - Mithatpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 60 m²,20.000 TL
Serdivan - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.000 TL
Serdivan - Otuziki Evler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Adapazarı - Şirinevler Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,17.500 TL
Serdivan - Kemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 60 m²,12.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 60 m²,12.000 TL
Adapazarı - Güneşler Merkez Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,16.000 TL
Sapanca - Kırkpınar Hasanpaşa Mahallesi,Daire | 3+1 | 1. Kat | 240 m²,25.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,10.000 TL
Pamukova - Elperek Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Serdivan - Yazlık Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,25.000 TL
Serdivan - Beşköprü Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,19.000 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,12.500 TL
Karasu - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Arifiye - Arifbey Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.500 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,17.500 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
Adapazarı - Şeker Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,32.000 TL
Serdivan - Vatan Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,34.000 TL
Adapazarı - Yenigün Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
