location,information,sales_price
Isparta Merkez - Anadolu Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,14.000 TL
Yalvaç - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.250 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,14.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | Stüdyo | Bahçe katı | 35 m²,8.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 40 m²,8.250 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,16.000 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,12.500 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,12.200 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 51 m²,10.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 1+1 | 4. Kat | 51 m²,10.000 TL
Isparta Merkez - Anadolu Mahallesi,Daire | Stüdyo | 3. Kat | 41 m²,6.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 3+1 | Çatı katı | 150 m²,13.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | Yüksek giriş | 55 m²,9.000 TL
Isparta Merkez - İskender Mahallesi,Daire | 1+1 | 5. Kat | 40 m²,10.000 TL
Isparta Merkez - Anadolu Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,5.500 TL
Isparta Merkez - Çünür Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,11.500 TL
Isparta Merkez - Anadolu Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,8.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 20 m²,6.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,8.000 TL
Isparta Merkez - Sermet Mahallesi,Daire | 1+1 | Bahçe katı | 35 m²,6.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,12.500 TL
Isparta Merkez - Davraz Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,12.000 TL
Isparta Merkez - Yedişehitler Mahallesi,Daire | 2+1 | Bahçe katı | 130 m²,7.000 TL7.500 TL
Isparta Merkez - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,12.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | Stüdyo | Bahçe katı | 45 m²,5.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 3. Kat | 45 m²,7.500 TL
Isparta Merkez - Mehmet Tönge Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,20.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,14.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 3+1 | Çatı katı | 100 m²,4.000 TL
Isparta Merkez - Çelebiler Mahallesi,Daire | 2+1 | 2. Kat | 48 m²,9.000 TL
Isparta Merkez - Sülübey Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,6.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,15.000 TL
Isparta Merkez - Bağlar Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,9.500 TL
Isparta Merkez - Çelebiler Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,10.000 TL
