location,information,sales_price
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,27.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 3+1 | 2. Kat | 177 m²,30.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,13.000 TL15.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,17.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 3+1 | Bahçe katı | 145 m²,14.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,14.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | Stüdyo | 2. Kat | 65 m²,8.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 4. Kat | 99 m²,11.000 TL12.500 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 1. Kat | 56 m²,9.000 TL
Pamukkale - Atalar Mahallesi,Daire | 3+1 | Çatı katı | 130 m²,12.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 4+1 | 16. Kat | 180 m²,39.000 TL43.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,17.250 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,17.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,12.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | Bodrum Kat | 42 m²,7.500 TL8.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,9.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,10.000 TL
Pamukkale - Topraklık Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,18.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1.5+1 | Çatı katı | 70 m²,15.000 TL
Merkezefendi - Muratdede Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,15.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,48.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 4. Kat | 155 m²,17.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,16.000 TL
Merkezefendi - Merkez Efendi Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,10.500 TL
Pamukkale - Topraklık Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,14.500 TL
Merkezefendi - Gerzele Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,22.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,20.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.000 TL
Kale - Toki Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 96 m²,12.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Merkezefendi - Sümer Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 3+1 | 2. Kat | 141 m²,38.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 10. Kat | 65 m²,18.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,12.500 TL
Merkezefendi - Adalet Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,15.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 2.5+1 | Yüksek giriş | 145 m²,16.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1 Oda | 3. Kat | 45 m²,11.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | Bahçe katı | 60 m²,10.000 TL12.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 70 m²,14.500 TL
Merkezefendi - Çakmak Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,20.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,16.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,16.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | Çatı katı | 65 m²,15.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,23.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 2+0 | 1. Kat | 100 m²,11.000 TL
Pamukkale - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,13.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.500 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 50 m²,12.500 TL
Merkezefendi - Kayalar Mahallesi,Daire | 3+1 | 6. Kat | 167 m²,53.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,12.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,7.500 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 29. Kat | 88 m²,26.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 2.5+1 | Bahçe katı | 162 m²,30.000 TL
Merkezefendi - Gerzele Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,21.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,25.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,10.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,30.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,10.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,12.500 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,22.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,39.500 TL
Merkezefendi - Altıntop Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,15.000 TL
Pamukkale - Zümrüt Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.000 TL15.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 4+1 | 5. Kat | 210 m²,32.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,28.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 4+1 | 3. Kat | 210 m²,30.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,9.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,25.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,25.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Çameli - Cumaalanı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,15.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,22.500 TL
Merkezefendi - Gerzele Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,36.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,9.000 TL10.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,13.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | Çatı katı | 80 m²,12.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,11.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,23.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,17.000 TL
Merkezefendi - Mehmet Akif Ersoy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,17.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,10.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,13.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,12.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,11.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 50 m²,10.000 TL
Merkezefendi - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 156 m²,22.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,35.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 4+1 | 3. Kat | 254 m²,40.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 4+1 | 4. Kat | 240 m²,40.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Merkezefendi - Akçeşme Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,14.000 TL
Merkezefendi - Gerzele Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,13.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.500 TL
Merkezefendi - Karaman Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,18.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,16.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,22.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,22.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,11.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,8.500 TL
Pamukkale - Yunusemre Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,9.000 TL
Merkezefendi - Bozburun Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 1.000 m²,80.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,18.000 TL
Pamukkale - Atalar Mahallesi,Daire | 3+1 | Çatı katı | 150 m²,12.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,7.500 TL
Pamukkale - Pelitlibağ Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.500 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,9.000 TL
Pamukkale - Deliktaş Mahallesi,Daire | 1 Oda | 5. Kat | 55 m²,10.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,8.500 TL
Merkezefendi - Servergazi Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,19.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 5. Kat | 230 m²,28.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,21.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,17.500 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.500 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,30.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,11.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,16.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1.5+1 | 2. Kat | 60 m²,16.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 3+1 | Bahçe katı | 155 m²,10.500 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2.5+1 | 1. Kat | 65 m²,17.500 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 2. Kat | 68 m²,17.500 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,22.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Pamukkale - Pelitlibağ Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,11.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,7.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,7.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,8.000 TL
Merkezefendi - Şirinköy Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.500 TL
Pamukkale - İncilipınar Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,18.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,15.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,20.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,20.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,14.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,12.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,10.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,13.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | Bodrum Kat | 55 m²,7.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | Stüdyo | 4. Kat | 35 m²,7.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Bahçe katı | 40 m²,10.000 TL
Merkezefendi - Şirinköy Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.500 TL
Merkezefendi - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,13.000 TL
Merkezefendi - Altıntop Mahallesi,Daire | 3+1 | 5. Kat | 210 m²,15.500 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 1. Kat | 210 m²,30.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,12.000 TL
Merkezefendi - Muratdede Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,11.000 TL12.000 TL
Çivril - Aşağı Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,13.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,12.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL10.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2.5+1 | Bahçe katı | 110 m²,10.000 TL
Merkezefendi - Şirinköy Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Merkezefendi - Şirinköy Mahallesi,Daire | 1.5+1 | 3. Kat | 70 m²,16.000 TL
Merkezefendi - Şirinköy Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | Stüdyo | 1. Kat | 35 m²,6.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,7.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | Stüdyo | 1. Kat | 40 m²,6.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,20.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,19.750 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,8.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,12.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,7.250 TL
Pamukkale - Atalar Mahallesi,Daire | 4+1 | 2. Kat | 140 m²,7.500 TL
Pamukkale - Karahayıt Mahallesi,Daire | Stüdyo | 1. Kat | 25 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 70 m²,11.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+0 | 1. Kat | 50 m²,8.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | Stüdyo | 4. Kat | 60 m²,6.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,12.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,10.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,9.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1 Oda | Çatı katı | 40 m²,6.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 1. Kat | 78 m²,13.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,14.000 TL
Honaz - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL12.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,21.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,7.500 TL8.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,8.500 TL
Çivril - Çarşı Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,11.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 35 m²,10.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 35 m²,10.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Çivril - Stadyum Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.500 TL
Çivril - Aşağı Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,12.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,12.500 TL16.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 3+1 | 4. Kat | 152 m²,15.500 TL17.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL
Çivril - Kızılcasöğüt Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,13.000 TL
Çivril - Stadyum Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,12.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,15.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 6. Kat | 85 m²,20.000 TL
Çivril - Kızılcasöğüt Mahallesi,Daire | Stüdyo | 2. Kat | 55 m²,10.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,6.000 TL
Çivril - Aşağı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,11.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,32.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Pamukkale - Deliktaş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL11.000 TL
Pamukkale - Kayıhan Mahallesi,Daire | 2+1 | Çatı katı | 120 m²,12.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | Çatı katı | 80 m²,5.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,20.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,7.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,10.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 120 m²,15.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,26.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,9.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Bahçe katı | 46 m²,9.500 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,20.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | Bodrum Kat | 90 m²,15.500 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,19.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,13.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,10.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 5+2 | Bahçe dublex | 360 m²,60.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,25.000 TL
Merkezefendi - Muratdede Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,11.500 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,8.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Çivril - Aşağı Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,16.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,35.000 TL
Merkezefendi - Yenişehir Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,17.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 2. Kat | 160 m²,40.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 6+2 | Villa tipi | 500 m²,90.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 2+1 | 5. Kat | 50 m²,10.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,18.999 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,27.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 6. Kat | 125 m²,32.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,14.500 TL
Pamukkale - İncilipınar Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,19.000 TL
