location,information,sales_price
Karabağlar - Bahriye Üçok Mahallesi,Daire | 2+0 | 2. Kat | 120 m²,17.000 TL
Menemen - 29 Ekim Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,18.500 TL
Buca - Çamlıkule Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,28.000 TL
Aliağa - Kurtuluş Mahallesi,Daire | 1+1 | 3. Kat | 61 m²,26.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,19.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,18.000 TL
Çiğli - İnönü Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,15.000 TL
Kemalpaşa - Ulucak Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,28.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,35.000 TL
Urla - Zeytinalanı Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,45.000 TL
Buca - Dicle Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,21.000 TL
Buca - Ufuk Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,11.500 TL
Bergama - Fatih Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Buca - Yıldız Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Buca - Kozağaç Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,24.000 TL
Torbalı - Ayrancılar Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,20.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 65 m²,16.000 TL
Buca - Adatepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,23.500 TL
Konak - Barbaros Mahallesi,Daire | 1+1 | 1. Kat | 57 m²,27.000 TL
Buca - İnkılap Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,40.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,25.500 TL
