location,information,sales_price
Seydişehir - Hacı Seyit Ali Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,15.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,24.500 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 7. Kat | 85 m²,15.000 TL
Selçuklu - Selahaddin Eyyubi Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,17.000 TL
Akşehir - Seyran Mahallesi,Daire | 3+1 | Yüksek giriş | 115 m²,13.000 TL15.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 1.5+1 | 12. Kat | 80 m²,25.000 TL
Meram - Sahibiata Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
Akşehir - Kileci Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,13.500 TL
Akşehir - Gazi Mahallesi,Daire | 1+1 | Yüksek giriş | 62 m²,18.500 TL
Akşehir - İstasyon Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,10.000 TL
Seydişehir - Yeni Cami Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,10.000 TL
Seydişehir - Hacı Seyit Ali Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,12.500 TL
Akşehir - İstasyon Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 100 m²,17.500 TL
Seydişehir - Alaylar Bir Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Seydişehir - Alaylar İki Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 119 m²,15.000 TL
Karatay - Akabe Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,23.000 TL
Beyşehir - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,12.500 TL
Seydişehir - Saadetler Mahallesi,Daire | 2+1 | 3. Kat | 86 m²,9.500 TL
Akşehir - Yıldırım Bayezid Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,22.000 TL
Meram - Alavardı Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,16.000 TL
Seydişehir - Kızılcalar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Selçuklu - Şeker Mahallesi,Daire | 3+1 | 15. Kat | 171 m²,40.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,14.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Akşehir - Seyran Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,13.000 TL
Seydişehir - Alaylar Bir Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,5.000 TL5.750 TL
Karatay - Şemsitebrizi Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,12.500 TL
Selçuklu - İhsaniye Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,13.000 TL
Meram - Sahibiata Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,15.000 TL
Selçuklu - Sancak Mahallesi,Daire | 4+1 | 6. Kat | 230 m²,42.000 TL
Selçuklu - Sancak Mahallesi,Daire | 5+1 | 5. Kat | 280 m²,47.000 TL
Selçuklu - Sancak Mahallesi,Daire | 5+1 | 9. Kat | 280 m²,47.000 TL
Selçuklu - Sancak Mahallesi,Daire | 4+1 | 8. Kat | 220 m²,42.000 TL
Selçuklu - Sancak Mahallesi,Daire | 4+1 | 5. Kat | 220 m²,42.500 TL
Akşehir - Seyran Mahallesi,Daire | 3+1 | Müstakil | 250 m²,7.000 TL
Selçuklu - Şeker Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 170 m²,16.000 TL18.000 TL
Meram - Sahibiata Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Selçuklu - Bedir Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,16.000 TL
Akşehir - Seyran Mahallesi,Daire | 3+1 | Çatı katı | 135 m²,14.000 TL
Akşehir - Seyran Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.000 TL
Akşehir - İstasyon Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,18.000 TL
Selçuklu - Kosova Mahallesi,Daire | 4+1 | 6. Kat | 220 m²,37.000 TL
Meram - Melikşah Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,19.000 TL
Seydişehir - Yeni Cami Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
Seydişehir - Alaylar Bir Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Selçuklu - Yazır Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,18.500 TL
Ereğli - Toros Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,13.000 TL
Beyşehir - Hacıarmağan Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.000 TL11.000 TL
Beyşehir - Hacıarmağan Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,14.000 TL
Selçuklu - Yazır Mahallesi,Daire | 4+1 | 4. Kat | 190 m²,42.000 TL
Selçuklu - Ferhuniye Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
