location,information,sales_price
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,16.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,17.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,19.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,15.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,12.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,14.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 87 m²,5.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 7. Kat | 85 m²,11.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,18.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,19.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,11.750 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 7. Kat | 85 m²,12.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,15.500 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 3. Kat | 182 m²,22.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 3. Kat | 105 m²,9.000 TL
Haliliye - Paşabağı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 4+1 | 5. Kat | 200 m²,20.000 TL
Siverek - Şirinkuyu Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,8.500 TL
Viranşehir - Yenişehir Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Haliliye - Şair Şevket Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,11.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,14.500 TL
Haliliye - İmam Bakır Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 1+1 | 8. Kat | 75 m²,15.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,11.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,14.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.750 TL
Karaköprü - Güllübağ Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,15.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 170 m²,10.250 TL
Karaköprü - Akpıyar Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,20.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,10.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,9.500 TL
Haliliye - Sırrın Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,14.250 TL
Haliliye - Cengiz Topel Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,11.750 TL
Karaköprü - Akpıyar Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,19.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 56 m²,14.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,13.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,19.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 7. Kat | 85 m²,9.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 10. Kat | 100 m²,14.000 TL
Haliliye - Atatürk Mahallesi,Daire | 1+1 | 7. Kat | 65 m²,12.500 TL
Haliliye - Yenişehir Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,12.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 80 m²,11.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,9.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 1+1 | 5. Kat | 80 m²,15.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,18.000 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,12.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,10.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 4+1 | 8. Kat | 110 m²,45.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL15.500 TL
