location,information,sales_price
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,20.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 1. Kat | 150 m²,48.500 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,30.000 TL
Çanakkale Merkez - Karacaören Köyü,Daire | 2+1 | 5. Kat | 80 m²,30.000 TL
Çanakkale Merkez - Karacaören Köyü,Daire | 2+1 | 6. Kat | 80 m²,30.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,20.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Çanakkale Merkez - Esenler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,17.000 TL18.000 TL
Ayvacık - Küçükkuyu Bld. (Mıhlı Mahallesi),Daire | 4+1 | 1. Kat | 200 m²,40.000 TL50.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,25.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,25.000 TL
Biga - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.500 TL
Biga - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,11.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 4. Kat | 130 m²,38.000 TL45.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,28.000 TL
Ezine - Geyikli Bld. (Cumhuriyet Mahallesi),Daire | 4+1 | Villa tipi | 240 m²,80.000 TL
Çanakkale Merkez - Çınarlı Köyü (Dardanos Mahallesi),Daire | 2+1 | 2. Kat | 90 m²,40.000 TL
Lapseki - Çardak Bld. (Gaziyakupbey Mahallesi),Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
Gökçeada - Çınarlı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 2+1 | 1. Kat | 75 m²,26.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,21.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 1+1 | 5. Kat | 50 m²,23.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | 2. Kat | 72 m²,22.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 3. Kat | 140 m²,30.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1 Oda | Yüksek giriş | 40 m²,13.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 3. Kat | 140 m²,30.000 TL
Biga - Esentepe Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,30.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Eceabat - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL25.000 TL
Biga - Sakarya Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,25.000 TL
Gelibolu - Hoca Hamza Mahallesi,Daire | 3+1 | Villa tipi | 110 m²,25.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Çanakkale Merkez - Namık Kemal Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,25.000 TL
Çanakkale Merkez - Kepez Bld. (Boğazkent Mahallesi),Daire | 1+1 | Yüksek giriş | 60 m²,29.000 TL
Lapseki - Dalyan Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,15.000 TL
Lapseki - Çardak Bld. (Tekke Mahallesi),Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3.5+1 | 5. Kat | 180 m²,50.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,25.000 TL
Biga - Esentepe Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL
Biga - İstiklal Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,10.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,17.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,15.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 1+1 | Bahçe katı | 52 m²,18.500 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 3. Kat | 66 m²,15.500 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,30.000 TL
Çanakkale Merkez - Kepez Bld. (Boğazkent Mahallesi),Daire | 1+1 | 4. Kat | 50 m²,25.000 TL
Gelibolu - Alaeddin Mahallesi,Daire | 1+1 | 2. Kat | 76 m²,12.000 TL
Gelibolu - Yazıcızade Mahallesi,Daire | 3+1 | 3. Kat | 122 m²,16.000 TL
Çanakkale Merkez - Esenler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,22.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 4. Kat | 180 m²,40.000 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 5+1 | 5. Kat | 300 m²,60.000 TL
Gelibolu - Camiikebir Mahallesi,Daire | 2+1 | 4. Kat | 89 m²,15.000 TL
Gelibolu - Gazi Süleyman Paşa Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,17.000 TL
Gelibolu - Alaeddin Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,15.000 TL
Gelibolu - Alaeddin Mahallesi,Daire | 2+1 | Bahçe katı | 88 m²,50.000 TL
Ayvacık - Küçükkuyu Bld. (Gökçetepe Mahallesi),Daire | 3+1 | 2. Kat | 160 m²,20.000 TL
