location,information,sales_price
Finike - İskele Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,17.500 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,40.000 TL45.000 TL
Alanya - Şekerhane Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 4+1 | 4. Kat | 140 m²,40.000 TL
Kepez - Duraliler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,22.000 TL
Muratpaşa - Çağlayan Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 165 m²,75.000 TL
Alanya - Saray Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,33.000 TL
Alanya - Saray Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Muratpaşa - Çaybaşı Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,29.500 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,38.500 TL
Alanya - Çıplaklı Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,14.000 TL
Kepez - Çankaya Mahallesi,Daire | 4+1 | Bahçe katı | 250 m²,48.000 TL
Kepez - Çankaya Mahallesi,Daire | 3.5+1 | 4. Kat | 190 m²,35.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2.5+1 | 4. Kat | 110 m²,50.000 TL
Manavgat - Kızılağaç Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,13.000 TL
Konyaaltı - Altınkum Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,25.000 TL
Manavgat - Aşağı Hisar Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 3. Kat | 160 m²,17.500 TL
Kepez - Habibler Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,26.000 TL
Alanya - Avsallar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Kemer - Çamyuva Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,45.000 TL
Konyaaltı - Gürsu Mahallesi,Daire | 1+1 | 1. Kat | 57 m²,35.000 TL
Kepez - Göçerler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,16.000 TL
Alanya - Kestel Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,26.000 TL
Serik - Belek Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,33.000 TL
Kepez - Aktoprak Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,15.000 TL
Kepez - Gündoğdu Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Korkuteli - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,16.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,40.000 TL
Kepez - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,18.000 TL
Muratpaşa - Meltem Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,32.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,16.000 TL
Muratpaşa - Meltem Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,32.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,16.000 TL
Muratpaşa - Doğuyaka Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,38.000 TL
Muratpaşa - Varlık Mahallesi,Daire | 2+1 | 1. Kat | 145 m²,32.000 TL
Kepez - Özgürlük Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,39.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 3. Kat | 124 m²,40.000 TL
Kepez - Çamlıbel Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,18.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,22.500 TL
Kepez - Çankaya Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,22.500 TL
Alanya - Cikcilli Mahallesi,Daire | 4+1 | 5. Kat | 220 m²,30.000 TL
Manavgat - Aşağı Pazarcı Mahallesi,Daire | 3+1 | Çatı katı | 120 m²,19.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,27.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,35.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,30.000 TL
Alanya - Çıplaklı Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,25.000 TL
Alanya - Kızlar Pınarı Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,40.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,19.000 TL
Konyaaltı - Altınkum Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,35.000 TL
Kepez - Habibler Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,18.500 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,13.000 TL14.000 TL
Alanya - Yaylalı Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,9.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,18.800 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,28.500 TL
Muratpaşa - Yıldız Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,17.500 TL
Manavgat - Aydınevler Mahallesi,Daire | 1+1 | 1. Kat | 95 m²,17.000 TL18.000 TL
Manavgat - Çolaklı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,70.000 TL
Manavgat - Çolaklı Mahallesi,Daire | 2+1 | Bahçe dublex | 110 m²,30.000 TL
Alanya - Hacet Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,25.000 TL
Alanya - Kadıpaşa Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,15.000 TL
Alanya - Türkler Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,35.000 TL
Muratpaşa - Gebizli Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,22.000 TL
Kepez - Hüsnü Karakaş Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.000 TL
Kumluca - Eskicami Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,32.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,30.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 6. Kat | 85 m²,36.000 TL
Kepez - Çankaya Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Kepez - Aydoğmuş Mahallesi,Daire | 1+1 | 5. Kat | 43 m²,18.000 TL
Kepez - Altınova Sinan Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,25.000 TL
Kepez - Aydoğmuş Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,23.000 TL
Kepez - Kültür Mahallesi,Daire | 2+0 | 4. Kat | 55 m²,20.000 TL
Kumluca - Bağlık Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,17.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,40.000 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,28.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,23.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,22.500 TL
Manavgat - Sarılar Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Muratpaşa - Soğuksu Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,30.000 TL
Manavgat - Aşağı Pazarcı Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 7. Kat | 100 m²,18.000 TL
Gazipaşa - Koru Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,30.000 TL35.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,36.000 TL
Muratpaşa - Yeşildere Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,16.000 TL
Muratpaşa - Yeşilbahçe Mahallesi,Daire | 5+1 | 4. Kat | 220 m²,35.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,21.500 TL
Kepez - Gülveren Mahallesi,Daire | 1+1 | 3. Kat | 53 m²,22.500 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,23.500 TL
Kepez - Kültür Mahallesi,Daire | 2+0 | 4. Kat | 55 m²,17.000 TL
Kepez - Kültür Mahallesi,Daire | 2+0 | Bodrum Kat | 65 m²,15.000 TL
Alanya - Payallar Mahallesi,Daire | 2+1 | Çatı Dubleks | 110 m²,14.000 TL15.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,25.000 TL
Manavgat - Ilıca Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,23.500 TL
Kepez - Hüsnü Karakaş Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,25.000 TL
Kepez - Yeni Doğan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,22.000 TL
Konyaaltı - Uluç Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,25.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,17.000 TL
Kepez - Yükseliş Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,25.000 TL30.000 TL
Finike - İskele Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,18.500 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 4. Kat | 35 m²,22.000 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,21.000 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,24.000 TL
Konyaaltı - Liman Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,28.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,29.000 TL
Kepez - Güneş Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,22.000 TL
Kepez - Sütçüler Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,18.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 3. Kat | 62 m²,28.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 2. Kat | 53 m²,23.000 TL
Finike - İskele Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,15.000 TL17.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,17.000 TL
Muratpaşa - Yeşilbahçe Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,75.000 TL
Döşemealtı - Tomalar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,15.500 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 3+1 | 6. Kat | 155 m²,20.000 TL
Kepez - Göçerler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,24.000 TL
Kepez - Fabrikalar Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,17.000 TL
Gazipaşa - Gazi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,10.500 TL
Kepez - Kepez Mahallesi,Daire | 1+1 | 7. Kat | 74 m²,25.000 TL
Alanya - Saray Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,20.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,22.000 TL
Kepez - Kepez Mahallesi,Daire | 1+1 | 7. Kat | 74 m²,25.000 TL
Alanya - Saray Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,20.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,22.000 TL
Kepez - Ünsal Mahallesi,Daire | 4+1 | 3. Kat | 250 m²,40.000 TL
Konyaaltı - Arapsuyu Mahallesi,Daire | 3+1 | 8. Kat | 160 m²,77.500 TL
Muratpaşa - Meydankavağı Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,30.000 TL
Alanya - Tosmur Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,15.000 TL
Kepez - Kültür Mahallesi,Daire | 2+0 | 3. Kat | 55 m²,21.500 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,29.000 TL
Muratpaşa - Şirinyalı Mahallesi,Daire | 3+1 | 9. Kat | 190 m²,85.000 TL
Kepez - Santral Mahallesi,Daire | 1+1 | 4. Kat | 74 m²,18.000 TL
Kumluca - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,30.000 TL
Finike - Hasyurt Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,35.000 TL
Döşemealtı - Yeşilbayır Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.000 TL
Muratpaşa - Altındağ Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,25.000 TL
Döşemealtı - Yeşilbayır Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL
Döşemealtı - Altınkale Mahallesi,Daire | 4+1 | Villa tipi | 215 m²,50.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Alanya - Kargıcak Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 3+1 | 9. Kat | 140 m²,37.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 6. Kat | 235 m²,80.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,55.000 TL
Kepez - Santral Mahallesi,Daire | 2+1 | 6. Kat | 85 m²,25.000 TL
Finike - Eski Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Konyaaltı - Uncalı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,58.000 TL
Alanya - Büyükhasbahçe Mahallesi,Daire | 6+1 | 3. Kat | 300 m²,40.000 TL
Muratpaşa - Çağlayan Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,40.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,36.500 TL
Kepez - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 1+1 | 8. Kat | 70 m²,29.500 TL
Alanya - Kestel Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,25.000 TL
Kepez - Kepez Mahallesi,Daire | 2+1 | 7. Kat | 78 m²,18.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Muratpaşa - Deniz Mahallesi,Daire | 1 Oda | 3. Kat | 120 m²,26.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,13.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,18.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 4. Kat | 210 m²,50.000 TL60.000 TL
Finike - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,21.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,16.500 TL
Finike - Karşıyaka Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,11.500 TL
Finike - Karşıyaka Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,26.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,40.000 TL
Finike - Yeni Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
Serik - Belek Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,27.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,45.000 TL
Alanya - Avsallar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL17.000 TL
Alanya - Kızlar Pınarı Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,30.000 TL
Konyaaltı - Karatepe Mahallesi,Daire | 2+1 | Yüksek giriş | 135 m²,17.500 TL
Alanya - Güller Pınarı Mahallesi,Daire | 3+1 | Yüksek giriş | 145 m²,25.000 TL
Muratpaşa - Bayındır Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,25.000 TL
Alanya - Tosmur Mahallesi,Daire | 4+1 | 4. Kat | 200 m²,35.000 TL
Alanya - Kadıpaşa Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,25.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 3+0 | 4. Kat | 200 m²,30.000 TL
Alanya - Şekerhane Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,18.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 1. Kat | 98 m²,18.000 TL
Alanya - Güller Pınarı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | Yüksek giriş | 50 m²,17.500 TL
Manavgat - Side Mahallesi,Daire | 3+1 | 2. Kat | 200 m²,38.000 TL
Manavgat - Side Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,25.000 TL
Alanya - Payallar Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.000 TL
Kumluca - Eskicami Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,14.000 TL
Serik - Belek Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,30.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,25.000 TL
Muratpaşa - Güzeloluk Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,45.000 TL
Muratpaşa - Meydankavağı Mahallesi,Daire | 3+1 | 7. Kat | 170 m²,45.000 TL
Muratpaşa - Fener Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,25.000 TL
Kepez - Şelale Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,16.000 TL
Alanya - Dinek Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.000 TL
Alanya - Dinek Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,25.000 TL
Kepez - Varsak Karşıyaka Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,19.000 TL
Muratpaşa - Fener Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,45.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,19.000 TL21.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,30.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 50 m²,28.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,21.000 TL
Kepez - Kepez Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,35.000 TL
Kepez - Kepez Mahallesi,Daire | 2+1 | 10. Kat | 106 m²,24.000 TL
Muratpaşa - Meltem Mahallesi,Daire | 4+1 | 10. Kat | 215 m²,50.000 TL
Konyaaltı - Arapsuyu Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,63.000 TL
Alanya - Yeşilöz Mahallesi,Daire | 2+1 | Müstakil | 1.253 m²,30.000 TL
Konyaaltı - Hisarçandır Mahallesi,Daire | 2+1 | Yüksek giriş | 140 m²,15.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,25.000 TL
Muratpaşa - Yeşildere Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,15.000 TL
Kepez - Emek Mahallesi,Daire | 2+1 | 2. Kat | 92 m²,18.000 TL20.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,42.500 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,30.000 TL
Döşemealtı - Tomalar Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,17.000 TL
Alanya - Güller Pınarı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Muratpaşa - Bahçelievler Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,63.000 TL70.000 TL
Kepez - Kütükçü Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,17.000 TL
Muratpaşa - Memurevleri Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,27.000 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,35.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,32.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 3+1 | Bahçe katı | 135 m²,60.000 TL
Kepez - Habibler Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,20.000 TL
Alanya - Oba Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 5. Kat | 80 m²,39.000 TL
Kepez - Duraliler Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,25.000 TL
Kaş - Kalkan Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,30.000 TL
Konyaaltı - Altınkum Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,45.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Kepez - Kültür Mahallesi,Daire | 2+0 | 1. Kat | 57 m²,17.500 TL
Kepez - Ahatlı Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,21.500 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,21.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,17.500 TL
Serik - Belek Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,25.000 TL
Serik - Kadriye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,23.000 TL
Kepez - Baraj Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,17.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,40.000 TL
Manavgat - Sarılar Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,28.000 TL
Manavgat - Side Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,30.000 TL35.000 TL
Serik - Kadriye Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,18.000 TL
Muratpaşa - Zerdalilik Mahallesi,Daire | 1 Oda | Yüksek giriş | 20 m²,10.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,35.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.000 TL
Manavgat - Salkım Evler Mahallesi,Daire | 3+1 | 10. Kat | 120 m²,24.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.500 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,16.500 TL
Muratpaşa - Varlık Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,20.000 TL
Muratpaşa - Ermenek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,32.500 TL
Manavgat - Emek Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,38.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,25.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,20.000 TL
Kepez - Kültür Mahallesi,Daire | 3+1 | 5. Kat | 166 m²,26.000 TL
Kemer - Arslanbucak Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,19.000 TL
Kepez - Kepez Mahallesi,Daire | 2+1 | 8. Kat | 94 m²,20.000 TL
Kepez - Habibler Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,20.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,37.000 TL
Muratpaşa - Fener Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,45.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,45.000 TL
Kepez - Zafer Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,22.000 TL
Konyaaltı - Arapsuyu Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,60.000 TL
Konyaaltı - Gürsu Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,50.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 7. Kat | 55 m²,12.000 TL
Muratpaşa - Deniz Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,22.000 TL
Gazipaşa - Bakılar Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,12.500 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,40.000 TL
Muratpaşa - Fener Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,32.400 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,17.500 TL
Gazipaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,10.000 TL
Gazipaşa - Gazi Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,15.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,13.000 TL
Manavgat - Sarılar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 4+1 | Çatı Dubleks | 250 m²,32.000 TL
Alanya - Şekerhane Mahallesi,Daire | 1+1 | 5. Kat | 100 m²,14.000 TL15.000 TL
Kepez - Atatürk Mahallesi,Daire | 3+1 | 9. Kat | 120 m²,23.000 TL
Konyaaltı - Uncalı Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,50.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 1+1 | 6. Kat | 65 m²,15.000 TL
Kepez - Kültür Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,18.000 TL
Kepez - Yeni Doğan Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,25.000 TL
