location,information,sales_price
Muratpaşa - Muratpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,36.000 TL
Finike - Kum Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,21.000 TL
Finike - Kum Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.500 TL
Kumluca - Belen Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,20.000 TL
Finike - Kum Mahallesi,Daire | Stüdyo | 1. Kat | 50 m²,17.000 TL
Muratpaşa - Dutlubahçe Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,14.000 TL
Kepez - Şafak Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,19.000 TL
Kepez - Özgürlük Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,28.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,21.000 TL
Kepez - Gündoğdu Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Muratpaşa - Konuksever Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,18.000 TL
Kepez - Kültür Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,18.000 TL
Muratpaşa - Konuksever Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,16.000 TL
Kepez - Hüsnü Karakaş Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,17.000 TL
Kepez - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.500 TL
Kepez - Çankaya Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,32.000 TL
Kepez - Göçerler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,21.000 TL
Konyaaltı - Geyikbayırı Mahallesi,Daire | 6+2 | Villa tipi | 550 m²,40.000 TL
Manavgat - Sorgun Mahallesi,Daire | 3+1 | Bahçe katı | 186 m²,60.000 TL
Kepez - Hüsnü Karakaş Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.500 TL
Konyaaltı - Toros Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 185 m²,30.000 TL
Manavgat - Side Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,14.000 TL
Manavgat - Ilıca Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Manavgat - Kısalar Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,20.000 TL
Manavgat - Side Mahallesi,Daire | 1+1 | 2. Kat | 72 m²,24.000 TL
Manavgat - Hatipler Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,18.000 TL
Konyaaltı - Gürsu Mahallesi,Daire | 4+1 | 2. Kat | 190 m²,95.000 TL
Muratpaşa - Deniz Mahallesi,Daire | 3.5+1 | 3. Kat | 170 m²,50.000 TL
Alanya - Şekerhane Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,25.000 TL
Alanya - Saray Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,24.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 5. Kat | 80 m²,20.000 TL
Alanya - Fığla Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,24.000 TL
Alanya - Demirtaş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,28.000 TL
