İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Eşya Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Salon Metrekare,WC Sayısı,Fiyat Durumu,Görüntülü Gezilebilir mi?,Ada,Parsel,fiyat,konum,URL,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Metrekare
17523204,21 Haziran 2025,21 Haziran 2025,Konut,Kiralık,Daire,150 m²,165 m²,3+1,5-10,8.Kat,9,Merkezi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Hayır,,,1,,,,,Genel Fiyat,,6816,1,18.250TL,Gaziantep - Şahinbey - Abdülhamit Han Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-3-balkonlu-ve-3-cepheli-hasarsiz-bakimli-31-daire-17523204,,,,
17417875,29 Mayıs 2025,25 Temmuz 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,5-10,12.Kat,13,Kombi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Evet,,,1,,,,,Genel Fiyat,,861,1,19.000TL,Gaziantep - Şahinbey - Beştepe Mahallesi,https://www.emlakjet.com/ilan/kisacik-dan-bestepe-mah-onkoloji-full-esyali-kiralik-21-daire-17417875,,,,
17413129,28 Mayıs 2025,01 Temmuz 2025,Konut,Kiralık,Daire,155 m²,185 m²,3+1,5-10,9.Kat,11,Kombi Doğalgaz,Boş,İkinci El,Betonarme,Boş,,Kat Mülkiyeti,Hayır,,,2,,,,2,Genel Fiyat,Evet,658,10,30.000TL,Gaziantep - Şehitkamil - Fıstıklık Mahallesi,https://www.emlakjet.com/ilan/gaziantep-merkez-fistiklik-31-ara-kat-kiralik-daire-17413129,,,,
17529396,22 Haziran 2025,24 Haziran 2025,Konut,Kiralık,Daire,35 m²,40 m²,Stüdyo,3,Bahçe Katı,2,Merkezi Doğalgaz,Boş,,,Eşyalı,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,5.500TL,Gaziantep - Şahinbey - Güneykent Mahallesi,https://www.emlakjet.com/ilan/kentas-city-den-guney-kent-mah-10-kiralik-studyo-daire-17529396,,,,
17533425,23 Haziran 2025,23 Haziran 2025,Konut,Kiralık,Daire,225 m²,250 m²,4+1,11-15,5.Kat,5,Kombi Doğalgaz,Mülk Sahibi Oturuyor,,,,,Kat Mülkiyeti,Hayır,,,2,,,,,Genel Fiyat,,3055,10,40.000TL,Gaziantep - Şehitkamil - Atatürk Mahallesi,https://www.emlakjet.com/ilan/ikiev-gayrimenkul-den-duisburg-bulvari-cadde-ustu-bakimli-kiralik-41-daire-17533425,,,,
17399620,26 Mayıs 2025,26 Mayıs 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,5-10,13.Kat,15,Kombi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Hayır,,,1,,,,,Genel Fiyat,,4294,2,17.999TL,Gaziantep - Şahinbey - Karataş Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-hasarsiz-taramvay-yakini-cadde-ustu-ultra-luks-17399620,,,,
17438217,02 Haziran 2025,05 Ağustos 2025,Konut,Kiralık,Daire,105 m²,120 m²,2+1,0 (Yeni),2.Kat,7,Yerden Isıtma,Boş,,,Eşyalı,,Kat Mülkiyeti,Evet,,Yok,1,,,,,Genel Fiyat,,,,32.000TL,Gaziantep - Şehitkamil - Göktürk Mahallesi,https://www.emlakjet.com/ilan/emlak-plus-tan-gokturk-te-sifir-esyali-kiralik-21-daire-17438217,,,,
17416366,29 Mayıs 2025,26 Haziran 2025,Konut,Kiralık,Daire,55 m²,65 m²,1+1,5-10,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,11.000TL,Gaziantep - Şahinbey - Fidanlık Mahallesi,https://www.emlakjet.com/ilan/efekan-emlak-tan-fidanlik-mah-aile-binasinda-kiralik-11-daire-17416366,,,,
17310294,09 Mayıs 2025,10 Haziran 2025,Konut,Kiralık,Daire,110 m²,135 m²,2+1,0 (Yeni),Yüksek Giriş,6,Yerden Isıtma,Boş,,,,,Kat Mülkiyeti,Hayır,,,2,,,,,Genel Fiyat,,,,13.250TL,Gaziantep - Şehitkamil - Beykent Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-beykent-merkezi-konumda-firsat-kiralik-daire-17310294,,,,
16871911,21 Şubat 2025,23 Ağustos 2025,Konut,Kiralık,Daire,45 m²,60 m²,2+0,5-10,3.Kat,4,Merkezi Doğalgaz,Boş,,,,,Tapu Kaydı Yok,Evet,9000 TL,,1,,,,,Genel Fiyat,,,,9.000TL,Gaziantep - Şahinbey - Yeditepe Mahallesi,https://www.emlakjet.com/ilan/universite-yakinlarinda-genis-20-daire-16871911,,,,
17235118,28 Nisan 2025,23 Ağustos 2025,Konut,Kiralık,Daire,85 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,2,Sobalı,Kiracı Oturuyor,,,,,Arsa Tapulu,Hayır,7000 TL,,1,,,,,Genel Fiyat,,1095,13,7.000TL,Gaziantep - Şahinbey - Akyol Mahallesi,https://www.emlakjet.com/ilan/bilge-emlaktan-akyol-mahalesinde-kiralik-21-daire-17235118,,,,
17282576,05 Mayıs 2025,23 Ağustos 2025,Konut,Kiralık,Daire,130 m²,165 m²,3+1,11-15,Bahçe Dublex,3,Kombi Doğalgaz,Boş,,,,,Kat İrtifakı,Hayır,,,1,,,,,Genel Fiyat,,2069,2,17.000TL,Gaziantep - Şehitkamil - Gazikent Mahallesi,https://www.emlakjet.com/ilan/seyran-emlaktan-kiralik-31-dayre-17282576,,,,
17189063,21 Nisan 2025,11 Ağustos 2025,Konut,Kiralık,Daire,165 m²,180 m²,3+1,5-10,1.Kat,12,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Evet,,Yok,2,,,,,Genel Fiyat,,,408,25.000TL,Gaziantep - Şahinbey - Karataş Mahallesi,https://www.emlakjet.com/ilan/konumdan-merkezi-lokasyonda-31-ultra-luks-kiralik-daireler-17189063,,,,
17206752,23 Nisan 2025,01 Temmuz 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,16-20,1.Kat,4,Kombi Doğalgaz,Boş,,,,,Tapu Kaydı Yok,Hayır,15000 TL,,1,,Var,,,Genel Fiyat,,,,17.000TL,Gaziantep - Şahinbey - 23 Nisan Mahallesi,https://www.emlakjet.com/ilan/kiralik-daire-17206752,2,,,
17081747,27 Mart 2025,23 Ağustos 2025,Konut,Kiralık,Daire,95 m²,110 m²,2+1,0 (Yeni),6.Kat,14,Yerden Isıtma,Boş,,,,,Tapu Kaydı Yok,Evet,15000 TL,,2,,Var,,,Genel Fiyat,,,,15.000TL,Gaziantep - Şehitkamil - Seyrantepe Mahallesi,https://www.emlakjet.com/ilan/genis-kiralik-daire-17081747,1,,,
16969936,07 Mart 2025,09 Temmuz 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,5-10,4.Kat,6,Merkezi Doğalgaz,Boş,,,Eşyalı,,Kat Mülkiyeti,Evet,,Yok,1,,,,,Genel Fiyat,,4077,446,12.000TL,Gaziantep - Şahinbey - Güneykent Mahallesi,https://www.emlakjet.com/ilan/nadir-emlaktan-guneykent-te-universiteye-yakin-kiralik-11-16969936,,,,
16891169,24 Şubat 2025,01 Ağustos 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,5-10,3.Kat,9,Merkezi (Pay Ölçer),Boş,,,Boş,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,10.000TL,Gaziantep - Şahinbey - Perilikaya Mahallesi,https://www.emlakjet.com/ilan/perilikaya-300-evlerde-kiralik-2-1-daire-16891169,,,,
16820761,13 Şubat 2025,05 Ağustos 2025,Konut,Kiralık,Daire,95 m²,125 m²,2+1,0 (Yeni),2.Kat,4,Merkezi (Pay Ölçer),Boş,Sıfır,Betonarme,Boş,,Tapu Kaydı Yok,Hayır,,Var,1,10 m²,Var,20 m²,1,Birim Fiyat,Evet,,,8.000TL,Gaziantep - Şehitkamil - Karacaören Mahallesi,https://www.emlakjet.com/ilan/millioglu-insaat-tan-kuzeysehir-de-kiralik-21-daire-16820761,,,,
17323629,12 Mayıs 2025,23 Ağustos 2025,Konut,Kiralık,Daire,65 m²,75 m²,1+1,5-10,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Evet,6000 TL,,1,,Yok,,,Genel Fiyat,,276,8,6.000TL,Gaziantep - Şahinbey - Malazgirt Mahallesi,https://www.emlakjet.com/ilan/bilge-emlaktan-malazgirt-mahalesinde-kiralik-11-daire-17323629,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.emlakjet.com/ilan/termal-emlak-tan-kiralik-23-nisan-mh-yuksek-giris-mustakil-21daire-kombili-16860151,,,,
17239097,29 Nisan 2025,25 Haziran 2025,Konut,Kiralık,Daire,165 m²,185 m²,3+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,,200 TL,Bilinmiyor,Hayır,,Yok,2,,,,,Genel Fiyat,,,,16.850TL,Gaziantep - Şahinbey - Kolejtepe Mahallesi,https://www.emlakjet.com/ilan/kolejtepe-mahlesinde-konumu-guzel-31-gobek-kat-temiz-daire-17239097,,,,
